27-September-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer Skills Survey (ESS) 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3 Skills that will need developing among workforce (Module 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All establishments who anticipate a need for new skills in next 12 months (and could identify an occupation that would be most affected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Enterprise M3,Black Country,Buckinghamshire Thames Valley,Cheshire and Warrington,Coast to Capital,Cornwall and Isles of Scilly,Coventry and Warwickshire,Cumbria,Derby Derbyshire Nottingham and Nottinghamshire,Dorset,Leeds City Region,Gloucestershire,Greater Birmingham and Solihull,Greater Cambridge Greater Peterborough,Greater Lincolnshire,Greater Manchester,Heart of the South West,Hertfordshire,Humber,Lancashire,South East,Leicester and Leicestershire,Liverpool City Region,London,New Anglia,North Eastern,Northamptonshire,Oxfordshire,Sheffield City Region,Solent,South East Midlands,Stoke-on-Trent and Staffordshire,Swindon and Wiltshire,Tees Valley,Thames Valley Berkshire,The Marches,West of England,Worcestershire,York North Yorkshire and East Riding
Communicating in a foreign language,103335,2434,1575,793,1107,3621,875,1553,1142,3148,1166,4359,1493,3837,2493,2346,4344,3169,2271,1338,2581,9376,1710,2573,24783,2394,2526,**,1480,2271,1465,1709,1942,1603,672,2955,925,1740,1067,2183
,12%,6%,11%,7%,7%,13%,8%,11%,10%,10%,8%,10%,10%,13%,8%,14%,10%,8%,10%,11%,12%,14%,10%,14%,17%,8%,10%,**,13%,8%,10%,5%,11%,12%,8%,18%,7%,9%,10%,10%
Manual dexterity,115890,4573,2330,1571,2343,2868,1376,2293,2187,5140,2444,5224,2106,3750,4240,2286,4261,5538,2885,2352,1835,8262,1861,2548,17009,3550,3859,**,1190,6250,1386,3386,2518,1098,1582,1453,2264,2146,1317,4104
,13%,12%,17%,14%,15%,10%,12%,16%,20%,16%,17%,12%,15%,13%,13%,14%,10%,15%,12%,19%,9%,13%,11%,14%,11%,12%,16%,**,11%,23%,10%,11%,14%,8%,20%,9%,17%,11%,12%,19%
Adapting to new equipment or materials,385658,14595,7736,4361,7204,10818,5965,7169,6158,13174,6306,19388,6553,11875,13559,7575,18141,18059,10392,5546,10087,29037,8162,8871,55655,12309,11690,**,3870,13399,5388,11967,7640,5845,3991,4790,5926,8046,4793,11478
,43%,38%,55%,38%,47%,39%,52%,51%,55%,41%,45%,46%,45%,41%,43%,47%,43%,48%,45%,44%,48%,45%,48%,48%,37%,43%,48%,**,34%,49%,38%,38%,44%,44%,50%,30%,45%,40%,45%,52%
Knowledge of products and services offered by your organisation and organisations like yours,427735,16064,7491,5149,8850,13093,5460,7444,6507,13879,8024,21344,7746,14211,14030,7123,20679,18420,11508,6204,9761,30634,6650,9809,67490,13888,11992,**,4651,13505,6193,14495,8564,6562,4534,6412,5551,10594,4204,12679
,48%,42%,54%,45%,57%,47%,47%,53%,58%,43%,57%,50%,54%,49%,44%,44%,49%,49%,49%,49%,46%,47%,39%,53%,45%,48%,49%,**,41%,49%,43%,46%,49%,50%,57%,40%,42%,53%,40%,57%
Knowledge of how your organisation works,271412,9515,5666,2419,5386,8160,3340,4251,3635,8540,5330,13649,4300,8508,8470,4826,13202,11256,7238,4287,7320,20026,3952,5949,44921,8817,8136,**,3610,7318,3838,7604,5689,4645,2701,3136,3196,7410,2673,8125
,30%,25%,41%,21%,35%,29%,29%,30%,33%,27%,38%,32%,30%,30%,27%,30%,31%,30%,31%,34%,35%,31%,23%,32%,30%,31%,33%,**,32%,27%,27%,24%,33%,35%,34%,19%,24%,37%,25%,37%
Specialist skills or knowledge needed to perform the role,423443,15834,7962,4400,9127,13941,6347,6704,6396,11538,7647,21012,7414,11707,16794,6529,20829,18819,11310,6112,10173,27625,7344,10330,68374,14484,12913,**,5482,10620,6012,15411,7108,6264,4010,5691,6035,10648,4342,12118
,47%,41%,57%,38%,59%,50%,55%,48%,57%,36%,54%,50%,51%,41%,53%,40%,49%,50%,49%,49%,48%,43%,43%,56%,46%,50%,53%,**,49%,39%,42%,49%,41%,47%,50%,35%,46%,53%,41%,55%
None of the above,106057,5005,1388,1909,1299,3588,1293,1778,589,5761,717,3801,764,3636,3602,1869,4857,4377,2327,1560,1501,8201,2861,933,19055,3587,2878,**,1614,4336,1761,4600,1819,1314,752,2480,2104,2438,1681,2192
,12%,13%,10%,17%,8%,13%,11%,13%,5%,18%,5%,9%,5%,13%,11%,12%,11%,12%,10%,12%,7%,13%,17%,5%,13%,12%,12%,**,14%,16%,12%,15%,10%,10%,9%,15%,16%,12%,16%,10%
Don't know,4209,224,0,31,23,243,9,0,34,35,44,52,31,123,111,91,515,102,14,335,16,263,64,54,732,119,32,**,122,29,48,122,119,15,21,126,47,361,0,16
,*%,1%,0%,*%,*%,1%,*%,0%,*%,*%,*%,*%,*%,*%,*%,1%,1%,*%,*%,3%,*%,*%,*%,*%,*%,*%,*%,**,1%,*%,*%,*%,1%,*%,*%,1%,*%,2%,0%,*%
COMPLEX ANALYTICAL SKILLS,389710,15914,6533,4206,7197,11421,4724,5874,4327,10899,7005,20625,6808,13278,14564,6441,17870,17280,10350,5562,8847,28593,6170,7876,67716,12551,11194,**,4527,10529,5816,12289,7063,6087,3751,5930,5518,9353,4094,11200
,43%,42%,47%,37%,46%,41%,41%,42%,39%,34%,50%,49%,47%,46%,46%,40%,42%,46%,44%,44%,42%,44%,36%,42%,45%,44%,46%,**,40%,38%,41%,39%,40%,46%,47%,37%,42%,47%,39%,51%
OPERATIONAL SKILLS,470779,17389,8240,5412,9162,14445,5916,7866,6732,15321,8695,23647,8169,16237,15070,8237,22581,20034,13368,7004,11476,34311,7435,10690,74223,15023,13513,**,5284,14732,6833,15756,10045,7074,4858,7094,5954,11807,4475,13560
,52%,46%,59%,47%,59%,52%,51%,56%,60%,48%,61%,56%,56%,56%,47%,51%,53%,53%,57%,56%,54%,53%,44%,58%,50%,52%,55%,**,47%,54%,48%,50%,58%,53%,61%,44%,46%,59%,42%,61%
DIGITAL SKILLS,430398,17920,7617,4580,8049,13061,5691,6576,5443,12433,6374,22088,7069,14050,16519,6578,20072,18059,10733,5807,10576,30413,7367,9770,70655,13392,11755,**,4685,13198,6902,13037,8710,8101,4153,7956,5022,10345,5022,12236
,48%,47%,55%,40%,52%,47%,49%,47%,49%,39%,45%,52%,49%,49%,52%,41%,47%,48%,46%,46%,50%,47%,44%,53%,47%,47%,48%,**,42%,48%,48%,42%,50%,61%,52%,49%,38%,52%,48%,55%
Tables produced by IFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
