"time_period","time_identifier","geographic_level","country_code","country_name","group","stem","pathway","top_10_subjects","percentage","all_occupations_percentage"
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","Not STEM","Higher Education",NA,0.238772910091682,0.242840666359795
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Apprenticeship",NA,0.0874351522620723,0.0438003299732608
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Further Education",NA,0.064119111658853,0.0766424962115139
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Higher Education",NA,0.401493892030078,0.160278822233371
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","Not STEM","A/AS levels",NA,0.0559777811268758,0.0968779254094927
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","Not STEM","Apprenticeship",NA,0.0139944452817189,0.0889583085508588
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","Not STEM","Further Education",NA,0.0667427390358904,0.226791966857858
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","Not STEM","GCSEs",NA,0.025835898981635,0.06380948440385
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","Not STEM","Higher Education",NA,0.127553986263914,0.242840666359795
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Apprenticeship",NA,0.108726074881047,0.0438003299732608
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Further Education",NA,0.0947316295993283,0.0766424962115139
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Higher Education",NA,0.506437444829591,0.160278822233371
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","A/AS levels",NA,0.0555555555555556,0.0968779254094927
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","Apprenticeship",NA,0.0444444444444444,0.0889583085508588
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","Further Education",NA,0.155555555555556,0.226791966857858
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","GCSEs",NA,0.0444444444444444,0.06380948440385
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","Higher Education",NA,0.0555555555555556,0.242840666359795
