"year","area","geographic_level","22  all ","25  economically active ","Employment","31  employees ","34  self employed ","37  unemployed ","40  inactive ","empRate","Year"
"2018","West of England","LEP",733900,601000,580400,505400,73700,20500,133000,0.790843439160649,18
"2018","Worcestershire","LEP",347500,285500,276100,234700,40300,9400,62000,0.794532374100719,18
"2018","Buckinghamshire","LEP",322100,265500,259300,211800,47100,6200,56600,0.80502949394598,18
"2018","Coast to Capital","LEP",945000,760200,729500,597100,129700,30700,184900,0.771957671957672,18
"2018","Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",1366100,1053500,1005500,876500,125400,48000,312600,0.736036893346022,18
"2018","Enterprise M3","LEP",929000,779000,761000,641700,116300,18000,150000,0.819160387513455,18
"2018","Hertfordshire","LEP",741300,602300,581600,489900,90300,20800,139000,0.784567651423176,18
"2018","London","LEP",6024100,4713200,4475000,3650800,803800,238200,1310900,0.742849554290267,18
"2018","New Anglia","LEP",961500,768100,738500,628600,108100,29600,193400,0.768070722828913,18
"2018","Oxfordshire","LEP",424500,352700,345000,298200,46000,7600,71800,0.812720848056537,18
"2018","Sheffield City Region","LEP",879400,677100,639100,569900,66700,38000,202300,0.726745508301114,18
"2018","Solent","LEP",768900,608700,581200,509300,70200,27500,160300,0.755885030563142,18
"2018","South East","LEP",2539600,2022800,1946400,1623800,312400,76400,516700,0.766419908647031,18
"2018","South East Midlands","LEP",1048100,846400,812800,712700,98700,33600,201800,0.77549852113348,18
"2018","York and North Yorkshire","LEP",488100,394800,383800,314300,68400,11000,93300,0.786314279860684,18
"2018","Greater Cambridge and Greater Peterborough","LEP",525400,431700,416300,364800,51400,15300,93700,0.792348686714884,18
"2018","Greater Lincolnshire","LEP",662800,521900,494200,430100,61400,27700,140900,0.745624622812311,18
"2018","Hull and East Yorkshire","LEP",362000,286100,272300,236000,35400,13800,75900,0.752209944751381,18
"2018","Leeds City Region","LEP",1450700,1095000,1048300,911100,132600,46700,355700,0.722616667815537,18
"2019","England","COUNTRY",34811200,27566500,26454800,22485200,3880900,1111700,7244700,0.75995082042561,19
"2019","Black Country","LEP",732200,547400,515400,455200,59700,32000,184800,0.703906036602021,19
"2019","Cheshire and Warrington","LEP",558400,459000,442900,383100,59100,16100,99400,0.793159025787966,19
"2019","Cornwall and Isles of Scilly","LEP",327000,261600,252900,199900,51900,8600,65400,0.773394495412844,19
"2019","Coventry and Warwickshire","LEP",587100,471500,455000,403000,51200,16500,115500,0.774995741781639,19
"2019","Cumbria","LEP",289300,233300,227400,190800,36000,5900,56000,0.786035257518147,19
"2019","Dorset","LEP",445800,359200,350600,294200,56200,8600,86700,0.786451323463436,19
"2019","Gloucestershire","LEP",378700,321100,310300,260800,49100,10800,57600,0.819382096646422,19
"2019","Greater Birmingham and Solihull","LEP",1263200,960600,899600,780000,118300,61000,302600,0.712159594680177,19
"2019","Greater Manchester","LEP",1785000,1367400,1297600,1121200,171700,69800,417500,0.726946778711485,19
"2019","Heart of the South West","LEP",1011800,829600,802500,671500,127300,27100,182200,0.79314093694406,19
"2019","Lancashire","LEP",895600,699000,675100,580200,93300,23900,196600,0.753796337650737,19
"2019","Leicester and Leicestershire","LEP",659900,529700,508800,445300,61800,20800,130200,0.771025913017124,19
"2019","Liverpool City Region","LEP",966600,735000,704400,620800,82200,30600,231500,0.728739913097455,19
"2019","North East","LEP",1227700,926400,873300,765000,105700,53100,301300,0.711330129510467,19
"2019","Stoke-on-Trent and Staffordshire","LEP",683000,548700,529700,464000,64600,19000,134400,0.775549048316252,19
"2019","Swindon and Wiltshire","LEP",430300,349400,340900,288700,50800,8500,80900,0.792237973506856,19
"2019","Tees Valley","LEP",409400,300800,281200,248900,31700,19600,108600,0.68685881778212,19
"2019","Thames Valley Berkshire","LEP",572900,474800,461400,396700,63300,13400,98100,0.805376156397277,19
"2019","The Marches","LEP",401500,332500,322200,264800,54700,10300,69000,0.802490660024907,19
"2019","West of England","LEP",737400,604100,580900,496000,83400,23200,133300,0.787767832926499,19
"2019","Worcestershire","LEP",349100,282100,272200,233900,38300,9900,67100,0.779719278143798,19
