"year","area","geographic_level","22  all ","25  economically active ","Employment","31  employees ","34  self employed ","37  unemployed ","40  inactive ","empRate","Year"
"2018","England","COUNTRY",34684700,27252700,26082900,22215300,3768700,1169700,7432100,0.752000161454474,18
"2018","Black Country","LEP",725800,528100,491700,435100,54900,36400,197800,0.677459355194268,18
"2018","Cheshire and Warrington","LEP",559000,435500,420200,365200,54500,15300,123500,0.75169946332737,18
"2018","Cornwall and Isles of Scilly","LEP",327700,251300,242900,188800,52500,8400,76400,0.74122673176686,18
"2018","Coventry and Warwickshire","LEP",583800,464000,448500,383200,61100,15500,119800,0.768242548818088,18
"2018","Cumbria","LEP",292700,233800,227000,196200,29500,6900,58800,0.775538093611206,18
"2018","Dorset","LEP",446300,356000,343200,290000,51600,12800,90400,0.768989468967063,18
"2018","Gloucestershire","LEP",378200,316000,307600,261000,45600,8400,62300,0.81332628239027,18
"2018","Greater Birmingham and Solihull","LEP",1263700,946100,893100,779800,112500,52900,317600,0.706734193242067,18
"2018","Greater Manchester","LEP",1779400,1357700,1294900,1116600,172200,62800,421700,0.727717208047656,18
"2018","Heart of the South West","LEP",1012000,813000,787200,657200,126300,25900,199000,0.777865612648221,18
"2018","Lancashire","LEP",902000,705700,674800,589100,83800,30800,196300,0.748115299334812,18
"2018","Leicester and Leicestershire","LEP",654700,499000,474800,423500,47200,24200,155800,0.725217656942111,18
"2018","Liverpool City Region","LEP",969400,719900,689200,612400,75400,30700,249500,0.710955230039199,18
"2018","North East","LEP",1232300,927900,879200,774200,102300,48700,304400,0.713462630852877,18
"2018","Stoke-on-Trent and Staffordshire","LEP",686700,551100,530500,464300,65400,20500,135700,0.772535313819718,18
"2018","Swindon and Wiltshire","LEP",429900,359200,345900,302900,42700,13300,70700,0.804605722260991,18
"2018","Tees Valley","LEP",411300,300100,281200,251800,28000,18900,111100,0.683685874057865,18
"2018","Thames Valley Berkshire","LEP",569600,469900,456600,394100,60800,13400,99700,0.801615168539326,18
"2018","The Marches","LEP",404200,325900,312900,258100,53800,13000,78300,0.774121721919842,18
