location,location_code,geographic_level,time_period,data_type,institution_group,level_methodology,cohort_level_group,characteristic,all_unknown,all_notsust,cohort,appren,education,all_work
Hartlepool,E06000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,12,51,144,21,19,41
Hartlepool,E06000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,5,45,189,56,53,30
Hartlepool,E06000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,11,42,421,79,225,64
Middlesbrough,E06000002,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,110,372,2231,259,1027,463
Middlesbrough,E06000002,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,40,120,347,76,41,70
Middlesbrough,E06000002,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,33,100,411,63,97,118
Middlesbrough,E06000002,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,37,152,1473,120,889,275
Middlesbrough,E06000002,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,112,483,2590,303,1155,537
Middlesbrough,E06000002,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,50,139,382,71,50,72
Middlesbrough,E06000002,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,26,197,836,97,309,207
Middlesbrough,E06000002,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,36,147,1372,135,796,258
Middlesbrough,E06000002,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,71,475,2502,281,1240,435
Middlesbrough,E06000002,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,33,176,455,77,88,81
Middlesbrough,E06000002,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,13,140,560,88,203,116
Middlesbrough,E06000002,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,25,159,1487,116,949,238
Newcastle upon Tyne,E08000021,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,391,995,5196,539,2126,1145
Newcastle upon Tyne,E08000021,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,210,517,1311,184,139,261
Newcastle upon Tyne,E08000021,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,65,177,687,87,136,222
Newcastle upon Tyne,E08000021,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,116,301,3198,268,1851,662
Newcastle upon Tyne,E08000021,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,388,1121,5796,560,2418,1309
Newcastle upon Tyne,E08000021,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,195,494,1426,164,269,304
Newcastle upon Tyne,E08000021,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,77,333,1318,149,359,400
Newcastle upon Tyne,E08000021,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,116,294,3052,247,1790,605
Newcastle upon Tyne,E08000021,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,379,1160,6408,577,2894,1398
Newcastle upon Tyne,E08000021,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,173,454,1398,155,297,319
Newcastle upon Tyne,E08000021,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,75,340,1446,184,486,361
Newcastle upon Tyne,E08000021,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,131,366,3564,238,2111,718
