"soc_4_digit_code","occupation_label_4_digit","high_semantic_mismatch","high_prop_mismatch","high_lightcast_mismatch","all_issues","any_issues","sum","remove"
2251,"Pharmacists",0,0,0,FALSE,FALSE,0,0
2252,"Optometrists",0,0,0,FALSE,FALSE,0,0
2253,"Dental practitioners",0,0,0,FALSE,FALSE,0,0
2254,"Medical radiographers",0,0,0,FALSE,FALSE,0,0
2255,"Paramedics",0,0,0,FALSE,FALSE,0,0
2256,"Podiatrists",0,0,0,FALSE,FALSE,0,0
2259,"Other health professionals n.e.c.",0,0,0,FALSE,FALSE,0,0
2311,"Higher education teaching professionals",0,0,0,FALSE,FALSE,0,0
2312,"Further education teaching professionals",0,1,0,FALSE,TRUE,1,0
2313,"Secondary education teaching professionals",0,0,0,FALSE,FALSE,0,0
2314,"Primary education teaching professionals",0,0,0,FALSE,FALSE,0,0
2315,"Nursery education teaching professionals",1,0,0,FALSE,TRUE,1,1
2316,"Special and additional needs education teaching professionals",0,0,0,FALSE,FALSE,0,0
2317,"Teachers of English as a foreign language",0,1,0,FALSE,TRUE,1,0
2319,"Teaching professionals n.e.c.",0,0,0,FALSE,FALSE,0,0
2321,"Head teachers and principals",0,0,0,FALSE,FALSE,0,0
2322,"Education managers",0,0,0,FALSE,FALSE,0,0
2323,"Education advisers and school inspectors",0,0,0,FALSE,FALSE,0,0
2324,"Early education and childcare services managers",0,0,0,FALSE,FALSE,0,0
2329,"Other educational professionals n.e.c",0,0,0,FALSE,FALSE,0,0
2411,"Barristers and judges",0,0,0,FALSE,FALSE,0,0
2412,"Solicitors and lawyers",0,0,0,FALSE,FALSE,0,0
2419,"Legal professionals n.e.c.",0,0,0,FALSE,FALSE,0,0
2421,"Chartered and certified accountants",0,0,0,FALSE,FALSE,0,0
2422,"Finance and investment analysts and advisers",0,0,0,FALSE,FALSE,0,0
2423,"Taxation experts",0,0,0,FALSE,FALSE,0,0
2431,"Management consultants and business analysts",0,0,0,FALSE,FALSE,0,0
2432,"Marketing and commercial managers",0,0,1,FALSE,TRUE,1,0
2433,"Actuaries, economists and statisticians",0,0,0,FALSE,FALSE,0,0
2434,"Business and related research professionals",0,0,0,FALSE,FALSE,0,0
2435,"Professional/Chartered company secretaries",0,0,1,FALSE,TRUE,1,0
2439,"Business, research and administrative professionals n.e.c.",0,0,0,FALSE,FALSE,0,0
2440,"Business and financial project management professionals",0,0,0,FALSE,FALSE,0,0
2451,"Architects",0,0,0,FALSE,FALSE,0,0
2452,"Chartered architectural technologists, planning officers and consultants",0,0,0,FALSE,FALSE,0,0
2453,"Quantity surveyors",0,0,0,FALSE,FALSE,0,0
2454,"Chartered surveyors",0,0,0,FALSE,FALSE,0,0
2455,"Construction project managers and related professionals",0,0,0,FALSE,FALSE,0,0
2461,"Social workers",0,0,0,FALSE,FALSE,0,0
2462,"Probation officers",0,0,0,FALSE,FALSE,0,0
2463,"Clergy",1,0,0,FALSE,TRUE,1,1
2464,"Youth work professionals",0,0,0,FALSE,FALSE,0,0
2469,"Welfare professionals n.e.c.",0,0,1,FALSE,TRUE,1,0
2471,"Librarians",0,0,0,FALSE,FALSE,0,0
2472,"Archivists, conservators and curators",0,0,0,FALSE,FALSE,0,0
2481,"Quality control and planning engineers",0,0,0,FALSE,FALSE,0,0
2482,"Quality assurance and regulatory professionals",0,0,0,FALSE,FALSE,0,0
2483,"Environmental health professionals",0,0,1,FALSE,TRUE,1,0
2491,"Newspaper, periodical and broadcast editors",0,0,0,FALSE,FALSE,0,0
2492,"Newspaper and periodical broadcast journalists and reporters",0,0,0,FALSE,FALSE,0,0
2493,"Public relations professionals",0,0,0,FALSE,FALSE,0,0
2494,"Advertising accounts managers and creative directors",0,0,0,FALSE,FALSE,0,0
3111,"Laboratory technicians",0,0,0,FALSE,FALSE,0,0
3112,"Electrical and electronics technicians",0,0,0,FALSE,FALSE,0,0
3113,"Engineering technicians",0,0,0,FALSE,FALSE,0,0
3114,"Building and civil engineering technicians",0,0,0,FALSE,FALSE,0,0
3115,"Quality assurance technicians",0,0,0,FALSE,FALSE,0,0
3116,"Planning, process and production technicians",0,0,0,FALSE,FALSE,0,0
3119,"Science, engineering and production technicians n.e.c.",0,0,0,FALSE,FALSE,0,0
3120,"CAD, drawing and architectural technicians",0,0,0,FALSE,FALSE,0,0
3131,"IT operations technicians",0,0,0,FALSE,FALSE,0,0
3132,"IT user support technicians",0,0,0,FALSE,FALSE,0,0
3133,"Database administrators and web content technicians",0,0,0,FALSE,FALSE,0,0
3211,"Dispensing opticians",0,0,0,FALSE,FALSE,0,0
3212,"Pharmaceutical technicians",0,0,0,FALSE,FALSE,0,0
3213,"Medical and dental technicians",0,0,0,FALSE,FALSE,0,0
3214,"Complementary health associate professionals",0,0,0,FALSE,FALSE,0,0
3219,"Health associate professionals n.e.c.",0,0,0,FALSE,FALSE,0,0
3221,"Youth and community workers",0,0,0,FALSE,FALSE,0,0
3222,"Child and early years officers",0,0,0,FALSE,FALSE,0,0
3223,"Housing officers",0,0,0,FALSE,FALSE,0,0
3224,"Counsellors",0,0,0,FALSE,FALSE,0,0
3229,"Welfare and housing associate professionals n.e.c.",0,0,0,FALSE,FALSE,0,0
3231,"Higher level teaching assistants",0,0,0,FALSE,FALSE,0,0
3232,"Early education and childcare practitioners",0,0,0,FALSE,FALSE,0,0
3240,"Veterinary nurses",0,0,0,FALSE,FALSE,0,0
3311,"Non-commissioned officers and other ranks",1,0,0,FALSE,TRUE,1,1
3312,"Police officers (sergeant and below)",0,1,1,FALSE,TRUE,2,1
3313,"Fire service officers (watch manager and below)",0,0,0,FALSE,FALSE,0,0
3314,"Prison service officers (below principal officer)",0,0,0,FALSE,FALSE,0,0
3319,"Protective service associate professionals n.e.c.",0,0,0,FALSE,FALSE,0,0
3411,"Artists",0,1,0,FALSE,TRUE,1,0
3412,"Authors, writers and translators",0,0,0,FALSE,FALSE,0,0
3413,"Actors, entertainers and presenters",0,0,0,FALSE,FALSE,0,0
3414,"Dancers and choreographers",1,1,1,TRUE,TRUE,3,1
3415,"Musicians",0,1,0,FALSE,TRUE,1,0
3416,"Arts officers, producers and directors",1,0,0,FALSE,TRUE,1,1
3417,"Photographers, audio-visual and broadcasting equipment operators",0,0,0,FALSE,FALSE,0,0
3421,"Interior designers",0,0,0,FALSE,FALSE,0,0
3422,"Clothing, fashion and accessories designers",0,0,0,FALSE,FALSE,0,0
3429,"Design occupations n.e.c.",0,0,0,FALSE,FALSE,0,0
3431,"Sports players",0,0,0,FALSE,FALSE,0,0
3432,"Sports coaches, instructors and officials",0,0,0,FALSE,FALSE,0,0
3433,"Fitness and wellbeing instructors",0,0,0,FALSE,FALSE,0,0
3511,"Aircraft pilots and air traffic controllers",0,1,0,FALSE,TRUE,1,0
3512,"Ship and hovercraft officers",0,0,0,FALSE,FALSE,0,0
3520,"Legal associate professionals",0,0,0,FALSE,FALSE,0,0
3531,"Brokers",0,0,0,FALSE,FALSE,0,0
3532,"Insurance underwriters",0,0,0,FALSE,FALSE,0,0
3533,"Financial and accounting technicians",0,0,1,FALSE,TRUE,1,0
3534,"Financial accounts managers",0,0,0,FALSE,FALSE,0,0
3541,"Estimators, valuers and assessors",0,0,0,FALSE,FALSE,0,0
3542,"Importers and exporters",0,0,0,FALSE,FALSE,0,0
3543,"Project support officers",0,0,0,FALSE,FALSE,0,0
3544,"Data analysts",0,0,0,FALSE,FALSE,0,0
3549,"Business associate professionals n.e.c.",0,0,0,FALSE,FALSE,0,0
3551,"Buyers and procurement officers",0,0,0,FALSE,FALSE,0,0
3552,"Business sales executives",0,0,0,FALSE,FALSE,0,0
3553,"Merchandisers",0,0,0,FALSE,FALSE,0,0
3554,"Advertising and marketing associate professionals",0,0,0,FALSE,FALSE,0,0
3555,"Estate agents and auctioneers",0,0,0,FALSE,FALSE,0,0
3556,"Sales accounts and business development managers",0,0,0,FALSE,FALSE,0,0
3557,"Events managers and organisers",0,0,0,FALSE,FALSE,0,0
3560,"Public services associate professionals",0,0,0,FALSE,FALSE,0,0
3571,"Human resources and industrial relations officers",0,0,0,FALSE,FALSE,0,0
3572,"Careers advisers and vocational guidance specialists",1,0,0,FALSE,TRUE,1,1
3573,"Information technology trainers",1,0,0,FALSE,TRUE,1,1
3574,"Other vocational and industrial trainers",1,0,0,FALSE,TRUE,1,1
3581,"Inspectors of standards and regulations",0,0,0,FALSE,FALSE,0,0
3582,"Health and safety managers and officers",0,0,0,FALSE,FALSE,0,0
4111,"National government administrative occupations",0,1,0,FALSE,TRUE,1,0
4112,"Local government administrative occupations",1,1,0,FALSE,TRUE,2,1
4113,"Officers of non-governmental organisations",0,0,1,FALSE,TRUE,1,0
4121,"Credit controllers",0,0,0,FALSE,FALSE,0,0
4122,"Book-keepers, payroll managers and wages clerks",0,0,0,FALSE,FALSE,0,0
4123,"Bank and post office clerks",0,0,0,FALSE,FALSE,0,0
4124,"Finance officers",0,0,1,FALSE,TRUE,1,0
4129,"Financial administrative occupations n.e.c.",0,0,0,FALSE,FALSE,0,0
4131,"Records clerks and assistants",0,0,0,FALSE,FALSE,0,0
4132,"Pensions and insurance clerks and assistants",0,0,0,FALSE,FALSE,0,0
4133,"Stock control clerks and assistants",0,0,0,FALSE,FALSE,0,0
4134,"Transport and distribution clerks and assistants",0,0,0,FALSE,FALSE,0,0
4135,"Library clerks and assistants",0,0,0,FALSE,FALSE,0,0
4136,"Human resources administrative occupations",0,0,0,FALSE,FALSE,0,0
4141,"Office managers",0,0,0,FALSE,FALSE,0,0
4142,"Office supervisors",0,0,0,FALSE,FALSE,0,0
4143,"Customer service managers",0,0,0,FALSE,FALSE,0,0
4151,"Sales administrators",0,0,0,FALSE,FALSE,0,0
4152,"Data entry administrators",0,0,0,FALSE,FALSE,0,0
4159,"Other administrative occupations n.e.c.",0,0,0,FALSE,FALSE,0,0
4211,"Medical secretaries",0,0,0,FALSE,FALSE,0,0
