soc_4_digit_group
Elected officers and representatives - 1112
Officers in armed forces - 1161
Senior police officers - 1162
"Senior officers in fire, ambulance, prison and related services - 1163"
Managers and proprietors in agriculture and horticulture - 1211
Early education and childcare services proprietors - 1233
Betting shop and gambling establishment managers - 1256
Directors in consultancy services - 1258
Social and humanities scientists - 2115
Aerospace engineers - 2126
Higher education teaching professionals - 2311
Further education teaching professionals - 2312
Secondary education teaching professionals - 2313
Primary education teaching professionals - 2314
Teachers of English as a foreign language - 2317
Clergy - 2463
Non-commissioned officers and other ranks - 3311
Police officers (sergeant and below) - 3312
Dancers and choreographers - 3414
Careers advisers and vocational guidance specialists - 3572
Information technology trainers - 3573
Other vocational and industrial trainers - 3574
Local government administrative occupations - 4112
Tailors and dressmakers - 5413
"Textiles, garments and related trades n.e.c. - 5419"
Pre-press technicians - 5421
"Glass and ceramics makers, decorators and finishers - 5441"
Bed and breakfast and guest house owners and proprietors - 6250
Textile process operatives - 8112
Metal making and treating process operatives - 8115
Metal working machine operatives - 8120
Mining and quarry workers and related operatives - 8132
Energy plant operatives - 8133
"Production, factory and assembly supervisors - 8160"
Taxi and cab drivers and chauffeurs - 8213
Crane drivers - 8221
Marine and waterways transport operatives - 8232
Farm workers - 9111
Forestry and related workers - 9112
Groundworkers - 9121
Elementary construction occupations n.e.c. - 9129
Leisure and theme park attendants - 9267
