"time_period","area","geographic_level","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201920,"Northumberland","LADU","2010","Total","76","360","251","849","474"
201920,"Northumberland","LADU","292","All other qualifications","23","126","51","17","75"
201920,"Northumberland","LADU","196","Level 2","9","61","41","20","65"
201920,"Northumberland","LADU","1522","Level 3","44","173","159","812","334"
201718,"Redcar and Cleveland","LADU","1090","Total","50","160","128","583","169"
201718,"Redcar and Cleveland","LADU","110","All other qualifications","12","51","22","7","18"
201718,"Redcar and Cleveland","LADU","98","Level 2","4","31","26","22","15"
201718,"Redcar and Cleveland","LADU","882","Level 3","34","78","80","554","136"
201819,"Redcar and Cleveland","LADU","1297","Total","52","197","112","721","215"
201819,"Redcar and Cleveland","LADU","149","All other qualifications","13","62","26","17","31"
201819,"Redcar and Cleveland","LADU","171","Level 2","8","61","24","37","41"
201819,"Redcar and Cleveland","LADU","977","Level 3","31","74","62","667","143"
201920,"Redcar and Cleveland","LADU","951","Total","29","127","105","561","129"
201920,"Redcar and Cleveland","LADU","105","All other qualifications","6","39","23","11","26"
201920,"Redcar and Cleveland","LADU","62","Level 2","5","11","26","10","10"
201920,"Redcar and Cleveland","LADU","784","Level 3","18","77","56","540","93"
201718,"South Tyneside","LADU","1102","Total","57","186","195","496","168"
201718,"South Tyneside","LADU","262","All other qualifications","24","89","78","40","31"
201718,"South Tyneside","LADU","147","Level 2","10","39","26","39","33"
201718,"South Tyneside","LADU","693","Level 3","23","58","91","417","104"
201819,"South Tyneside","LADU","1605","Total","71","264","305","709","256"
201819,"South Tyneside","LADU","346","All other qualifications","31","93","80","94","48"
201819,"South Tyneside","LADU","376","Level 2","18","91","79","119","69"
201819,"South Tyneside","LADU","883","Level 3","22","80","146","496","139"
201920,"South Tyneside","LADU","1279","Total","39","225","241","541","233"
201920,"South Tyneside","LADU","232","All other qualifications","12","104","47","31","38"
201920,"South Tyneside","LADU","230","Level 2","11","55","74","30","60"
201920,"South Tyneside","LADU","817","Level 3","16","66","120","480","135"
201718,"Stockton-on-Tees","LADU","1025","Total","81","182","116","481","165"
201718,"Stockton-on-Tees","LADU","250","All other qualifications","43","109","40","21","37"
201718,"Stockton-on-Tees","LADU","96","Level 2","7","26","22","16","25"
201718,"Stockton-on-Tees","LADU","679","Level 3","31","47","54","444","103"
201819,"Stockton-on-Tees","LADU","1088","Total","59","225","107","486","211"
201819,"Stockton-on-Tees","LADU","243","All other qualifications","32","113","24","22","52"
201819,"Stockton-on-Tees","LADU","213","Level 2","8","59","27","64","55"
201819,"Stockton-on-Tees","LADU","632","Level 3","19","53","56","400","104"
201920,"Stockton-on-Tees","LADU","1018","Total","41","219","81","512","165"
201920,"Stockton-on-Tees","LADU","232","All other qualifications","20","107","30","35","40"
201920,"Stockton-on-Tees","LADU","105","Level 2","3","42","10","36","14"
