"time_period","area","geographic_level","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201819,"Lincolnshire","LADU","1708","Level 2","70","280","308","450","600"
201819,"Lincolnshire","LADU","4716","Level 3","191","331","369","2832","993"
201920,"Lincolnshire","LADU","6994","Total","308","902","712","3336","1736"
201920,"Lincolnshire","LADU","1004","All other qualifications","80","311","151","191","271"
201920,"Lincolnshire","LADU","1203","Level 2","62","240","246","251","404"
201920,"Lincolnshire","LADU","4787","Level 3","166","351","315","2894","1061"
201718,"Northamptonshire","LADU","7534","Total","356","981","783","3224","2190"
201718,"Northamptonshire","LADU","1232","All other qualifications","133","341","163","208","387"
201718,"Northamptonshire","LADU","1385","Level 2","84","238","224","357","482"
201718,"Northamptonshire","LADU","4917","Level 3","139","402","396","2659","1321"
201819,"Northamptonshire","LADU","6444","Total","317","814","679","2761","1873"
201819,"Northamptonshire","LADU","1023","All other qualifications","126","293","179","120","305"
201819,"Northamptonshire","LADU","1191","Level 2","81","194","189","291","436"
201819,"Northamptonshire","LADU","4230","Level 3","110","327","311","2350","1132"
201920,"Northamptonshire","LADU","6280","Total","353","740","547","2845","1795"
201920,"Northamptonshire","LADU","1029","All other qualifications","164","257","143","140","325"
201920,"Northamptonshire","LADU","1047","Level 2","66","182","148","263","388"
201920,"Northamptonshire","LADU","4204","Level 3","123","301","256","2442","1082"
201718,"Nottingham","LADU","3299","Total","206","484","299","1509","801"
201718,"Nottingham","LADU","558","All other qualifications","70","159","70","98","161"
201718,"Nottingham","LADU","499","Level 2","39","117","79","103","161"
201718,"Nottingham","LADU","2242","Level 3","97","208","150","1308","479"
201819,"Nottingham","LADU","4061","Total","233","649","339","1793","1047"
201819,"Nottingham","LADU","899","All other qualifications","88","244","102","256","209"
201819,"Nottingham","LADU","825","Level 2","48","180","89","223","285"
201819,"Nottingham","LADU","2337","Level 3","97","225","148","1314","553"
201920,"Nottingham","LADU","4801","Total","238","776","363","2258","1166"
201920,"Nottingham","LADU","996","All other qualifications","82","296","92","300","226"
201920,"Nottingham","LADU","1097","Level 2","39","217","115","438","288"
201920,"Nottingham","LADU","2708","Level 3","117","263","156","1520","652"
201718,"Nottinghamshire","LADU","6715","Total","325","856","812","3039","1683"
201718,"Nottinghamshire","LADU","1180","All other qualifications","126","330","209","221","294"
201718,"Nottinghamshire","LADU","1130","Level 2","55","198","229","299","349"
201718,"Nottinghamshire","LADU","4405","Level 3","144","328","374","2519","1040"
201819,"Nottinghamshire","LADU","5328","Total","224","670","675","2428","1331"
201819,"Nottinghamshire","LADU","816","All other qualifications","77","274","167","86","212"
201819,"Nottinghamshire","LADU","856","Level 2","50","155","212","167","272"
201819,"Nottinghamshire","LADU","3656","Level 3","97","241","296","2175","847"
201920,"Nottinghamshire","LADU","4902","Total","224","620","588","2277","1193"
201920,"Nottinghamshire","LADU","820","All other qualifications","90","229","175","105","221"
201920,"Nottinghamshire","LADU","634","Level 2","26","122","136","134","216"
201920,"Nottinghamshire","LADU","3448","Level 3","108","269","277","2038","756"
201718,"Rutland","LADU","131","Total","5","9","12","70","35"
201718,"Rutland","LADU","8","All other qualifications","2","2","0","4","0"
201718,"Rutland","LADU","8","Level 2","0","0","4","1","3"
201718,"Rutland","LADU","115","Level 3","3","7","8","65","32"
201819,"Rutland","LADU","83","Total","0","7","4","59","13"
201819,"Rutland","LADU","1","All other qualifications","0","0","0","1","0"
201819,"Rutland","LADU","82","Level 3","0","7","4","58","13"
201920,"Rutland","LADU","107","Total","2","9","4","71","21"
201920,"Rutland","LADU","2","All other qualifications","0","1","0","1","0"
201920,"Rutland","LADU","4","Level 2","0","1","0","0","3"
201920,"Rutland","LADU","101","Level 3","2","7","4","70","18"
201718,"Birmingham","LADU","12151","Total","981","1765","820","6364","2221"
201718,"Birmingham","LADU","1853","All other qualifications","330","571","202","336","414"
201718,"Birmingham","LADU","1633","Level 2","180","363","194","504","392"
201718,"Birmingham","LADU","8665","Level 3","471","831","424","5524","1415"
201819,"Birmingham","LADU","11450","Total","798","1820","829","6109","1894"
201819,"Birmingham","LADU","1837","All other qualifications","273","623","201","370","370"
201819,"Birmingham","LADU","2079","Level 2","171","447","238","756","467"
201819,"Birmingham","LADU","7534","Level 3","354","750","390","4983","1057"
201920,"Birmingham","LADU","11430","Total","746","1775","693","6250","1966"
201920,"Birmingham","LADU","1816","All other qualifications","304","613","176","374","349"
201920,"Birmingham","LADU","1745","Level 2","117","415","193","611","409"
201920,"Birmingham","LADU","7869","Level 3","325","747","324","5265","1208"
201718,"Coventry","LADU","3175","Total","193","421","343","1555","663"
201718,"Coventry","LADU","615","All other qualifications","95","171","82","114","153"
201718,"Coventry","LADU","482","Level 2","36","79","82","161","124"
201718,"Coventry","LADU","2078","Level 3","62","171","179","1280","386"
201819,"Coventry","LADU","3193","Total","172","443","331","1530","717"
201819,"Coventry","LADU","633","All other qualifications","78","180","81","146","148"
201819,"Coventry","LADU","581","Level 2","40","98","77","194","172"
201819,"Coventry","LADU","1979","Level 3","54","165","173","1190","397"
201920,"Coventry","LADU","3004","Total","159","394","252","1561","638"
201920,"Coventry","LADU","632","All other qualifications","78","173","57","159","165"
201920,"Coventry","LADU","432","Level 2","31","86","51","143","121"
201920,"Coventry","LADU","1940","Level 3","50","135","144","1259","352"
201718,"Dudley","LADU","4633","Total","273","624","629","2034","1073"
201718,"Dudley","LADU","690","All other qualifications","98","214","148","82","148"
201718,"Dudley","LADU","760","Level 2","51","139","194","108","268"
201718,"Dudley","LADU","3183","Level 3","124","271","287","1844","657"
201819,"Dudley","LADU","5088","Total","261","747","594","2418","1068"
201819,"Dudley","LADU","742","All other qualifications","93","214","126","156","153"
201819,"Dudley","LADU","1195","Level 2","66","249","166","358","356"
201819,"Dudley","LADU","3151","Level 3","102","284","302","1904","559"
201920,"Dudley","LADU","4858","Total","242","735","518","2381","982"
201920,"Dudley","LADU","748","All other qualifications","107","248","99","138","156"
201920,"Dudley","LADU","733","Level 2","39","177","141","193","183"
201920,"Dudley","LADU","3377","Level 3","96","310","278","2050","643"
201718,"Herefordshire, County of","LADU","2226","Total","147","239","180","1016","644"
201718,"Herefordshire, County of","LADU","188","All other qualifications","31","47","38","15","57"
201718,"Herefordshire, County of","LADU","315","Level 2","34","54","47","56","124"
201718,"Herefordshire, County of","LADU","1723","Level 3","82","138","95","945","463"
201819,"Herefordshire, County of","LADU","2404","Total","139","352","257","892","764"
201819,"Herefordshire, County of","LADU","253","All other qualifications","24","83","44","28","74"
201819,"Herefordshire, County of","LADU","570","Level 2","48","113","106","73","230"
201819,"Herefordshire, County of","LADU","1581","Level 3","67","156","107","791","460"
201920,"Herefordshire, County of","LADU","2335","Total","122","297","215","992","709"
201920,"Herefordshire, County of","LADU","266","All other qualifications","24","72","49","22","99"
201920,"Herefordshire, County of","LADU","353","Level 2","35","72","73","59","114"
201920,"Herefordshire, County of","LADU","1716","Level 3","63","153","93","911","496"
201718,"Sandwell","LADU","2825","Total","211","472","188","1490","464"
201718,"Sandwell","LADU","564","All other qualifications","85","158","51","163","107"
201718,"Sandwell","LADU","463","Level 2","37","110","39","196","81"
201718,"Sandwell","LADU","1798","Level 3","89","204","98","1131","276"
201819,"Sandwell","LADU","3209","Total","211","522","232","1743","501"
201819,"Sandwell","LADU","589","All other qualifications","90","191","49","170","89"
201819,"Sandwell","LADU","857","Level 2","52","140","65","438","162"
201819,"Sandwell","LADU","1763","Level 3","69","191","118","1135","250"
201920,"Sandwell","LADU","3019","Total","201","516","178","1692","432"
201920,"Sandwell","LADU","548","All other qualifications","94","187","26","152","89"
201920,"Sandwell","LADU","560","Level 2","29","112","54","276","89"
201920,"Sandwell","LADU","1911","Level 3","78","217","98","1264","254"
201718,"Shropshire","LADU","2430","Total","133","284","244","993","776"
201718,"Shropshire","LADU","240","All other qualifications","30","74","30","38","68"
201718,"Shropshire","LADU","264","Level 2","21","62","54","38","89"
201718,"Shropshire","LADU","1926","Level 3","82","148","160","917","619"
201819,"Shropshire","LADU","2590","Total","142","348","273","959","868"
201819,"Shropshire","LADU","295","All other qualifications","29","99","53","27","87"
201819,"Shropshire","LADU","477","Level 2","32","100","82","70","193"
201819,"Shropshire","LADU","1818","Level 3","81","149","138","862","588"
201920,"Shropshire","LADU","2661","Total","141","346","285","1109","780"
201920,"Shropshire","LADU","339","All other qualifications","34","82","73","66","84"
201920,"Shropshire","LADU","421","Level 2","22","81","59","113","146"
201920,"Shropshire","LADU","1901","Level 3","85","183","153","930","550"
201718,"Solihull","LADU","3720","Total","215","469","342","1820","874"
201718,"Solihull","LADU","426","All other qualifications","64","132","62","58","110"
201718,"Solihull","LADU","521","Level 2","47","88","70","170","146"
201718,"Solihull","LADU","2773","Level 3","104","249","210","1592","618"
201819,"Solihull","LADU","3625","Total","189","541","333","1677","885"
201819,"Solihull","LADU","409","All other qualifications","66","150","58","27","108"
201819,"Solihull","LADU","583","Level 2","36","132","64","151","200"
201819,"Solihull","LADU","2633","Level 3","87","259","211","1499","577"
201920,"Solihull","LADU","4344","Total","221","652","310","2119","1042"
201920,"Solihull","LADU","523","All other qualifications","71","182","58","78","134"
201920,"Solihull","LADU","637","Level 2","38","161","51","208","179"
201920,"Solihull","LADU","3184","Level 3","112","309","201","1833","729"
201718,"Staffordshire","LADU","7901","Total","308","907","1008","3523","2155"
201718,"Staffordshire","LADU","1068","All other qualifications","102","311","178","141","336"
201718,"Staffordshire","LADU","1387","Level 2","72","199","258","380","478"
201718,"Staffordshire","LADU","5446","Level 3","134","397","572","3002","1341"
201819,"Staffordshire","LADU","7561","Total","314","906","862","3387","2092"
201819,"Staffordshire","LADU","953","All other qualifications","96","264","168","128","297"
201819,"Staffordshire","LADU","1529","Level 2","61","270","257","431","510"
201819,"Staffordshire","LADU","5079","Level 3","157","372","437","2828","1285"
201920,"Staffordshire","LADU","7461","Total","326","938","867","3269","2061"
201920,"Staffordshire","LADU","1020","All other qualifications","96","272","156","171","325"
201920,"Staffordshire","LADU","1232","Level 2","69","242","220","263","438"
201920,"Staffordshire","LADU","5209","Level 3","161","424","491","2835","1298"
201718,"Stoke-on-Trent","LADU","1935","Total","102","306","194","884","449"
201718,"Stoke-on-Trent","LADU","429","All other qualifications","56","159","38","79","97"
201718,"Stoke-on-Trent","LADU","333","Level 2","14","51","65","99","104"
201718,"Stoke-on-Trent","LADU","1173","Level 3","32","96","91","706","248"
201819,"Stoke-on-Trent","LADU","1941","Total","97","301","186","912","445"
201819,"Stoke-on-Trent","LADU","414","All other qualifications","48","141","60","61","104"
201819,"Stoke-on-Trent","LADU","403","Level 2","18","80","61","143","101"
201819,"Stoke-on-Trent","LADU","1124","Level 3","31","80","65","708","240"
201920,"Stoke-on-Trent","LADU","1998","Total","98","327","152","1006","415"
201920,"Stoke-on-Trent","LADU","387","All other qualifications","40","135","49","71","92"
201920,"Stoke-on-Trent","LADU","371","Level 2","26","86","49","107","103"
201920,"Stoke-on-Trent","LADU","1240","Level 3","32","106","54","828","220"
201718,"Telford and Wrekin","LADU","1701","Total","81","216","220","716","468"
201718,"Telford and Wrekin","LADU","231","All other qualifications","23","57","33","58","60"
201718,"Telford and Wrekin","LADU","376","Level 2","29","83","76","44","144"
201718,"Telford and Wrekin","LADU","1094","Level 3","29","76","111","614","264"
201819,"Telford and Wrekin","LADU","1674","Total","72","203","181","744","474"
201819,"Telford and Wrekin","LADU","245","All other qualifications","24","62","30","66","63"
201819,"Telford and Wrekin","LADU","378","Level 2","22","81","57","75","143"
201819,"Telford and Wrekin","LADU","1051","Level 3","26","60","94","603","268"
201920,"Telford and Wrekin","LADU","1645","Total","51","225","152","784","433"
201920,"Telford and Wrekin","LADU","204","All other qualifications","14","61","22","50","57"
201920,"Telford and Wrekin","LADU","280","Level 2","11","77","38","64","90"
201920,"Telford and Wrekin","LADU","1161","Level 3","26","87","92","670","286"
201718,"Walsall","LADU","3145","Total","204","420","351","1589","581"
201718,"Walsall","LADU","535","All other qualifications","76","128","96","132","103"
201718,"Walsall","LADU","561","Level 2","34","106","84","200","137"
201718,"Walsall","LADU","2049","Level 3","94","186","171","1257","341"
201819,"Walsall","LADU","2928","Total","208","431","349","1345","595"
201819,"Walsall","LADU","432","All other qualifications","78","126","71","64","93"
201819,"Walsall","LADU","594","Level 2","52","139","99","107","197"
201819,"Walsall","LADU","1902","Level 3","78","166","179","1174","305"
201920,"Walsall","LADU","3664","Total","225","600","326","1788","725"
201920,"Walsall","LADU","660","All other qualifications","97","165","85","187","126"
201920,"Walsall","LADU","743","Level 2","38","165","101","257","182"
201920,"Walsall","LADU","2261","Level 3","90","270","140","1344","417"
201718,"Warwickshire","LADU","6532","Total","312","705","692","2956","1867"
201718,"Warwickshire","LADU","849","All other qualifications","86","222","137","115","289"
201718,"Warwickshire","LADU","1090","Level 2","68","161","197","278","386"
201718,"Warwickshire","LADU","4593","Level 3","158","322","358","2563","1192"
201819,"Warwickshire","LADU","7323","Total","350","881","719","3233","2140"
201819,"Warwickshire","LADU","1112","All other qualifications","105","310","173","184","340"
201819,"Warwickshire","LADU","1744","Level 2","110","266","217","547","604"
201819,"Warwickshire","LADU","4467","Level 3","135","305","329","2502","1196"
201920,"Warwickshire","LADU","6615","Total","301","858","643","2974","1839"
201920,"Warwickshire","LADU","1180","All other qualifications","110","357","190","160","363"
201920,"Warwickshire","LADU","1095","Level 2","65","178","175","275","402"
201920,"Warwickshire","LADU","4340","Level 3","126","323","278","2539","1074"
201718,"Wolverhampton","LADU","2115","Total","139","294","224","1075","383"
201718,"Wolverhampton","LADU","301","All other qualifications","37","105","50","42","67"
201718,"Wolverhampton","LADU","295","Level 2","29","63","56","59","88"
201718,"Wolverhampton","LADU","1519","Level 3","73","126","118","974","228"
201819,"Wolverhampton","LADU","2062","Total","122","338","228","1028","346"
201819,"Wolverhampton","LADU","275","All other qualifications","39","123","34","28","51"
201819,"Wolverhampton","LADU","401","Level 2","30","100","76","89","106"
201819,"Wolverhampton","LADU","1386","Level 3","53","115","118","911","189"
201920,"Wolverhampton","LADU","2132","Total","136","342","170","1135","349"
201920,"Wolverhampton","LADU","343","All other qualifications","53","117","36","61","76"
201920,"Wolverhampton","LADU","316","Level 2","17","83","54","89","73"
201920,"Wolverhampton","LADU","1473","Level 3","66","142","80","985","200"
201718,"Worcestershire","LADU","4167","Total","187","493","528","1831","1128"
201718,"Worcestershire","LADU","548","All other qualifications","65","167","94","38","184"
201718,"Worcestershire","LADU","376","Level 2","23","76","94","42","141"
201718,"Worcestershire","LADU","3243","Level 3","99","250","340","1751","803"
201819,"Worcestershire","LADU","4290","Total","213","535","554","1668","1320"
201819,"Worcestershire","LADU","595","All other qualifications","69","178","114","41","193"
201819,"Worcestershire","LADU","810","Level 2","43","157","164","109","337"
201819,"Worcestershire","LADU","2885","Level 3","101","200","276","1518","790"
201920,"Worcestershire","LADU","3897","Total","202","540","439","1541","1176"
201920,"Worcestershire","LADU","555","All other qualifications","57","196","83","51","168"
201920,"Worcestershire","LADU","530","Level 2","29","116","117","68","200"
201920,"Worcestershire","LADU","2812","Level 3","116","228","239","1422","808"
201718,"Bedford","LADU","2826","Total","162","295","310","1226","833"
201718,"Bedford","LADU","391","All other qualifications","50","95","59","77","110"
201718,"Bedford","LADU","524","Level 2","32","59","78","196","159"
201718,"Bedford","LADU","1911","Level 3","80","141","173","953","564"
201819,"Bedford","LADU","3324","Total","167","416","320","1439","982"
201819,"Bedford","LADU","589","All other qualifications","47","123","81","144","194"
201819,"Bedford","LADU","775","Level 2","32","128","96","283","236"
201819,"Bedford","LADU","1960","Level 3","88","165","143","1012","552"
201920,"Bedford","LADU","3331","Total","151","485","263","1416","1016"
201920,"Bedford","LADU","554","All other qualifications","55","163","62","119","155"
201920,"Bedford","LADU","683","Level 2","37","135","79","184","248"
201920,"Bedford","LADU","2094","Level 3","59","187","122","1113","613"
201718,"Cambridgeshire","LADU","5403","Total","335","596","395","2264","1813"
201718,"Cambridgeshire","LADU","671","All other qualifications","118","181","91","67","214"
201718,"Cambridgeshire","LADU","713","Level 2","58","110","92","185","268"
201718,"Cambridgeshire","LADU","4019","Level 3","159","305","212","2012","1331"
201819,"Cambridgeshire","LADU","5581","Total","369","589","449","2276","1898"
201819,"Cambridgeshire","LADU","694","All other qualifications","104","165","98","97","230"
201819,"Cambridgeshire","LADU","946","Level 2","107","123","137","196","383"
201819,"Cambridgeshire","LADU","3941","Level 3","158","301","214","1983","1285"
201920,"Cambridgeshire","LADU","5495","Total","319","611","333","2371","1861"
201920,"Cambridgeshire","LADU","669","All other qualifications","76","178","70","107","238"
201920,"Cambridgeshire","LADU","607","Level 2","45","103","71","122","266"
201920,"Cambridgeshire","LADU","4219","Level 3","198","330","192","2142","1357"
201718,"Central Bedfordshire","LADU","1873","Total","73","184","208","868","540"
201718,"Central Bedfordshire","LADU","185","All other qualifications","29","40","31","33","52"
201718,"Central Bedfordshire","LADU","178","Level 2","12","38","23","35","70"
201718,"Central Bedfordshire","LADU","1510","Level 3","32","106","154","800","418"
201819,"Central Bedfordshire","LADU","1855","Total","85","212","184","827","547"
201819,"Central Bedfordshire","LADU","199","All other qualifications","28","55","26","20","70"
201819,"Central Bedfordshire","LADU","277","Level 2","19","57","23","62","116"
201819,"Central Bedfordshire","LADU","1379","Level 3","38","100","135","745","361"
201920,"Central Bedfordshire","LADU","1905","Total","91","235","141","871","567"
201920,"Central Bedfordshire","LADU","207","All other qualifications","31","60","18","30","68"
201920,"Central Bedfordshire","LADU","207","Level 2","18","45","12","46","86"
201920,"Central Bedfordshire","LADU","1491","Level 3","42","130","111","795","413"
201718,"Essex","LADU","13248","Total","740","1568","1450","5710","3780"
201718,"Essex","LADU","1733","All other qualifications","236","493","300","225","479"
201718,"Essex","LADU","2009","Level 2","158","358","323","483","687"
201718,"Essex","LADU","9506","Level 3","346","717","827","5002","2614"
201819,"Essex","LADU","13670","Total","689","1788","1465","5576","4152"
201819,"Essex","LADU","1751","All other qualifications","218","513","269","214","537"
201819,"Essex","LADU","2347","Level 2","165","462","351","464","905"
201819,"Essex","LADU","9572","Level 3","306","813","845","4898","2710"
201920,"Essex","LADU","13389","Total","651","1745","1293","5780","3920"
201920,"Essex","LADU","1807","All other qualifications","214","525","295","228","545"
201920,"Essex","LADU","1778","Level 2","111","387","274","354","652"
201920,"Essex","LADU","9804","Level 3","326","833","724","5198","2723"
201718,"Hertfordshire","LADU","13176","Total","638","1335","963","6824","3416"
201718,"Hertfordshire","LADU","1541","All other qualifications","185","416","201","280","459"
201718,"Hertfordshire","LADU","1702","Level 2","110","277","229","496","590"
201718,"Hertfordshire","LADU","9933","Level 3","343","642","533","6048","2367"
201819,"Hertfordshire","LADU","13145","Total","652","1411","976","6662","3444"
201819,"Hertfordshire","LADU","1313","All other qualifications","179","407","169","163","395"
201819,"Hertfordshire","LADU","2244","Level 2","162","371","316","604","791"
201819,"Hertfordshire","LADU","9588","Level 3","311","633","491","5895","2258"
201920,"Hertfordshire","LADU","13596","Total","644","1542","948","6898","3564"
201920,"Hertfordshire","LADU","1559","All other qualifications","185","453","188","311","422"
201920,"Hertfordshire","LADU","1745","Level 2","125","333","233","395","659"
201920,"Hertfordshire","LADU","10292","Level 3","334","756","527","6192","2483"
201718,"Luton","LADU","2180","Total","136","231","158","1258","397"
201718,"Luton","LADU","307","All other qualifications","61","71","33","82","60"
201718,"Luton","LADU","261","Level 2","18","48","27","90","78"
201718,"Luton","LADU","1612","Level 3","57","112","98","1086","259"
201819,"Luton","LADU","2131","Total","113","247","129","1232","410"
201819,"Luton","LADU","352","All other qualifications","54","96","31","94","77"
201819,"Luton","LADU","402","Level 2","10","42","28","247","75"
201819,"Luton","LADU","1377","Level 3","49","109","70","891","258"
201920,"Luton","LADU","2117","Total","118","262","100","1231","406"
201920,"Luton","LADU","299","All other qualifications","45","87","25","73","69"
201920,"Luton","LADU","389","Level 2","26","50","18","233","62"
201920,"Luton","LADU","1429","Level 3","47","125","57","925","275"
201718,"Norfolk","LADU","8551","Total","527","1306","852","3006","2860"
201718,"Norfolk","LADU","1439","All other qualifications","175","465","172","225","402"
201718,"Norfolk","LADU","1627","Level 2","129","313","259","238","688"
201718,"Norfolk","LADU","5485","Level 3","223","528","421","2543","1770"
201819,"Norfolk","LADU","8048","Total","454","1280","839","2732","2743"
201819,"Norfolk","LADU","1193","All other qualifications","142","431","160","113","347"
201819,"Norfolk","LADU","1941","Level 2","131","395","302","265","848"
201819,"Norfolk","LADU","4914","Level 3","181","454","377","2354","1548"
201920,"Norfolk","LADU","7935","Total","435","1299","753","2848","2600"
201920,"Norfolk","LADU","1329","All other qualifications","133","416","163","224","393"
201920,"Norfolk","LADU","1586","Level 2","103","337","257","229","660"
201920,"Norfolk","LADU","5020","Level 3","199","546","333","2395","1547"
201718,"Peterborough","LADU","2660","Total","180","329","218","1164","769"
201718,"Peterborough","LADU","601","All other qualifications","81","149","64","120","187"
201718,"Peterborough","LADU","540","Level 2","37","76","52","205","170"
201718,"Peterborough","LADU","1519","Level 3","62","104","102","839","412"
201819,"Peterborough","LADU","2499","Total","172","396","227","1004","700"
201819,"Peterborough","LADU","625","All other qualifications","77","190","70","85","203"
201819,"Peterborough","LADU","478","Level 2","35","98","61","93","191"
201819,"Peterborough","LADU","1396","Level 3","60","108","96","826","306"
201920,"Peterborough","LADU","2695","Total","148","377","215","1198","757"
201920,"Peterborough","LADU","650","All other qualifications","84","162","84","134","186"
201920,"Peterborough","LADU","519","Level 2","24","103","57","146","189"
201920,"Peterborough","LADU","1526","Level 3","40","112","74","918","382"
201718,"Southend-on-Sea","LADU","3643","Total","281","569","334","1251","1208"
201718,"Southend-on-Sea","LADU","600","All other qualifications","108","192","72","41","187"
201718,"Southend-on-Sea","LADU","503","Level 2","45","120","73","57","208"
201718,"Southend-on-Sea","LADU","2540","Level 3","128","257","189","1153","813"
201819,"Southend-on-Sea","LADU","2807","Total","195","445","244","1132","791"
201819,"Southend-on-Sea","LADU","491","All other qualifications","73","142","70","54","152"
201819,"Southend-on-Sea","LADU","666","Level 2","58","142","55","149","262"
201819,"Southend-on-Sea","LADU","1650","Level 3","64","161","119","929","377"
201920,"Southend-on-Sea","LADU","3261","Total","239","547","271","1195","1009"
201920,"Southend-on-Sea","LADU","577","All other qualifications","98","180","67","42","190"
201920,"Southend-on-Sea","LADU","567","Level 2","56","151","67","75","218"
201920,"Southend-on-Sea","LADU","2117","Level 3","85","216","137","1078","601"
201718,"Suffolk","LADU","6475","Total","311","698","687","2806","1973"
201718,"Suffolk","LADU","908","All other qualifications","98","238","134","177","261"
201718,"Suffolk","LADU","1115","Level 2","65","152","190","302","406"
201718,"Suffolk","LADU","4452","Level 3","148","308","363","2327","1306"
201819,"Suffolk","LADU","6579","Total","304","866","704","2754","1951"
201819,"Suffolk","LADU","955","All other qualifications","71","293","131","170","290"
201819,"Suffolk","LADU","1532","Level 2","84","231","222","500","495"
201819,"Suffolk","LADU","4092","Level 3","149","342","351","2084","1166"
201920,"Suffolk","LADU","6675","Total","272","917","702","2784","2000"
201920,"Suffolk","LADU","1105","All other qualifications","86","312","133","272","302"
201920,"Suffolk","LADU","1230","Level 2","56","224","176","339","435"
201920,"Suffolk","LADU","4340","Level 3","130","381","393","2173","1263"
201718,"Thurrock","LADU","1197","Total","38","102","133","586","338"
201718,"Thurrock","LADU","62","All other qualifications","6","14","22","0","20"
201718,"Thurrock","LADU","40","Level 2","1","8","11","1","19"
201718,"Thurrock","LADU","1095","Level 3","31","80","100","585","299"
201819,"Thurrock","LADU","384","Total","23","48","47","172","94"
201819,"Thurrock","LADU","50","All other qualifications","11","8","14","6","11"
201819,"Thurrock","LADU","41","Level 2","6","12","6","6","11"
201819,"Thurrock","LADU","293","Level 3","6","28","27","160","72"
201920,"Thurrock","LADU","387","Total","15","46","39","170","117"
201920,"Thurrock","LADU","58","All other qualifications","5","16","11","3","23"
201920,"Thurrock","LADU","19","Level 2","1","5","4","0","9"
201920,"Thurrock","LADU","310","Level 3","9","25","24","167","85"
201718,"Barking and Dagenham","LADU","2496","Total","253","404","222","1104","513"
201718,"Barking and Dagenham","LADU","674","All other qualifications","132","181","70","159","132"
201718,"Barking and Dagenham","LADU","482","Level 2","40","83","70","168","121"
201718,"Barking and Dagenham","LADU","1340","Level 3","81","140","82","777","260"
201819,"Barking and Dagenham","LADU","2410","Total","184","381","188","1218","439"
201819,"Barking and Dagenham","LADU","668","All other qualifications","94","180","73","183","138"
201819,"Barking and Dagenham","LADU","445","Level 2","28","72","43","178","124"
201819,"Barking and Dagenham","LADU","1297","Level 3","62","129","72","857","177"
201920,"Barking and Dagenham","LADU","2513","Total","193","404","160","1320","436"
201920,"Barking and Dagenham","LADU","656","All other qualifications","91","191","53","201","120"
201920,"Barking and Dagenham","LADU","371","Level 2","25","73","42","151","80"
201920,"Barking and Dagenham","LADU","1486","Level 3","77","140","65","968","236"
201718,"Barnet","LADU","4363","Total","410","437","140","2757","619"
201718,"Barnet","LADU","437","All other qualifications","100","113","29","120","75"
201718,"Barnet","LADU","438","Level 2","51","67","33","209","78"
201718,"Barnet","LADU","3488","Level 3","259","257","78","2428","466"
201819,"Barnet","LADU","4256","Total","365","464","110","2737","580"
201819,"Barnet","LADU","429","All other qualifications","78","123","28","128","72"
201819,"Barnet","LADU","577","Level 2","51","94","35","299","98"
201819,"Barnet","LADU","3250","Level 3","236","247","47","2310","410"
201920,"Barnet","LADU","4190","Total","383","478","84","2679","566"
201920,"Barnet","LADU","490","All other qualifications","106","133","22","154","75"
201920,"Barnet","LADU","277","Level 2","30","76","18","99","54"
201920,"Barnet","LADU","3423","Level 3","247","269","44","2426","437"
201718,"Bexley","LADU","1826","Total","102","187","162","1063","312"
201718,"Bexley","LADU","146","All other qualifications","27","54","33","0","32"
201718,"Bexley","LADU","103","Level 2","16","31","25","3","28"
201718,"Bexley","LADU","1577","Level 3","59","102","104","1060","252"
201819,"Bexley","LADU","1807","Total","109","145","192","1027","334"
201819,"Bexley","LADU","142","All other qualifications","28","39","40","5","30"
201819,"Bexley","LADU","95","Level 2","15","12","32","11","25"
201819,"Bexley","LADU","1570","Level 3","66","94","120","1011","279"
201920,"Bexley","LADU","1730","Total","57","125","155","989","404"
201920,"Bexley","LADU","76","All other qualifications","4","14","29","9","20"
201920,"Bexley","LADU","68","Level 2","4","13","16","14","21"
201920,"Bexley","LADU","1586","Level 3","49","98","110","966","363"
201718,"Brent","LADU","2129","Total","161","205","86","1428","249"
201718,"Brent","LADU","344","All other qualifications","54","77","32","112","69"
201718,"Brent","LADU","252","Level 2","36","32","17","114","53"
201718,"Brent","LADU","1533","Level 3","71","96","37","1202","127"
201819,"Brent","LADU","1643","Total","143","168","52","1083","197"
201819,"Brent","LADU","144","All other qualifications","38","60","12","10","24"
201819,"Brent","LADU","135","Level 2","28","20","18","37","32"
201819,"Brent","LADU","1364","Level 3","77","88","22","1036","141"
201920,"Brent","LADU","1651","Total","121","133","61","1176","160"
201920,"Brent","LADU","107","All other qualifications","32","26","13","20","16"
201920,"Brent","LADU","106","Level 2","17","23","9","44","13"
201920,"Brent","LADU","1438","Level 3","72","84","39","1112","131"
201718,"Bromley","LADU","3989","Total","284","521","329","1915","940"
201718,"Bromley","LADU","618","All other qualifications","122","182","86","88","140"
201718,"Bromley","LADU","368","Level 2","49","76","70","58","115"
201718,"Bromley","LADU","3003","Level 3","113","263","173","1769","685"
201819,"Bromley","LADU","4604","Total","352","681","392","1991","1188"
201819,"Bromley","LADU","850","All other qualifications","140","276","90","132","212"
201819,"Bromley","LADU","767","Level 2","79","155","116","164","253"
201819,"Bromley","LADU","2987","Level 3","133","250","186","1695","723"
