"time_period","area","geographic_level","Total Completed Key Stage 4","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201819,"Hull and East Yorkshire","LEP","5383","31","265","375","4530","182"
201920,"Hull and East Yorkshire","LEP","5371","30","278","366","4520","177"
201516,"Lancashire","LEP","15814","105","942","1019","13228","520"
201617,"Lancashire","LEP","15181","101","826","1130","12613","511"
201718,"Lancashire","LEP","14973","94","857","1056","12433","533"
201819,"Lancashire","LEP","14571","122","795","904","12176","574"
201920,"Lancashire","LEP","15082","136","830","882","12627","607"
201516,"Leeds City Region","LEP","24360","245","1506","1310","20674","625"
201617,"Leeds City Region","LEP","23718","247","1463","1258","20068","682"
201718,"Leeds City Region","LEP","23166","261","1455","1092","19681","677"
201819,"Leeds City Region","LEP","23512","271","1463","1180","19879","719"
201920,"Leeds City Region","LEP","24023","257","1407","1047","20561","751"
201516,"Leicester and Leicestershire","LEP","10398","76","545","538","8946","293"
201617,"Leicester and Leicestershire","LEP","10232","80","590","481","8768","313"
201718,"Leicester and Leicestershire","LEP","9982","81","553","524","8499","325"
201819,"Leicester and Leicestershire","LEP","10145","93","529","462","8711","350"
201920,"Leicester and Leicestershire","LEP","10511","86","635","402","9059","329"
201516,"Liverpool City Region","LEP","15585","79","972","789","13275","470"
201617,"Liverpool City Region","LEP","15011","111","983","682","12718","517"
201718,"Liverpool City Region","LEP","14474","90","908","614","12275","587"
201819,"Liverpool City Region","LEP","14177","108","910","580","12013","566"
201920,"Liverpool City Region","LEP","14727","107","968","545","12609","498"
201516,"London","LEP","74150","914","3353","1614","67183","1086"
201617,"London","LEP","75141","963","3341","1535","68082","1220"
201718,"London","LEP","74064","940","3143","1202","67557","1222"
201819,"London","LEP","74676","982","3053","1068","68437","1136"
201920,"London","LEP","78085","1072","3125","1022","71757","1109"
201516,"New Anglia","LEP","15458","70","785","815","13308","480"
201617,"New Anglia","LEP","14942","44","729","821","12855","493"
201718,"New Anglia","LEP","14359","77","608","715","12473","486"
201819,"New Anglia","LEP","14020","74","629","687","12205","425"
201920,"New Anglia","LEP","14379","87","578","632","12579","503"
201516,"North East","LEP","19045","83","1228","1284","15807","643"
201617,"North East","LEP","18281","111","1091","1195","15224","660"
201718,"North East","LEP","17723","124","1220","1080","14558","741"
201819,"North East","LEP","17445","117","1154","988","14557","629"
201920,"North East","LEP","17870","111","1219","978","14942","620"
201516,"Oxfordshire","LEP","6108","35","247","366","5235","225"
201617,"Oxfordshire","LEP","5894","36","256","339","5051","212"
201718,"Oxfordshire","LEP","5859","60","251","262","5078","208"
201819,"Oxfordshire","LEP","5794","66","232","302","4912","282"
201920,"Oxfordshire","LEP","6065","54","265","313","5185","248"
201516,"Sheffield City Region","LEP","13879","72","858","1041","11408","500"
201617,"Sheffield City Region","LEP","13446","85","848","885","11092","536"
201718,"Sheffield City Region","LEP","12954","85","821","782","10672","594"
201819,"Sheffield City Region","LEP","12817","109","780","763","10608","557"
201920,"Sheffield City Region","LEP","13176","86","915","712","10928","535"
201516,"Solent","LEP","11358","78","641","592","9624","423"
201617,"Solent","LEP","10955","106","654","591","9141","463"
201718,"Solent","LEP","10602","67","558","510","9027","440"
201819,"Solent","LEP","10235","74","616","481","8653","411"
201920,"Solent","LEP","10639","92","661","438","8980","468"
201516,"South East","LEP","42688","224","2163","1779","37294","1228"
201617,"South East","LEP","41106","265","2033","1706","35786","1316"
201718,"South East","LEP","40356","294","1894","1486","35306","1376"
201819,"South East","LEP","39880","306","1949","1436","34851","1338"
201920,"South East","LEP","41133","330","2059","1307","36121","1316"
201516,"South East Midlands","LEP","17427","138","903","745","15099","542"
201617,"South East Midlands","LEP","17046","143","893","751","14691","568"
201718,"South East Midlands","LEP","16654","147","781","691","14451","584"
201819,"South East Midlands","LEP","16733","154","795","620","14552","612"
201920,"South East Midlands","LEP","17269","178","737","532","15233","589"
201516,"Stoke-on-Trent and Staffordshire","LEP","11101","24","479","684","9520","394"
201617,"Stoke-on-Trent and Staffordshire","LEP","10772","47","467","739","9123","396"
201718,"Stoke-on-Trent and Staffordshire","LEP","10353","74","463","675","8795","346"
201819,"Stoke-on-Trent and Staffordshire","LEP","10166","75","439","641","8555","456"
201920,"Stoke-on-Trent and Staffordshire","LEP","10573","66","575","570","8880","482"
201516,"Swindon and Wiltshire","LEP","7127","38","268","264","6369","188"
201617,"Swindon and Wiltshire","LEP","6881","28","246","317","6096","194"
201718,"Swindon and Wiltshire","LEP","6638","65","264","232","5882","195"
201819,"Swindon and Wiltshire","LEP","6513","54","242","242","5784","191"
201920,"Swindon and Wiltshire","LEP","6789","75","248","233","6021","212"
201516,"Tees Valley","LEP","7312","29","543","432","6108","200"
201617,"Tees Valley","LEP","7093","47","538","402","5897","209"
201718,"Tees Valley","LEP","6718","40","460","344","5635","239"
201819,"Tees Valley","LEP","6721","43","519","342","5602","215"
201920,"Tees Valley","LEP","6894","34","509","304","5801","246"
201516,"Thames Valley Berkshire","LEP","8844","58","261","307","8014","204"
201617,"Thames Valley Berkshire","LEP","8728","75","306","340","7795","212"
201718,"Thames Valley Berkshire","LEP","8738","78","270","284","7842","264"
201819,"Thames Valley Berkshire","LEP","8527","74","303","254","7655","241"
201920,"Thames Valley Berkshire","LEP","9053","81","314","247","8154","257"
201516,"The Marches","LEP","6805","55","331","362","5791","266"
201617,"The Marches","LEP","6614","52","313","341","5653","255"
201718,"The Marches","LEP","6236","45","318","297","5365","211"
201819,"The Marches","LEP","6279","65","294","307","5358","255"
201920,"The Marches","LEP","6451","98","338","301","5451","263"
201516,"West of England","LEP","10104","69","516","580","8656","283"
201617,"West of England","LEP","9896","77","501","587","8355","376"
201718,"West of England","LEP","9728","89","469","527","8278","365"
201819,"West of England","LEP","9581","65","440","495","8236","345"
201920,"West of England","LEP","10009","111","483","492","8603","320"
201516,"Worcestershire","LEP","5583","30","212","291","4842","208"
201617,"Worcestershire","LEP","5467","31","226","299","4734","177"
201718,"Worcestershire","LEP","5246","32","204","272","4541","197"
201819,"Worcestershire","LEP","5143","27","193","269","4465","189"
201920,"Worcestershire","LEP","5336","50","243","229","4616","198"
201516,"York and North Yorkshire","LEP","8063","37","291","477","7020","238"
201617,"York and North Yorkshire","LEP","7674","49","274","447","6696","208"
201718,"York and North Yorkshire","LEP","7428","36","286","418","6446","242"
201819,"York and North Yorkshire","LEP","7487","54","289","422","6439","283"
201920,"York and North Yorkshire","LEP","7736","48","341","363","6655","329"
201516,"Brighton and Hove, East Sussex, West Sussex","LSIP","15241","101","750","526","13463","401"
201617,"Brighton and Hove, East Sussex, West Sussex","LSIP","14873","103","716","516","13106","432"
201718,"Brighton and Hove, East Sussex, West Sussex","LSIP","14482","113","693","500","12734","442"
201819,"Brighton and Hove, East Sussex, West Sussex","LSIP","14104","101","639","358","12543","463"
201920,"Brighton and Hove, East Sussex, West Sussex","LSIP","14695","136","751","396","12948","464"
201516,"Buckinghamshire ","LSIP","5605","30","152","189","5115","119"
201617,"Buckinghamshire ","LSIP","5496","35","126","204","5021","110"
201718,"Buckinghamshire ","LSIP","5468","35","135","182","5008","108"
201819,"Buckinghamshire ","LSIP","5552","48","155","148","5071","130"
201920,"Buckinghamshire ","LSIP","5673","63","162","122","5223","103"
201516,"Cambridgeshire and Peterborough","LSIP","7883","55","370","318","6883","257"
201617,"Cambridgeshire and Peterborough","LSIP","7829","66","350","319","6828","266"
201718,"Cambridgeshire and Peterborough","LSIP","7693","53","352","273","6767","248"
201819,"Cambridgeshire and Peterborough","LSIP","7619","73","386","293","6591","276"
201920,"Cambridgeshire and Peterborough","LSIP","7874","60","356","251","6963","244"
201516,"Cheshire and Warrington","LSIP","9778","64","427","543","8449","295"
201617,"Cheshire and Warrington","LSIP","9392","59","445","507","8066","315"
201718,"Cheshire and Warrington","LSIP","9046","82","372","444","7813","335"
201819,"Cheshire and Warrington","LSIP","9030","65","394","343","7909","319"
201920,"Cheshire and Warrington","LSIP","9310","85","415","335","8125","350"
201516,"Cornwall and the Isles of Scilly","LSIP","5534","39","312","296","4743","144"
201617,"Cornwall and the Isles of Scilly","LSIP","5406","33","291","260","4691","131"
201718,"Cornwall and the Isles of Scilly","LSIP","5107","31","297","241","4384","154"
201819,"Cornwall and the Isles of Scilly","LSIP","5095","30","287","274","4346","158"
201920,"Cornwall and the Isles of Scilly","LSIP","5067","26","280","234","4373","154"
201516,"Cumbria","LSIP","5275","27","237","543","4278","190"
201617,"Cumbria","LSIP","5100","26","211","584","4066","213"
