"geogConcat","metric","breakdown","subgroup","chartPeriod","timePeriod","latest","valueText","value"
"Cheshire and Warrington LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0236865826904671",0.0236865826904671
"Cheshire and Warrington LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0325957194012858",0.0325957194012858
"Cheshire and Warrington LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0256470520881316",0.0256470520881316
"Cheshire and Warrington LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0256137329397963",0.0256137329397963
"Cheshire and Warrington LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0177643239708252",0.0177643239708252
"Cheshire and Warrington LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0270802885846386",0.0270802885846386
"Cheshire and Warrington LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0273550158095517",0.0273550158095517
"Cheshire and Warrington LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0266242057515431",0.0266242057515431
"Cheshire and Warrington LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0278908738000965",0.0278908738000965
"Cheshire and Warrington LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0227734405829594",0.0227734405829594
"Cheshire and Warrington LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0267957627444413",0.0267957627444413
"Cheshire and Warrington LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0275230295397366",0.0275230295397366
"Cheshire and Warrington LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0252895183772461",0.0252895183772461
"Cheshire and Warrington LEP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.025893373295556",0.025893373295556
"Coast to Capital LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0289049342169529",0.0289049342169529
"Coast to Capital LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0286395024525683",0.0286395024525683
"Coast to Capital LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0290523575970412",0.0290523575970412
"Coast to Capital LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.02450249620779",0.02450249620779
"Coast to Capital LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0287379626534638",0.0287379626534638
"Coast to Capital LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0239670981618623",0.0239670981618623
"Coast to Capital LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0203890712064736",0.0203890712064736
"Coast to Capital LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0255458410226241",0.0255458410226241
"Coast to Capital LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0271927002355619",0.0271927002355619
"Coast to Capital LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0304434079205909",0.0304434079205909
"Coast to Capital LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0260498518819463",0.0260498518819463
"Coast to Capital LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0257225165527537",0.0257225165527537
"Coast to Capital LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0214016021311576",0.0214016021311576
