"geogConcat","metric","breakdown","subgroup","chartPeriod","timePeriod","latest","valueText","value"
"Gloucestershire LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0320026750788451",0.0320026750788451
"Gloucestershire LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0257827066374423",0.0257827066374423
"Gloucestershire LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0296751445585826",0.0296751445585826
"Gloucestershire LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0222793522810809",0.0222793522810809
"Gloucestershire LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0222872479466705",0.0222872479466705
"Gloucestershire LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.026531801755669",0.026531801755669
"Gloucestershire LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0228745063832936",0.0228745063832936
"Gloucestershire LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.033549558688784",0.033549558688784
"Gloucestershire LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0257887818881282",0.0257887818881282
"Gloucestershire LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0252120440087651",0.0252120440087651
"Gloucestershire LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0201473502418519",0.0201473502418519
"Gloucestershire LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.028422171385984",0.028422171385984
"Gloucestershire LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0284150143976456",0.0284150143976456
"Gloucestershire LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.027293728889854",0.027293728889854
"Gloucestershire LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.025627476163111",0.025627476163111
"Gloucestershire LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0225766740286744",0.0225766740286744
"Gloucestershire LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0294360489693284",0.0294360489693284
"Gloucestershire LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0255890599202426",0.0255890599202426
"Gloucestershire LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0261533538444187",0.0261533538444187
"Gloucestershire LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.025502733854553",0.025502733854553
"Greater Lincolnshire LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0280679541026616",0.0280679541026616
"Greater Lincolnshire LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0267109010679669",0.0267109010679669
"Greater Lincolnshire LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.025388172056108",0.025388172056108
"Greater Lincolnshire LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0232930036916332",0.0232930036916332
"Greater Lincolnshire LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0278844138695298",0.0278844138695298
"Greater Lincolnshire LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0232861528061292",0.0232861528061292
"Greater Lincolnshire LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0222769086888519",0.0222769086888519
"Greater Lincolnshire LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0261248082243266",0.0261248082243266
"Greater Lincolnshire LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0250502554186858",0.0250502554186858
"Greater Lincolnshire LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.031238149078892",0.031238149078892
"Greater Lincolnshire LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0257472543053687",0.0257472543053687
"Greater Lincolnshire LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0260991972672242",0.0260991972672242
"Greater Lincolnshire LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0179732681819242",0.0179732681819242
"Greater Lincolnshire LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.025299399268478",0.025299399268478
"Greater Lincolnshire LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0280789378356654",0.0280789378356654
"Greater Lincolnshire LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0271065581197287",0.0271065581197287
"Greater Lincolnshire LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0258410466612924",0.0258410466612924
"Greater Lincolnshire LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0216239130491434",0.0216239130491434
"Greater Lincolnshire LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0274776321676844",0.0274776321676844
"Greater Lincolnshire LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0265594775280191",0.0265594775280191
"Greater Lincolnshire LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0256193252725159",0.0256193252725159
"Greater Lincolnshire LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0260742241771432",0.0260742241771432
"Greater London LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0303925132913576",0.0303925132913576
"Greater London LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0265025147093418",0.0265025147093418
"Greater London LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0303951885312006",0.0303951885312006
"Greater London LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0269026915105912",0.0269026915105912
"Greater London LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0280566070900259",0.0280566070900259
"Greater London LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0239490735786767",0.0239490735786767
"Greater London LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0296849823173964",0.0296849823173964
"Greater London LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0268897481509052",0.0268897481509052
"Greater London LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0257022947500445",0.0257022947500445
"Greater London LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0302767987874115",0.0302767987874115
"Greater London LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0268553678753842",0.0268553678753842
"Greater London LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0275587611378347",0.0275587611378347
"Greater London LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0191358982041021",0.0191358982041021
"Greater London LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0302610284703941",0.0302610284703941
"Greater London LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0286492564643843",0.0286492564643843
"Greater London LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0270497962043761",0.0270497962043761
"Greater London LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0264063350839943",0.0264063350839943
"Greater London LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0226238574826869",0.0226238574826869
"Greater London LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0274428170920979",0.0274428170920979
"Greater London LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0274057160479033",0.0274057160479033
"Greater London LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0273705461569289",0.0273705461569289
"Greater London LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0254839038840811",0.0254839038840811
"Greater Manchester LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0295683249233989",0.0295683249233989
"Greater Manchester LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0288902799840327",0.0288902799840327
"Greater Manchester LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0257142525308032",0.0257142525308032
"Greater Manchester LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0232391334113604",0.0232391334113604
"Greater Manchester LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0298197468348178",0.0298197468348178
"Greater Manchester LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0215301478318068",0.0215301478318068
"Greater Manchester LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0243826085844105",0.0243826085844105
"Greater Manchester LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.02654350036376",0.02654350036376
"Greater Manchester LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0237135828528192",0.0237135828528192
"Greater Manchester LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0314799481802654",0.0314799481802654
"Greater Manchester LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0254901437611368",0.0254901437611368
"Greater Manchester LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0256194656312128",0.0256194656312128
"Greater Manchester LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0184275025847658",0.0184275025847658
"Greater Manchester LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0268845320815121",0.0268845320815121
"Greater Manchester LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0274998031332847",0.0274998031332847
"Greater Manchester LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0269374523871169",0.0269374523871169
"Greater Manchester LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0282345351688169",0.0282345351688169
"Greater Manchester LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0217584457760824",0.0217584457760824
"Greater Manchester LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0267815054048994",0.0267815054048994
"Greater Manchester LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0277986712227722",0.0277986712227722
"Greater Manchester LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0252320439283145",0.0252320439283145
"Greater Manchester LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0259343620265451",0.0259343620265451
"Heart of the South-West LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.030043484797873",0.030043484797873
"Heart of the South-West LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0282220924970606",0.0282220924970606
"Heart of the South-West LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.03115750131844",0.03115750131844
"Heart of the South-West LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0256639230812963",0.0256639230812963
"Heart of the South-West LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0294185192228389",0.0294185192228389
"Heart of the South-West LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0219780797084961",0.0219780797084961
"Heart of the South-West LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0224354415278385",0.0224354415278385
"Heart of the South-West LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0264470330783886",0.0264470330783886
"Heart of the South-West LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0226927894094784",0.0226927894094784
"Heart of the South-West LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0323998033177872",0.0323998033177872
"Heart of the South-West LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0255536047675156",0.0255536047675156
"Heart of the South-West LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0253933305375547",0.0253933305375547
"Heart of the South-West LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0180902319033658",0.0180902319033658
"Heart of the South-West LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0281207976383446",0.0281207976383446
"Heart of the South-West LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0288906653148926",0.0288906653148926
"Heart of the South-West LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0273318861489953",0.0273318861489953
"Heart of the South-West LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.025689655144745",0.025689655144745
"Heart of the South-West LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0226493237595262",0.0226493237595262
"Heart of the South-West LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0288961416513778",0.0288961416513778
"Heart of the South-West LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0259160502494507",0.0259160502494507
"Heart of the South-West LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0261093671187966",0.0261093671187966
"Heart of the South-West LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0254970991882282",0.0254970991882282
"Hertfordshire LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.029120471026892",0.029120471026892
"Hertfordshire LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0285636870236694",0.0285636870236694
"Hertfordshire LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0266529148095696",0.0266529148095696
"Hertfordshire LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0258812227825296",0.0258812227825296
"Hertfordshire LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0289284504846767",0.0289284504846767
"Hertfordshire LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0222277796624208",0.0222277796624208
"Hertfordshire LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0224017418691085",0.0224017418691085
"Hertfordshire LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0257554638070256",0.0257554638070256
"Hertfordshire LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0261829412334857",0.0261829412334857
"Hertfordshire LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0322215391261311",0.0322215391261311
"Hertfordshire LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0253199529804786",0.0253199529804786
"Hertfordshire LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0255039158078969",0.0255039158078969
"Hertfordshire LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.018511163020791",0.018511163020791
"Hertfordshire LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0282560607539177",0.0282560607539177
"Hertfordshire LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0280350623368117",0.0280350623368117
"Hertfordshire LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0291167031034183",0.0291167031034183
"Hertfordshire LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0286529296240068",0.0286529296240068
"Hertfordshire LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.022142494589082",0.022142494589082
"Hertfordshire LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0275630696197688",0.0275630696197688
"Hertfordshire LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0276275738996101",0.0276275738996101
"Hertfordshire LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.026256284883134",0.026256284883134
"Hertfordshire LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0259634826304675",0.0259634826304675
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0280000049450484",0.0280000049450484
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0285650065368657",0.0285650065368657
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0252435176635872",0.0252435176635872
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0229706304337007",0.0229706304337007
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0290342693758558",0.0290342693758558
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0232104423342612",0.0232104423342612
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0239272559884063",0.0239272559884063
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0272211542425218",0.0272211542425218
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0220038307321746",0.0220038307321746
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0322862954820802",0.0322862954820802
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0253400909578274",0.0253400909578274
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0260146202982792",0.0260146202982792
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0175949581839299",0.0175949581839299
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0245134817375838",0.0245134817375838
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0283090549245548",0.0283090549245548
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0272424519568655",0.0272424519568655
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0252672762715567",0.0252672762715567
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0225459318509773",0.0225459318509773
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0280427637928551",0.0280427637928551
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.027281110888342",0.027281110888342
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0267019287389212",0.0267019287389212
"Hull and East Yorkshire LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0253723693480292",0.0253723693480292
"Kent and Medway LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0291110063719004",0.0291110063719004
"Kent and Medway LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0287631117043261",0.0287631117043261
"Kent and Medway LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0292630690175544",0.0292630690175544
"Kent and Medway LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0249710197974562",0.0249710197974562
"Kent and Medway LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0286840117303238",0.0286840117303238
"Kent and Medway LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0240122970194747",0.0240122970194747
"Kent and Medway LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0211179828429047",0.0211179828429047
"Kent and Medway LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0253983859393361",0.0253983859393361
"Kent and Medway LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0279420723389923",0.0279420723389923
"Kent and Medway LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0302851106255357",0.0302851106255357
"Kent and Medway LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0265631784054352",0.0265631784054352
"Kent and Medway LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0256279645758923",0.0256279645758923
"Kent and Medway LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.02120156289996",0.02120156289996
"Kent and Medway LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0267390193091106",0.0267390193091106
"Kent and Medway LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0283842868485626",0.0283842868485626
"Kent and Medway LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0271390367600857",0.0271390367600857
"Kent and Medway LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0279133856617535",0.0279133856617535
"Kent and Medway LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0223739891313066",0.0223739891313066
"Kent and Medway LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0275054975280475",0.0275054975280475
"Kent and Medway LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0259500641454782",0.0259500641454782
"Kent and Medway LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.026073039640528",0.026073039640528
"Kent and Medway LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0256199086797464",0.0256199086797464
"Lancashire LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0293083627152926",0.0293083627152926
"Lancashire LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0286267947179477",0.0286267947179477
"Lancashire LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0254380199441866",0.0254380199441866
"Lancashire LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0236541547375755",0.0236541547375755
"Lancashire LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0304312653227634",0.0304312653227634
"Lancashire LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0226572515008576",0.0226572515008576
"Lancashire LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0241295792125458",0.0241295792125458
"Lancashire LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0265520794310747",0.0265520794310747
"Lancashire LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.023706189403135",0.023706189403135
"Lancashire LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0319582013987016",0.0319582013987016
"Lancashire LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0259600796122927",0.0259600796122927
"Lancashire LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0256144126345266",0.0256144126345266
"Lancashire LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0185773328757235",0.0185773328757235
"Lancashire LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0269855013618507",0.0269855013618507
"Lancashire LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0273104433391307",0.0273104433391307
"Lancashire LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0266379382411808",0.0266379382411808
"Lancashire LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0276958244555856",0.0276958244555856
"Lancashire LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0214591695945068",0.0214591695945068
"Lancashire LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0269147337318809",0.0269147337318809
"Lancashire LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0275455591901144",0.0275455591901144
"Lancashire LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0249588820607956",0.0249588820607956
"Lancashire LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0258890648519807",0.0258890648519807
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.027303054923822",0.027303054923822
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0266284031421433",0.0266284031421433
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0255393984436321",0.0255393984436321
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0235159425159459",0.0235159425159459
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0281405361324039",0.0281405361324039
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0238274524236046",0.0238274524236046
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0215056084089538",0.0215056084089538
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0260718416259429",0.0260718416259429
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0270609841192524",0.0270609841192524
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0313726472066136",0.0313726472066136
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.025683885056214",0.025683885056214
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0260788533859551",0.0260788533859551
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0197742490732733",0.0197742490732733
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.025701520096042",0.025701520096042
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0279186843430936",0.0279186843430936
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0276782467928349",0.0276782467928349
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0262430267352844",0.0262430267352844
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0215639806242447",0.0215639806242447
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0272730521639095",0.0272730521639095
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0268080594149418",0.0268080594149418
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0254078324661922",0.0254078324661922
"Leicester and Leicestershire LSIP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.026227144045599",0.026227144045599
"Liverpool City Region LSIP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0295085585767343",0.0295085585767343
"Liverpool City Region LSIP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0288722525787106",0.0288722525787106
"Liverpool City Region LSIP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0256105451469433",0.0256105451469433
"Liverpool City Region LSIP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0237993483672418",0.0237993483672418
"Liverpool City Region LSIP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0298658142010833",0.0298658142010833
"Liverpool City Region LSIP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0228353080045278",0.0228353080045278
"Liverpool City Region LSIP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0241563256984134",0.0241563256984134
