"area","geographic_level","time_period","all_unknown","all_notsust","cohort","appren","education","all_work"
"Hull and East Yorkshire","LEP",201617,"36","297","5530","480","4548","169"
"Hull and East Yorkshire","LEP",201718,"36","321","5527","388","4599","183"
"Hull and East Yorkshire","LEP",201819,"31","265","5383","375","4530","182"
"Hull and East Yorkshire","LEP",201920,"30","278","5371","366","4520","177"
"Lancashire","LEP",201516,"105","942","15814","1019","13228","520"
"Lancashire","LEP",201617,"101","826","15181","1130","12613","511"
"Lancashire","LEP",201718,"94","857","14973","1056","12433","533"
"Lancashire","LEP",201819,"122","795","14571","904","12176","574"
"Lancashire","LEP",201920,"136","830","15082","882","12627","607"
"Leeds City Region","LEP",201516,"245","1506","24360","1310","20674","625"
"Leeds City Region","LEP",201617,"247","1463","23718","1258","20068","682"
"Leeds City Region","LEP",201718,"261","1455","23166","1092","19681","677"
"Leeds City Region","LEP",201819,"271","1463","23512","1180","19879","719"
"Leeds City Region","LEP",201920,"257","1407","24023","1047","20561","751"
"Leicester and Leicestershire","LEP",201516,"76","545","10398","538","8946","293"
"Leicester and Leicestershire","LEP",201617,"80","590","10232","481","8768","313"
"Leicester and Leicestershire","LEP",201718,"81","553","9982","524","8499","325"
"Leicester and Leicestershire","LEP",201819,"93","529","10145","462","8711","350"
"Leicester and Leicestershire","LEP",201920,"86","635","10511","402","9059","329"
"Liverpool City Region","LEP",201516,"79","972","15585","789","13275","470"
"Liverpool City Region","LEP",201617,"111","983","15011","682","12718","517"
"Liverpool City Region","LEP",201718,"90","908","14474","614","12275","587"
"Liverpool City Region","LEP",201819,"108","910","14177","580","12013","566"
"Liverpool City Region","LEP",201920,"107","968","14727","545","12609","498"
"London","LEP",201516,"914","3353","74150","1614","67183","1086"
"London","LEP",201617,"963","3341","75141","1535","68082","1220"
"London","LEP",201718,"940","3143","74064","1202","67557","1222"
"London","LEP",201819,"982","3053","74676","1068","68437","1136"
"London","LEP",201920,"1072","3125","78085","1022","71757","1109"
"New Anglia","LEP",201516,"70","785","15458","815","13308","480"
"New Anglia","LEP",201617,"44","729","14942","821","12855","493"
"New Anglia","LEP",201718,"77","608","14359","715","12473","486"
"New Anglia","LEP",201819,"74","629","14020","687","12205","425"
"New Anglia","LEP",201920,"87","578","14379","632","12579","503"
"North East","LEP",201516,"83","1228","19045","1284","15807","643"
"North East","LEP",201617,"111","1091","18281","1195","15224","660"
"North East","LEP",201718,"124","1220","17723","1080","14558","741"
"North East","LEP",201819,"117","1154","17445","988","14557","629"
"North East","LEP",201920,"111","1219","17870","978","14942","620"
"Oxfordshire","LEP",201516,"35","247","6108","366","5235","225"
"Oxfordshire","LEP",201617,"36","256","5894","339","5051","212"
"Oxfordshire","LEP",201718,"60","251","5859","262","5078","208"
"Oxfordshire","LEP",201819,"66","232","5794","302","4912","282"
"Oxfordshire","LEP",201920,"54","265","6065","313","5185","248"
"Sheffield City Region","LEP",201516,"72","858","13879","1041","11408","500"
