"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Greater Manchester","LEP",201617,NA,"Education and training: Total",48930,16,"Education and training (adults only)","16/17"
"Greater Manchester","LEP",201617,NA,"Further education and skills: Total",86980,16,"Total FE and skills provision","16/17"
"Heart of South West","LEP",201617,NA,"Apprenticeships: Total",760,16,"Apprenticeships (all ages)","16/17"
"Heart of South West","LEP",201617,NA,"Community learning: Total",1770,16,"Community learning (adults only)","16/17"
"Heart of South West","LEP",201617,NA,"Education and training: Total",2200,16,"Education and training (adults only)","16/17"
"Heart of South West","LEP",201617,NA,"Further education and skills: Total",4810,16,"Total FE and skills provision","16/17"
"Heart of the South West","LEP",201617,NA,"Apprenticeships: Total",9560,16,"Apprenticeships (all ages)","16/17"
"Heart of the South West","LEP",201617,NA,"Community learning: Total",12860,16,"Community learning (adults only)","16/17"
"Heart of the South West","LEP",201617,NA,"Education and training: Total",23200,16,"Education and training (adults only)","16/17"
"Heart of the South West","LEP",201617,NA,"Further education and skills: Total",45600,16,"Total FE and skills provision","16/17"
"Hertfordshire","LEP",201617,NA,"Apprenticeships: Total",3860,16,"Apprenticeships (all ages)","16/17"
"Hertfordshire","LEP",201617,NA,"Community learning: Total",6590,16,"Community learning (adults only)","16/17"
"Hertfordshire","LEP",201617,NA,"Education and training: Total",9200,16,"Education and training (adults only)","16/17"
"Hertfordshire","LEP",201617,NA,"Further education and skills: Total",19620,16,"Total FE and skills provision","16/17"
"Hull and East Yorkshire","LEP",201617,NA,"Apprenticeships: Total",4530,16,"Apprenticeships (all ages)","16/17"
"Hull and East Yorkshire","LEP",201617,NA,"Community learning: Total",4350,16,"Community learning (adults only)","16/17"
"Hull and East Yorkshire","LEP",201617,NA,"Education and training: Total",13280,16,"Education and training (adults only)","16/17"
"Hull and East Yorkshire","LEP",201617,NA,"Further education and skills: Total",22290,16,"Total FE and skills provision","16/17"
"Lancashire","LEP",201617,NA,"Apprenticeships: Total",9320,16,"Apprenticeships (all ages)","16/17"
"Lancashire","LEP",201617,NA,"Community learning: Total",16500,16,"Community learning (adults only)","16/17"
"Lancashire","LEP",201617,NA,"Education and training: Total",28160,16,"Education and training (adults only)","16/17"
"Lancashire","LEP",201617,NA,"Further education and skills: Total",53480,16,"Total FE and skills provision","16/17"
"Leeds City Region","LEP",201617,NA,"Apprenticeships: Total",13120,16,"Apprenticeships (all ages)","16/17"
"Leeds City Region","LEP",201617,NA,"Community learning: Total",17000,16,"Community learning (adults only)","16/17"
"Leeds City Region","LEP",201617,NA,"Education and training: Total",40790,16,"Education and training (adults only)","16/17"
"Leeds City Region","LEP",201617,NA,"Further education and skills: Total",70440,16,"Total FE and skills provision","16/17"
"Leicester and Leicestershire","LEP",201617,NA,"Apprenticeships: Total",5060,16,"Apprenticeships (all ages)","16/17"
"Leicester and Leicestershire","LEP",201617,NA,"Community learning: Total",7250,16,"Community learning (adults only)","16/17"
"Leicester and Leicestershire","LEP",201617,NA,"Education and training: Total",15430,16,"Education and training (adults only)","16/17"
"Leicester and Leicestershire","LEP",201617,NA,"Further education and skills: Total",27650,16,"Total FE and skills provision","16/17"
"Liverpool City Region","LEP",201617,NA,"Apprenticeships: Total",9540,16,"Apprenticeships (all ages)","16/17"
"Liverpool City Region","LEP",201617,NA,"Community learning: Total",19140,16,"Community learning (adults only)","16/17"
"Liverpool City Region","LEP",201617,NA,"Education and training: Total",29670,16,"Education and training (adults only)","16/17"
"Liverpool City Region","LEP",201617,NA,"Further education and skills: Total",56680,16,"Total FE and skills provision","16/17"
"London","LEP",201617,NA,"Apprenticeships: Total",23830,16,"Apprenticeships (all ages)","16/17"
"London","LEP",201617,NA,"Community learning: Total",97820,16,"Community learning (adults only)","16/17"
"London","LEP",201617,NA,"Education and training: Total",163060,16,"Education and training (adults only)","16/17"
"London","LEP",201617,NA,"Further education and skills: Total",279340,16,"Total FE and skills provision","16/17"
"New Anglia","LEP",201617,NA,"Apprenticeships: Total",7700,16,"Apprenticeships (all ages)","16/17"
"New Anglia","LEP",201617,NA,"Community learning: Total",8820,16,"Community learning (adults only)","16/17"
"New Anglia","LEP",201617,NA,"Education and training: Total",15950,16,"Education and training (adults only)","16/17"
"New Anglia","LEP",201617,NA,"Further education and skills: Total",32360,16,"Total FE and skills provision","16/17"
"North East","LEP",201617,NA,"Apprenticeships: Total",15750,16,"Apprenticeships (all ages)","16/17"
"North East","LEP",201617,NA,"Community learning: Total",17750,16,"Community learning (adults only)","16/17"
"North East","LEP",201617,NA,"Education and training: Total",49590,16,"Education and training (adults only)","16/17"
"North East","LEP",201617,NA,"Further education and skills: Total",81750,16,"Total FE and skills provision","16/17"
"Oxfordshire","LEP",201617,NA,"Apprenticeships: Total",2500,16,"Apprenticeships (all ages)","16/17"
"Oxfordshire","LEP",201617,NA,"Community learning: Total",5900,16,"Community learning (adults only)","16/17"
"Oxfordshire","LEP",201617,NA,"Education and training: Total",5110,16,"Education and training (adults only)","16/17"
"Oxfordshire","LEP",201617,NA,"Further education and skills: Total",13230,16,"Total FE and skills provision","16/17"
"Sheffield City Region","LEP",201617,NA,"Apprenticeships: Total",8920,16,"Apprenticeships (all ages)","16/17"
"Sheffield City Region","LEP",201617,NA,"Community learning: Total",5790,16,"Community learning (adults only)","16/17"
"Sheffield City Region","LEP",201617,NA,"Education and training: Total",25440,16,"Education and training (adults only)","16/17"
"Sheffield City Region","LEP",201617,NA,"Further education and skills: Total",40250,16,"Total FE and skills provision","16/17"
"Solent","LEP",201617,NA,"Apprenticeships: Total",8040,16,"Apprenticeships (all ages)","16/17"
"Solent","LEP",201617,NA,"Community learning: Total",9500,16,"Community learning (adults only)","16/17"
"Solent","LEP",201617,NA,"Education and training: Total",14260,16,"Education and training (adults only)","16/17"
"Solent","LEP",201617,NA,"Further education and skills: Total",33060,16,"Total FE and skills provision","16/17"
"South East","LEP",201617,NA,"Apprenticeships: Total",17500,16,"Apprenticeships (all ages)","16/17"
"South East","LEP",201617,NA,"Community learning: Total",31540,16,"Community learning (adults only)","16/17"
"South East","LEP",201617,NA,"Education and training: Total",48180,16,"Education and training (adults only)","16/17"
"South East","LEP",201617,NA,"Further education and skills: Total",98040,16,"Total FE and skills provision","16/17"
"South East Midlands","LEP",201617,NA,"Apprenticeships: Total",7410,16,"Apprenticeships (all ages)","16/17"
"South East Midlands","LEP",201617,NA,"Community learning: Total",9800,16,"Community learning (adults only)","16/17"
