"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Hull and East Yorkshire","LEP",201819,NA,"Further education and skills: Total",19110,18,"Total FE and skills provision","18/19"
"Lancashire","LEP",201819,NA,"Apprenticeships: Total",6510,18,"Apprenticeships (all ages)","18/19"
"Lancashire","LEP",201819,NA,"Community learning: Total",18130,18,"Community learning (adults only)","18/19"
"Lancashire","LEP",201819,NA,"Education and training: Total",28270,18,"Education and training (adults only)","18/19"
"Lancashire","LEP",201819,NA,"Further education and skills: Total",51100,18,"Total FE and skills provision","18/19"
"Leeds City Region","LEP",201819,NA,"Apprenticeships: Total",8300,18,"Apprenticeships (all ages)","18/19"
"Leeds City Region","LEP",201819,NA,"Community learning: Total",17300,18,"Community learning (adults only)","18/19"
"Leeds City Region","LEP",201819,NA,"Education and training: Total",42320,18,"Education and training (adults only)","18/19"
"Leeds City Region","LEP",201819,NA,"Further education and skills: Total",67150,18,"Total FE and skills provision","18/19"
"Leicester and Leicestershire","LEP",201819,NA,"Apprenticeships: Total",3690,18,"Apprenticeships (all ages)","18/19"
"Leicester and Leicestershire","LEP",201819,NA,"Community learning: Total",6920,18,"Community learning (adults only)","18/19"
"Leicester and Leicestershire","LEP",201819,NA,"Education and training: Total",17140,18,"Education and training (adults only)","18/19"
"Leicester and Leicestershire","LEP",201819,NA,"Further education and skills: Total",27310,18,"Total FE and skills provision","18/19"
"Liverpool City Region","LEP",201819,NA,"Apprenticeships: Total",6120,18,"Apprenticeships (all ages)","18/19"
"Liverpool City Region","LEP",201819,NA,"Community learning: Total",18670,18,"Community learning (adults only)","18/19"
"Liverpool City Region","LEP",201819,NA,"Education and training: Total",31940,18,"Education and training (adults only)","18/19"
"Liverpool City Region","LEP",201819,NA,"Further education and skills: Total",53980,18,"Total FE and skills provision","18/19"
"London","LEP",201819,NA,"Apprenticeships: Total",15800,18,"Apprenticeships (all ages)","18/19"
"London","LEP",201819,NA,"Community learning: Total",94620,18,"Community learning (adults only)","18/19"
"London","LEP",201819,NA,"Education and training: Total",168550,18,"Education and training (adults only)","18/19"
"London","LEP",201819,NA,"Further education and skills: Total",270930,18,"Total FE and skills provision","18/19"
"New Anglia","LEP",201819,NA,"Apprenticeships: Total",5540,18,"Apprenticeships (all ages)","18/19"
"New Anglia","LEP",201819,NA,"Community learning: Total",8650,18,"Community learning (adults only)","18/19"
"New Anglia","LEP",201819,NA,"Education and training: Total",16170,18,"Education and training (adults only)","18/19"
"New Anglia","LEP",201819,NA,"Further education and skills: Total",30090,18,"Total FE and skills provision","18/19"
"North East","LEP",201819,NA,"Apprenticeships: Total",9150,18,"Apprenticeships (all ages)","18/19"
"North East","LEP",201819,NA,"Community learning: Total",14930,18,"Community learning (adults only)","18/19"
"North East","LEP",201819,NA,"Education and training: Total",51640,18,"Education and training (adults only)","18/19"
"North East","LEP",201819,NA,"Further education and skills: Total",73080,18,"Total FE and skills provision","18/19"
"Oxfordshire","LEP",201819,NA,"Apprenticeships: Total",1550,18,"Apprenticeships (all ages)","18/19"
"Oxfordshire","LEP",201819,NA,"Community learning: Total",5120,18,"Community learning (adults only)","18/19"
"Oxfordshire","LEP",201819,NA,"Education and training: Total",5720,18,"Education and training (adults only)","18/19"
"Oxfordshire","LEP",201819,NA,"Further education and skills: Total",11990,18,"Total FE and skills provision","18/19"
"Sheffield City Region","LEP",201819,NA,"Apprenticeships: Total",5220,18,"Apprenticeships (all ages)","18/19"
"Sheffield City Region","LEP",201819,NA,"Community learning: Total",8420,18,"Community learning (adults only)","18/19"
"Sheffield City Region","LEP",201819,NA,"Education and training: Total",26350,18,"Education and training (adults only)","18/19"
"Sheffield City Region","LEP",201819,NA,"Further education and skills: Total",39740,18,"Total FE and skills provision","18/19"
"Solent","LEP",201819,NA,"Apprenticeships: Total",5810,18,"Apprenticeships (all ages)","18/19"
"Solent","LEP",201819,NA,"Community learning: Total",8210,18,"Community learning (adults only)","18/19"
"Solent","LEP",201819,NA,"Education and training: Total",15630,18,"Education and training (adults only)","18/19"
"Solent","LEP",201819,NA,"Further education and skills: Total",30840,18,"Total FE and skills provision","18/19"
"South East","LEP",201819,NA,"Apprenticeships: Total",12480,18,"Apprenticeships (all ages)","18/19"
"South East","LEP",201819,NA,"Community learning: Total",31210,18,"Community learning (adults only)","18/19"
"South East","LEP",201819,NA,"Education and training: Total",46890,18,"Education and training (adults only)","18/19"
"South East","LEP",201819,NA,"Further education and skills: Total",89340,18,"Total FE and skills provision","18/19"
"South East Midlands","LEP",201819,NA,"Apprenticeships: Total",4810,18,"Apprenticeships (all ages)","18/19"
"South East Midlands","LEP",201819,NA,"Community learning: Total",10250,18,"Community learning (adults only)","18/19"
"South East Midlands","LEP",201819,NA,"Education and training: Total",24810,18,"Education and training (adults only)","18/19"
"South East Midlands","LEP",201819,NA,"Further education and skills: Total",39820,18,"Total FE and skills provision","18/19"
"Stoke-on-Trent and Staffordshire","LEP",201819,NA,"Apprenticeships: Total",4620,18,"Apprenticeships (all ages)","18/19"
"Stoke-on-Trent and Staffordshire","LEP",201819,NA,"Community learning: Total",7490,18,"Community learning (adults only)","18/19"
"Stoke-on-Trent and Staffordshire","LEP",201819,NA,"Education and training: Total",15420,18,"Education and training (adults only)","18/19"
"Stoke-on-Trent and Staffordshire","LEP",201819,NA,"Further education and skills: Total",26930,18,"Total FE and skills provision","18/19"
"Swindon and Wiltshire","LEP",201819,NA,"Apprenticeships: Total",3290,18,"Apprenticeships (all ages)","18/19"
"Swindon and Wiltshire","LEP",201819,NA,"Community learning: Total",1760,18,"Community learning (adults only)","18/19"
"Swindon and Wiltshire","LEP",201819,NA,"Education and training: Total",6800,18,"Education and training (adults only)","18/19"
"Swindon and Wiltshire","LEP",201819,NA,"Further education and skills: Total",12800,18,"Total FE and skills provision","18/19"
"Tees Valley","LEP",201819,NA,"Apprenticeships: Total",3250,18,"Apprenticeships (all ages)","18/19"
"Tees Valley","LEP",201819,NA,"Community learning: Total",6890,18,"Community learning (adults only)","18/19"
"Tees Valley","LEP",201819,NA,"Education and training: Total",20600,18,"Education and training (adults only)","18/19"
"Tees Valley","LEP",201819,NA,"Further education and skills: Total",28970,18,"Total FE and skills provision","18/19"
"Thames Valley Berkshire","LEP",201819,NA,"Apprenticeships: Total",2270,18,"Apprenticeships (all ages)","18/19"
"Thames Valley Berkshire","LEP",201819,NA,"Community learning: Total",8970,18,"Community learning (adults only)","18/19"
"Thames Valley Berkshire","LEP",201819,NA,"Education and training: Total",8710,18,"Education and training (adults only)","18/19"
"Thames Valley Berkshire","LEP",201819,NA,"Further education and skills: Total",19970,18,"Total FE and skills provision","18/19"
"The Marches","LEP",201819,NA,"Apprenticeships: Total",3190,18,"Apprenticeships (all ages)","18/19"
"The Marches","LEP",201819,NA,"Community learning: Total",3050,18,"Community learning (adults only)","18/19"
"The Marches","LEP",201819,NA,"Education and training: Total",8280,18,"Education and training (adults only)","18/19"
"The Marches","LEP",201819,NA,"Further education and skills: Total",15080,18,"Total FE and skills provision","18/19"
"West of England","LEP",201819,NA,"Apprenticeships: Total",3430,18,"Apprenticeships (all ages)","18/19"
"West of England","LEP",201819,NA,"Community learning: Total",3730,18,"Community learning (adults only)","18/19"
"West of England","LEP",201819,NA,"Education and training: Total",15610,18,"Education and training (adults only)","18/19"
"West of England","LEP",201819,NA,"Further education and skills: Total",22880,18,"Total FE and skills provision","18/19"
"Worcestershire","LEP",201819,NA,"Apprenticeships: Total",1980,18,"Apprenticeships (all ages)","18/19"
"Worcestershire","LEP",201819,NA,"Community learning: Total",3530,18,"Community learning (adults only)","18/19"
"Worcestershire","LEP",201819,NA,"Education and training: Total",6350,18,"Education and training (adults only)","18/19"
"Worcestershire","LEP",201819,NA,"Further education and skills: Total",11880,18,"Total FE and skills provision","18/19"
"York and North Yorkshire","LEP",201819,NA,"Apprenticeships: Total",3860,18,"Apprenticeships (all ages)","18/19"
"York and North Yorkshire","LEP",201819,NA,"Community learning: Total",5080,18,"Community learning (adults only)","18/19"
"York and North Yorkshire","LEP",201819,NA,"Education and training: Total",9090,18,"Education and training (adults only)","18/19"
"York and North Yorkshire","LEP",201819,NA,"Further education and skills: Total",17650,18,"Total FE and skills provision","18/19"
"Black Country","LEP",201920,NA,"Apprenticeships: Total",3820,19,"Apprenticeships (all ages)","19/20"
"Black Country","LEP",201920,NA,"Community learning: Total",5590,19,"Community learning (adults only)","19/20"
"Black Country","LEP",201920,NA,"Education and training: Total",18490,19,"Education and training (adults only)","19/20"
"Black Country","LEP",201920,NA,"Further education and skills: Total",28160,19,"Total FE and skills provision","19/20"
"Buckinghamshire","LEP",201920,NA,"Apprenticeships: Total",1000,19,"Apprenticeships (all ages)","19/20"
"Buckinghamshire","LEP",201920,NA,"Community learning: Total",3240,19,"Community learning (adults only)","19/20"
"Buckinghamshire","LEP",201920,NA,"Education and training: Total",3430,19,"Education and training (adults only)","19/20"
"Buckinghamshire","LEP",201920,NA,"Further education and skills: Total",7810,19,"Total FE and skills provision","19/20"
"Cheshire and Warrington","LEP",201920,NA,"Apprenticeships: Total",2490,19,"Apprenticeships (all ages)","19/20"
"Cheshire and Warrington","LEP",201920,NA,"Community learning: Total",4780,19,"Community learning (adults only)","19/20"
"Cheshire and Warrington","LEP",201920,NA,"Education and training: Total",8030,19,"Education and training (adults only)","19/20"
"Cheshire and Warrington","LEP",201920,NA,"Further education and skills: Total",15450,19,"Total FE and skills provision","19/20"
"Coast to Capital","LEP",201920,NA,"Apprenticeships: Total",2870,19,"Apprenticeships (all ages)","19/20"
"Coast to Capital","LEP",201920,NA,"Community learning: Total",6660,19,"Community learning (adults only)","19/20"
"Coast to Capital","LEP",201920,NA,"Education and training: Total",12450,19,"Education and training (adults only)","19/20"
"Coast to Capital","LEP",201920,NA,"Further education and skills: Total",22590,19,"Total FE and skills provision","19/20"
"Cornwall and Isles of Scilly","LEP",201920,NA,"Apprenticeships: Total",1760,19,"Apprenticeships (all ages)","19/20"
"Cornwall and Isles of Scilly","LEP",201920,NA,"Community learning: Total",3250,19,"Community learning (adults only)","19/20"
"Cornwall and Isles of Scilly","LEP",201920,NA,"Education and training: Total",6360,19,"Education and training (adults only)","19/20"
"Cornwall and Isles of Scilly","LEP",201920,NA,"Further education and skills: Total",11720,19,"Total FE and skills provision","19/20"
"Coventry and Warwickshire","LEP",201920,NA,"Apprenticeships: Total",2390,19,"Apprenticeships (all ages)","19/20"
"Coventry and Warwickshire","LEP",201920,NA,"Community learning: Total",3790,19,"Community learning (adults only)","19/20"
"Coventry and Warwickshire","LEP",201920,NA,"Education and training: Total",10180,19,"Education and training (adults only)","19/20"
"Coventry and Warwickshire","LEP",201920,NA,"Further education and skills: Total",17280,19,"Total FE and skills provision","19/20"
"Cumbria","LEP",201920,NA,"Apprenticeships: Total",2040,19,"Apprenticeships (all ages)","19/20"
"Cumbria","LEP",201920,NA,"Community learning: Total",2810,19,"Community learning (adults only)","19/20"
"Cumbria","LEP",201920,NA,"Education and training: Total",4510,19,"Education and training (adults only)","19/20"
"Cumbria","LEP",201920,NA,"Further education and skills: Total",9410,19,"Total FE and skills provision","19/20"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,NA,"Apprenticeships: Total",6620,19,"Apprenticeships (all ages)","19/20"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,NA,"Community learning: Total",11880,19,"Community learning (adults only)","19/20"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,NA,"Education and training: Total",26940,19,"Education and training (adults only)","19/20"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,NA,"Further education and skills: Total",45810,19,"Total FE and skills provision","19/20"
"Dorset","LEP",201920,NA,"Apprenticeships: Total",2750,19,"Apprenticeships (all ages)","19/20"
"Dorset","LEP",201920,NA,"Community learning: Total",3070,19,"Community learning (adults only)","19/20"
"Dorset","LEP",201920,NA,"Education and training: Total",6240,19,"Education and training (adults only)","19/20"
"Dorset","LEP",201920,NA,"Further education and skills: Total",12450,19,"Total FE and skills provision","19/20"
"Enterprise M3","LEP",201920,NA,"Apprenticeships: Total",3210,19,"Apprenticeships (all ages)","19/20"
"Enterprise M3","LEP",201920,NA,"Community learning: Total",10210,19,"Community learning (adults only)","19/20"
"Enterprise M3","LEP",201920,NA,"Education and training: Total",9910,19,"Education and training (adults only)","19/20"
"Enterprise M3","LEP",201920,NA,"Further education and skills: Total",24210,19,"Total FE and skills provision","19/20"
"Gloucestershire","LEP",201920,NA,"Apprenticeships: Total",1650,19,"Apprenticeships (all ages)","19/20"
"Gloucestershire","LEP",201920,NA,"Community learning: Total",2930,19,"Community learning (adults only)","19/20"
"Gloucestershire","LEP",201920,NA,"Education and training: Total",4990,19,"Education and training (adults only)","19/20"
"Gloucestershire","LEP",201920,NA,"Further education and skills: Total",9970,19,"Total FE and skills provision","19/20"
"Greater Birmingham and Solihull","LEP",201920,NA,"Apprenticeships: Total",5330,19,"Apprenticeships (all ages)","19/20"
"Greater Birmingham and Solihull","LEP",201920,NA,"Community learning: Total",8230,19,"Community learning (adults only)","19/20"
"Greater Birmingham and Solihull","LEP",201920,NA,"Education and training: Total",31220,19,"Education and training (adults only)","19/20"
"Greater Birmingham and Solihull","LEP",201920,NA,"Further education and skills: Total",44040,19,"Total FE and skills provision","19/20"
"Greater Cambridge and Greater Peterborough","LEP",201920,NA,"Apprenticeships: Total",1780,19,"Apprenticeships (all ages)","19/20"
"Greater Cambridge and Greater Peterborough","LEP",201920,NA,"Community learning: Total",1800,19,"Community learning (adults only)","19/20"
"Greater Cambridge and Greater Peterborough","LEP",201920,NA,"Education and training: Total",7230,19,"Education and training (adults only)","19/20"
"Greater Cambridge and Greater Peterborough","LEP",201920,NA,"Further education and skills: Total",11140,19,"Total FE and skills provision","19/20"
"Greater Lincolnshire","LEP",201920,NA,"Apprenticeships: Total",3280,19,"Apprenticeships (all ages)","19/20"
"Greater Lincolnshire","LEP",201920,NA,"Community learning: Total",7380,19,"Community learning (adults only)","19/20"
"Greater Lincolnshire","LEP",201920,NA,"Education and training: Total",13910,19,"Education and training (adults only)","19/20"
"Greater Lincolnshire","LEP",201920,NA,"Further education and skills: Total",24570,19,"Total FE and skills provision","19/20"
"Greater Manchester","LEP",201920,NA,"Apprenticeships: Total",8170,19,"Apprenticeships (all ages)","19/20"
"Greater Manchester","LEP",201920,NA,"Community learning: Total",15400,19,"Community learning (adults only)","19/20"
"Greater Manchester","LEP",201920,NA,"Education and training: Total",39610,19,"Education and training (adults only)","19/20"
"Greater Manchester","LEP",201920,NA,"Further education and skills: Total",60290,19,"Total FE and skills provision","19/20"
"Heart of the South West","LEP",201920,NA,"Apprenticeships: Total",5810,19,"Apprenticeships (all ages)","19/20"
"Heart of the South West","LEP",201920,NA,"Community learning: Total",10580,19,"Community learning (adults only)","19/20"
"Heart of the South West","LEP",201920,NA,"Education and training: Total",19700,19,"Education and training (adults only)","19/20"
"Heart of the South West","LEP",201920,NA,"Further education and skills: Total",37120,19,"Total FE and skills provision","19/20"
"Hertfordshire","LEP",201920,NA,"Apprenticeships: Total",2230,19,"Apprenticeships (all ages)","19/20"
"Hertfordshire","LEP",201920,NA,"Community learning: Total",4920,19,"Community learning (adults only)","19/20"
"Hertfordshire","LEP",201920,NA,"Education and training: Total",7800,19,"Education and training (adults only)","19/20"
"Hertfordshire","LEP",201920,NA,"Further education and skills: Total",15240,19,"Total FE and skills provision","19/20"
"Hull and East Yorkshire","LEP",201920,NA,"Apprenticeships: Total",2840,19,"Apprenticeships (all ages)","19/20"
"Hull and East Yorkshire","LEP",201920,NA,"Community learning: Total",2130,19,"Community learning (adults only)","19/20"
"Hull and East Yorkshire","LEP",201920,NA,"Education and training: Total",8340,19,"Education and training (adults only)","19/20"
"Hull and East Yorkshire","LEP",201920,NA,"Further education and skills: Total",13520,19,"Total FE and skills provision","19/20"
"Lancashire","LEP",201920,NA,"Apprenticeships: Total",4850,19,"Apprenticeships (all ages)","19/20"
"Lancashire","LEP",201920,NA,"Community learning: Total",14100,19,"Community learning (adults only)","19/20"
"Lancashire","LEP",201920,NA,"Education and training: Total",20050,19,"Education and training (adults only)","19/20"
"Lancashire","LEP",201920,NA,"Further education and skills: Total",38270,19,"Total FE and skills provision","19/20"
"Leeds City Region","LEP",201920,NA,"Apprenticeships: Total",6660,19,"Apprenticeships (all ages)","19/20"
"Leeds City Region","LEP",201920,NA,"Community learning: Total",14160,19,"Community learning (adults only)","19/20"
"Leeds City Region","LEP",201920,NA,"Education and training: Total",34750,19,"Education and training (adults only)","19/20"
"Leeds City Region","LEP",201920,NA,"Further education and skills: Total",55800,19,"Total FE and skills provision","19/20"
"Leicester and Leicestershire","LEP",201920,NA,"Apprenticeships: Total",2840,19,"Apprenticeships (all ages)","19/20"
"Leicester and Leicestershire","LEP",201920,NA,"Community learning: Total",6120,19,"Community learning (adults only)","19/20"
"Leicester and Leicestershire","LEP",201920,NA,"Education and training: Total",14400,19,"Education and training (adults only)","19/20"
"Leicester and Leicestershire","LEP",201920,NA,"Further education and skills: Total",23560,19,"Total FE and skills provision","19/20"
"Liverpool City Region","LEP",201920,NA,"Apprenticeships: Total",4710,19,"Apprenticeships (all ages)","19/20"
"Liverpool City Region","LEP",201920,NA,"Community learning: Total",13260,19,"Community learning (adults only)","19/20"
"Liverpool City Region","LEP",201920,NA,"Education and training: Total",23060,19,"Education and training (adults only)","19/20"
"Liverpool City Region","LEP",201920,NA,"Further education and skills: Total",38660,19,"Total FE and skills provision","19/20"
"London","LEP",201920,NA,"Apprenticeships: Total",12850,19,"Apprenticeships (all ages)","19/20"
"London","LEP",201920,NA,"Community learning: Total",73260,19,"Community learning (adults only)","19/20"
"London","LEP",201920,NA,"Education and training: Total",134590,19,"Education and training (adults only)","19/20"
"London","LEP",201920,NA,"Further education and skills: Total",217030,19,"Total FE and skills provision","19/20"
"New Anglia","LEP",201920,NA,"Apprenticeships: Total",4260,19,"Apprenticeships (all ages)","19/20"
"New Anglia","LEP",201920,NA,"Community learning: Total",7030,19,"Community learning (adults only)","19/20"
"New Anglia","LEP",201920,NA,"Education and training: Total",12590,19,"Education and training (adults only)","19/20"
"New Anglia","LEP",201920,NA,"Further education and skills: Total",24640,19,"Total FE and skills provision","19/20"
"North East","LEP",201920,NA,"Apprenticeships: Total",6890,19,"Apprenticeships (all ages)","19/20"
"North East","LEP",201920,NA,"Community learning: Total",11610,19,"Community learning (adults only)","19/20"
"North East","LEP",201920,NA,"Education and training: Total",38130,19,"Education and training (adults only)","19/20"
"North East","LEP",201920,NA,"Further education and skills: Total",55190,19,"Total FE and skills provision","19/20"
"Oxfordshire","LEP",201920,NA,"Apprenticeships: Total",1320,19,"Apprenticeships (all ages)","19/20"
"Oxfordshire","LEP",201920,NA,"Community learning: Total",3510,19,"Community learning (adults only)","19/20"
"Oxfordshire","LEP",201920,NA,"Education and training: Total",4820,19,"Education and training (adults only)","19/20"
"Oxfordshire","LEP",201920,NA,"Further education and skills: Total",9680,19,"Total FE and skills provision","19/20"
"Sheffield City Region","LEP",201920,NA,"Apprenticeships: Total",3900,19,"Apprenticeships (all ages)","19/20"
"Sheffield City Region","LEP",201920,NA,"Community learning: Total",7220,19,"Community learning (adults only)","19/20"
"Sheffield City Region","LEP",201920,NA,"Education and training: Total",19330,19,"Education and training (adults only)","19/20"
"Sheffield City Region","LEP",201920,NA,"Further education and skills: Total",30960,19,"Total FE and skills provision","19/20"
"Solent","LEP",201920,NA,"Apprenticeships: Total",4580,19,"Apprenticeships (all ages)","19/20"
"Solent","LEP",201920,NA,"Community learning: Total",6050,19,"Community learning (adults only)","19/20"
"Solent","LEP",201920,NA,"Education and training: Total",12540,19,"Education and training (adults only)","19/20"
"Solent","LEP",201920,NA,"Further education and skills: Total",24530,19,"Total FE and skills provision","19/20"
"South East","LEP",201920,NA,"Apprenticeships: Total",9720,19,"Apprenticeships (all ages)","19/20"
"South East","LEP",201920,NA,"Community learning: Total",25760,19,"Community learning (adults only)","19/20"
"South East","LEP",201920,NA,"Education and training: Total",35240,19,"Education and training (adults only)","19/20"
"South East","LEP",201920,NA,"Further education and skills: Total",72130,19,"Total FE and skills provision","19/20"
"South East Midlands","LEP",201920,NA,"Apprenticeships: Total",4260,19,"Apprenticeships (all ages)","19/20"
"South East Midlands","LEP",201920,NA,"Community learning: Total",7300,19,"Community learning (adults only)","19/20"
"South East Midlands","LEP",201920,NA,"Education and training: Total",20310,19,"Education and training (adults only)","19/20"
"South East Midlands","LEP",201920,NA,"Further education and skills: Total",32530,19,"Total FE and skills provision","19/20"
"Stoke-on-Trent and Staffordshire","LEP",201920,NA,"Apprenticeships: Total",3480,19,"Apprenticeships (all ages)","19/20"
"Stoke-on-Trent and Staffordshire","LEP",201920,NA,"Community learning: Total",5380,19,"Community learning (adults only)","19/20"
"Stoke-on-Trent and Staffordshire","LEP",201920,NA,"Education and training: Total",11340,19,"Education and training (adults only)","19/20"
"Stoke-on-Trent and Staffordshire","LEP",201920,NA,"Further education and skills: Total",20060,19,"Total FE and skills provision","19/20"
"Swindon and Wiltshire","LEP",201920,NA,"Apprenticeships: Total",2860,19,"Apprenticeships (all ages)","19/20"
"Swindon and Wiltshire","LEP",201920,NA,"Community learning: Total",1220,19,"Community learning (adults only)","19/20"
"Swindon and Wiltshire","LEP",201920,NA,"Education and training: Total",6630,19,"Education and training (adults only)","19/20"
"Swindon and Wiltshire","LEP",201920,NA,"Further education and skills: Total",11690,19,"Total FE and skills provision","19/20"
"Tees Valley","LEP",201920,NA,"Apprenticeships: Total",2390,19,"Apprenticeships (all ages)","19/20"
"Tees Valley","LEP",201920,NA,"Community learning: Total",4700,19,"Community learning (adults only)","19/20"
"Tees Valley","LEP",201920,NA,"Education and training: Total",14980,19,"Education and training (adults only)","19/20"
"Tees Valley","LEP",201920,NA,"Further education and skills: Total",21530,19,"Total FE and skills provision","19/20"
"Thames Valley Berkshire","LEP",201920,NA,"Apprenticeships: Total",2010,19,"Apprenticeships (all ages)","19/20"
"Thames Valley Berkshire","LEP",201920,NA,"Community learning: Total",6600,19,"Community learning (adults only)","19/20"
"Thames Valley Berkshire","LEP",201920,NA,"Education and training: Total",7340,19,"Education and training (adults only)","19/20"
"Thames Valley Berkshire","LEP",201920,NA,"Further education and skills: Total",15950,19,"Total FE and skills provision","19/20"
"The Marches","LEP",201920,NA,"Apprenticeships: Total",2590,19,"Apprenticeships (all ages)","19/20"
"The Marches","LEP",201920,NA,"Community learning: Total",2470,19,"Community learning (adults only)","19/20"
"The Marches","LEP",201920,NA,"Education and training: Total",6230,19,"Education and training (adults only)","19/20"
"The Marches","LEP",201920,NA,"Further education and skills: Total",11920,19,"Total FE and skills provision","19/20"
"West of England","LEP",201920,NA,"Apprenticeships: Total",2860,19,"Apprenticeships (all ages)","19/20"
"West of England","LEP",201920,NA,"Community learning: Total",3500,19,"Community learning (adults only)","19/20"
"West of England","LEP",201920,NA,"Education and training: Total",10560,19,"Education and training (adults only)","19/20"
"West of England","LEP",201920,NA,"Further education and skills: Total",17520,19,"Total FE and skills provision","19/20"
"Worcestershire","LEP",201920,NA,"Apprenticeships: Total",1640,19,"Apprenticeships (all ages)","19/20"
"Worcestershire","LEP",201920,NA,"Community learning: Total",2250,19,"Community learning (adults only)","19/20"
"Worcestershire","LEP",201920,NA,"Education and training: Total",4360,19,"Education and training (adults only)","19/20"
"Worcestershire","LEP",201920,NA,"Further education and skills: Total",8530,19,"Total FE and skills provision","19/20"
"York and North Yorkshire","LEP",201920,NA,"Apprenticeships: Total",3270,19,"Apprenticeships (all ages)","19/20"
"York and North Yorkshire","LEP",201920,NA,"Community learning: Total",5320,19,"Community learning (adults only)","19/20"
"York and North Yorkshire","LEP",201920,NA,"Education and training: Total",8210,19,"Education and training (adults only)","19/20"
"York and North Yorkshire","LEP",201920,NA,"Further education and skills: Total",16590,19,"Total FE and skills provision","19/20"
"Black Country","LEP",202021,NA,"Apprenticeships: Total",3970,20,"Apprenticeships (all ages)","20/21"
"Black Country","LEP",202021,NA,"Community learning: Total",3960,20,"Community learning (adults only)","20/21"
"Black Country","LEP",202021,NA,"Education and training: Total",17680,20,"Education and training (adults only)","20/21"
"Black Country","LEP",202021,NA,"Further education and skills: Total",24810,20,"Total FE and skills provision","20/21"
"Buckinghamshire","LEP",202021,NA,"Apprenticeships: Total",1140,20,"Apprenticeships (all ages)","20/21"
"Buckinghamshire","LEP",202021,NA,"Community learning: Total",2140,20,"Community learning (adults only)","20/21"
"Buckinghamshire","LEP",202021,NA,"Education and training: Total",3880,20,"Education and training (adults only)","20/21"
"Buckinghamshire","LEP",202021,NA,"Further education and skills: Total",7200,20,"Total FE and skills provision","20/21"
"Cheshire and Warrington","LEP",202021,NA,"Apprenticeships: Total",2600,20,"Apprenticeships (all ages)","20/21"
"Cheshire and Warrington","LEP",202021,NA,"Community learning: Total",2470,20,"Community learning (adults only)","20/21"
"Cheshire and Warrington","LEP",202021,NA,"Education and training: Total",8210,20,"Education and training (adults only)","20/21"
"Cheshire and Warrington","LEP",202021,NA,"Further education and skills: Total",13150,20,"Total FE and skills provision","20/21"
"Coast to Capital","LEP",202021,NA,"Apprenticeships: Total",3460,20,"Apprenticeships (all ages)","20/21"
"Coast to Capital","LEP",202021,NA,"Community learning: Total",3990,20,"Community learning (adults only)","20/21"
"Coast to Capital","LEP",202021,NA,"Education and training: Total",12770,20,"Education and training (adults only)","20/21"
"Coast to Capital","LEP",202021,NA,"Further education and skills: Total",20560,20,"Total FE and skills provision","20/21"
"Cornwall and Isles of Scilly","LEP",202021,NA,"Apprenticeships: Total",1720,20,"Apprenticeships (all ages)","20/21"
"Cornwall and Isles of Scilly","LEP",202021,NA,"Community learning: Total",1940,20,"Community learning (adults only)","20/21"
"Cornwall and Isles of Scilly","LEP",202021,NA,"Education and training: Total",6340,20,"Education and training (adults only)","20/21"
"Cornwall and Isles of Scilly","LEP",202021,NA,"Further education and skills: Total",10150,20,"Total FE and skills provision","20/21"
"Coventry and Warwickshire","LEP",202021,NA,"Apprenticeships: Total",2650,20,"Apprenticeships (all ages)","20/21"
"Coventry and Warwickshire","LEP",202021,NA,"Community learning: Total",2140,20,"Community learning (adults only)","20/21"
"Coventry and Warwickshire","LEP",202021,NA,"Education and training: Total",9790,20,"Education and training (adults only)","20/21"
"Coventry and Warwickshire","LEP",202021,NA,"Further education and skills: Total",14920,20,"Total FE and skills provision","20/21"
"Cumbria","LEP",202021,NA,"Apprenticeships: Total",1880,20,"Apprenticeships (all ages)","20/21"
"Cumbria","LEP",202021,NA,"Community learning: Total",1240,20,"Community learning (adults only)","20/21"
"Cumbria","LEP",202021,NA,"Education and training: Total",4930,20,"Education and training (adults only)","20/21"
"Cumbria","LEP",202021,NA,"Further education and skills: Total",7970,20,"Total FE and skills provision","20/21"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",202021,NA,"Apprenticeships: Total",6730,20,"Apprenticeships (all ages)","20/21"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",202021,NA,"Community learning: Total",7380,20,"Community learning (adults only)","20/21"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",202021,NA,"Education and training: Total",27310,20,"Education and training (adults only)","20/21"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",202021,NA,"Further education and skills: Total",41150,20,"Total FE and skills provision","20/21"
"Dorset","LEP",202021,NA,"Apprenticeships: Total",3020,20,"Apprenticeships (all ages)","20/21"
"Dorset","LEP",202021,NA,"Community learning: Total",1400,20,"Community learning (adults only)","20/21"
"Dorset","LEP",202021,NA,"Education and training: Total",6870,20,"Education and training (adults only)","20/21"
"Dorset","LEP",202021,NA,"Further education and skills: Total",11450,20,"Total FE and skills provision","20/21"
