"area","geographic_level","year","  All ","  Economically Active ","Employment","  Employees ","  Self Employed ","  Unemployed ","  Inactive ","empRate","Year"
"Hull and East Yorkshire","LEP","2021",360100,279800,267700,238600,28900,12100,80400,0.743404609830603,21
"Lancashire","LEP","2021",890600,683900,652700,579000,72300,31200,206800,0.732876712328767,21
"Leeds City Region","LEP","2021",1450200,1126300,1067700,944700,122500,58600,323900,0.736243276789408,21
"Leicester and Leicestershire","LEP","2021",658000,522900,489200,438800,50000,33700,135100,0.743465045592705,21
"Liverpool City Region","LEP","2021",961100,743100,709000,640600,67100,34100,218000,0.737696389553636,21
"London","LEP","2021",6124300,4863300,4543200,3839200,691700,320200,1261000,0.741831719543458,21
"New Anglia","LEP","2021",961500,771800,740200,635100,102300,31600,189700,0.769838793551742,21
"North East","LEP","2021",1217900,915200,860400,765900,91000,54800,302700,0.706461942688234,21
"Oxfordshire","LEP","2021",419300,333400,325500,284100,41400,7900,85900,0.776293823038397,21
"Sheffield City Region","LEP","2021",880800,660300,618900,552000,64500,41400,220500,0.702656675749319,21
"Solent","LEP","2021",768000,606400,579000,514500,63700,27500,161600,0.75390625,21
"South East","LEP","2021",2565900,2058300,1966500,1661900,300300,91800,507600,0.766397755173623,21
"South East Midlands","LEP","2021",1061400,853700,813500,708900,103500,40200,207700,0.766440550216695,21
"Stoke-on-Trent and Staffordshire","LEP","2021",680000,540000,521500,452900,66000,18500,140000,0.766911764705882,21
"Swindon and Wiltshire","LEP","2021",431700,356600,343400,291600,49700,13200,75100,0.795459810053278,21
"Tees Valley","LEP","2021",406900,304600,284600,254500,29900,20100,102300,0.699434750552961,21
"Thames Valley Berkshire","LEP","2021",572200,469400,446500,389300,55800,22900,102800,0.780321565886054,21
"The Marches","LEP","2021",401100,313100,303800,253000,49500,9300,88000,0.757417102966841,21
"West of England","LEP","2021",744300,606100,584600,520900,62800,21500,138200,0.785435980115545,21
"Worcestershire","LEP","2021",348800,283600,275600,243900,31700,8000,65100,0.790137614678899,21
"York and North Yorkshire","LEP","2021",482800,387400,374900,315600,56300,12500,95400,0.776512013256007,21
"Black Country","LEP","2022",663600,501500,471400,423300,46000,30100,162100,0.71036769138035,22
"Buckinghamshire","LEP","2022",328700,282300,272500,236100,34400,9700,46400,0.829023425616063,22
"Cheshire and Warrington","LEP","2022",581800,466200,452400,394000,57700,13800,115600,0.777586799587487,22
"Coast to Capital","LEP","2022",947200,772600,750200,642000,105200,22400,174600,0.792018581081081,22
"Cornwall and Isles of Scilly","LEP","2022",319000,251900,246700,202100,43600,5100,67200,0.773354231974922,22
"Coventry and Warwickshire","LEP","2022",625600,502400,483000,426600,55600,19400,123300,0.772058823529412,22
"Cumbria","LEP","2022",311800,252300,244500,210300,32900,7800,59500,0.784156510583708,22
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","2022",1375000,1067400,1033600,915100,116000,33800,307600,0.751709090909091,22
"Dorset","LEP","2022",410300,319500,309800,259200,49100,9700,90800,0.755057275164514,22
"Enterprise M3","LEP","2022",984000,791200,768100,689200,75300,23000,192900,0.780589430894309,22
"Gloucestershire","LEP","2022",403200,332000,320000,278600,40800,12000,71200,0.793650793650794,22
"Greater Birmingham and Solihull","LEP","2022",1373400,1037100,971300,865300,102500,65800,336300,0.707222950342216,22
"Greater Cambridge and Greater Peterborough","LEP","2022",545700,446600,430500,386400,43400,16100,99100,0.788894997251237,22
"Greater Lincolnshire","LEP","2022",626800,479200,466500,408200,56700,12700,147600,0.744256541161455,22
"Greater Manchester","LEP","2022",1716900,1301100,1236000,1095800,136400,65100,415900,0.719902149222436,22
"Heart of the South West","LEP","2022",1042900,819200,796500,663900,131100,22600,223700,0.763735736887525,22
"Hertfordshire","LEP","2022",759700,613000,598400,520200,77200,14600,146800,0.787679347110702,22
"Hull and East Yorkshire","LEP","2022",345200,266000,254700,227600,25100,11300,79300,0.737833140208575,22
"Lancashire","LEP","2022",920600,694600,659300,596600,61700,35300,226000,0.716163371714099,22
"Leeds City Region","LEP","2022",1479400,1129800,1086900,961800,124300,42800,349600,0.734689739083412,22
"Leicester and Leicestershire","LEP","2022",652100,507500,490100,436800,51400,17400,144600,0.751571844809078,22
"Liverpool City Region","LEP","2022",957600,726000,701200,632200,67400,24800,231700,0.732247284878864,22
"London","LEP","2022",6150300,4884100,4660900,3945000,697100,223200,1266200,0.757832951238151,22
"New Anglia","LEP","2022",985700,796700,774900,673800,99300,21800,189000,0.786141828142437,22
"North East","LEP","2022",1229100,927900,882500,792600,87800,45400,301300,0.718005044341388,22
"Oxfordshire","LEP","2022",439400,360800,351900,315700,35700,8800,78600,0.800864815657715,22
"Sheffield City Region","LEP","2022",875500,677700,645400,575300,67100,32300,197800,0.737178754997144,22
"Solent","LEP","2022",751000,593900,573100,505400,64300,20800,157100,0.763115845539281,22
"South East","LEP","2022",2549600,2026100,1965200,1658900,294000,60900,523500,0.770787574521494,22
"South East Midlands","LEP","2022",1040000,831200,809400,729500,78400,21800,208900,0.778269230769231,22
"Stoke-on-Trent and Staffordshire","LEP","2022",691200,572000,553300,483500,67700,18700,119200,0.800491898148148,22
"Swindon and Wiltshire","LEP","2022",447200,365200,354000,313000,40100,11200,81900,0.791592128801431,22
"Tees Valley","LEP","2022",397900,291600,276800,242400,32400,14900,106300,0.695652173913043,22
"Thames Valley Berkshire","LEP","2022",539400,441500,427500,371600,54400,14000,98000,0.792547274749722,22
"The Marches","LEP","2022",367500,292300,281000,237500,42000,11200,75300,0.764625850340136,22
"West of England","LEP","2022",723000,604700,591300,521300,67800,13400,118300,0.817842323651452,22
"Worcestershire","LEP","2022",365300,293000,282300,247300,33300,10700,72300,0.772789488091979,22
"York and North Yorkshire","LEP","2022",501200,406200,398100,346500,50900,8100,95000,0.794293695131684,22
