"subgroup","metric","breakdown","geogConcat","chartPeriod","value","timePeriod","latest","valueText"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-2.84820009393914,2035-01-01,1,"-2.8482000939391412"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-1.13232474998878,2035-01-01,1,"-1.1323247499887827"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,1.33256901337025,2035-01-01,1,"1.3325690133702466"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,4.75070442368916,2035-01-01,1,"4.7507044236891574"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,1.08229474892936,2035-01-01,1,"1.0822947489293568"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-8.55154309454029,2035-01-01,1,"-8.5515430945402926"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,15.1658082378638,2035-01-01,1,"15.165808237863814"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,30.9191419048548,2035-01-01,1,"30.919141904854825"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,3.89954960976073,2035-01-01,1,"3.8995496097607258"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-1.71883500877131,2035-01-01,1,"-1.7188350087713076"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,5.61838461853203,2035-01-01,1,"5.6183846185320334"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,20.9268910970211,2035-01-01,1,"20.92689109702107"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-0.188086509934585,2035-01-01,1,"-0.18808650993458542"
