"subgroup","metric","breakdown","geogConcat","chartPeriod","value","timePeriod","latest","valueText"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,2.58033435474424,2035-01-01,1,"2.5803343547442381"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,9.52236947784374,2035-01-01,1,"9.5223694778437427"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,3.45576678274544,2035-01-01,1,"3.4557667827454388"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,1.57408538558055,2035-01-01,1,"1.5740853855805526"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,4.63900032343603,2035-01-01,1,"4.6390003234360258"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,0.108015959061792,2035-01-01,1,"0.10801595906179173"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,7.04145593558901,2035-01-01,1,"7.0414559355890125"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,-0.240810695958342,2035-01-01,1,"-0.24081069595834181"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,0.911670380555719,2035-01-01,1,"0.91167038055571936"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,1.71823771968201,2035-01-01,1,"1.718237719682012"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,0.132629588509836,2035-01-01,1,"0.13262958850983608"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,-1.39554555394473,2035-01-01,1,"-1.3955455539447321"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,0.315460955090375,2035-01-01,1,"0.31546095509037464"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,-0.903201848883608,2035-01-01,1,"-0.90320184888360799"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,0.62323877570423,2035-01-01,1,"0.62323877570423036"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,0.34201930076599,2035-01-01,1,"0.34201930076599041"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,4.92495489712896,2035-01-01,1,"4.9249548971289556"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,0.746890266401866,2035-01-01,1,"0.7468902664018664"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,-0.0831117280701205,2035-01-01,1,"-8.3111728070120489E-2"
"Sales occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,-0.875390643946353,2035-01-01,1,"-0.87539064394635346"
"Customer service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,1.37535790284959,2035-01-01,1,"1.3753579028495864"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,-0.178042276819378,2035-01-01,1,"-0.17804227681937768"
"Transport and mobile machine drivers and operatives","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,0.236723603992779,2035-01-01,1,"0.23672360399277892"
"Elementary trades and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,6.20163542981994,2035-01-01,1,"6.2016354298199401"
"Elementary administration and service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LEP",2035,-3.91636678038283,2035-01-01,1,"-3.9163667803828304"
"All occupations","wfReplacement","Total","Gloucestershire LEP",2035,38.7790000000001,2035-01-01,1,"38.77900000000011"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,2.28526864943711,2035-01-01,1,"2.2852686494371071"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,0.058681327173403,2035-01-01,1,"5.868132717340302E-2"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,0.499967258903233,2035-01-01,1,"0.4999672589032329"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,5.5887334354607,2035-01-01,1,"5.5887334354606999"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,0.377517182676982,2035-01-01,1,"0.37751718267698209"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,-1.2629159654349,2035-01-01,1,"-1.2629159654348996"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,9.53856929893019,2035-01-01,1,"9.5385692989301916"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,19.1912219696058,2035-01-01,1,"19.191221969605763"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Gloucestershire LSIP",2035,2.50195684324777,2035-01-01,1,"2.5019568432477683"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,-0.0783775114964733,2035-01-01,1,"-7.8377511496473318E-2"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,2.58033435474424,2035-01-01,1,"2.5803343547442381"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,9.52236947784374,2035-01-01,1,"9.5223694778437427"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,3.45576678274544,2035-01-01,1,"3.4557667827454388"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,1.57408538558055,2035-01-01,1,"1.5740853855805526"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,4.63900032343603,2035-01-01,1,"4.6390003234360258"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,0.108015959061792,2035-01-01,1,"0.10801595906179173"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,7.04145593558901,2035-01-01,1,"7.0414559355890125"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,-0.240810695958342,2035-01-01,1,"-0.24081069595834181"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,0.911670380555719,2035-01-01,1,"0.91167038055571936"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,1.71823771968201,2035-01-01,1,"1.718237719682012"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,0.132629588509836,2035-01-01,1,"0.13262958850983608"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,-1.39554555394473,2035-01-01,1,"-1.3955455539447321"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,0.315460955090375,2035-01-01,1,"0.31546095509037464"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,-0.903201848883608,2035-01-01,1,"-0.90320184888360799"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,0.62323877570423,2035-01-01,1,"0.62323877570423036"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,0.34201930076599,2035-01-01,1,"0.34201930076599041"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,4.92495489712896,2035-01-01,1,"4.9249548971289556"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,0.746890266401866,2035-01-01,1,"0.7468902664018664"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,-0.0831117280701205,2035-01-01,1,"-8.3111728070120489E-2"
"Sales occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,-0.875390643946353,2035-01-01,1,"-0.87539064394635346"
"Customer service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,1.37535790284959,2035-01-01,1,"1.3753579028495864"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,-0.178042276819378,2035-01-01,1,"-0.17804227681937768"
"Transport and mobile machine drivers and operatives","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,0.236723603992779,2035-01-01,1,"0.23672360399277892"
"Elementary trades and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,6.20163542981994,2035-01-01,1,"6.2016354298199401"
"Elementary administration and service occupations","wfReplacement","Occupation (SOC2020 submajor)","Gloucestershire LSIP",2035,-3.91636678038283,2035-01-01,1,"-3.9163667803828304"
"All occupations","wfReplacement","Total","Gloucestershire LSIP",2035,38.7790000000001,2035-01-01,1,"38.77900000000011"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,-4.97472537592762,2035-01-01,1,"-4.9747253759276191"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,12.7786490279214,2035-01-01,1,"12.778649027921404"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,4.52435140142495,2035-01-01,1,"4.5243514014249513"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,30.8521361935147,2035-01-01,1,"30.852136193514696"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,42.7540171709049,2035-01-01,1,"42.754017170904945"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,-26.7324527746338,2035-01-01,1,"-26.732452774633828"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,132.784165164504,2035-01-01,1,"132.78416516450375"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,324.263307717,2035-01-01,1,"324.26330771699986"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Greater London LSIP",2035,27.0745514752948,2035-01-01,1,"27.074551475294811"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,-4.96199274733237,2035-01-01,1,"-4.9619927473323742"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,32.0365442226272,2035-01-01,1,"32.036544222627185"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,194.861827697484,2035-01-01,1,"194.86182769748387"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,-4.06604484129684,2035-01-01,1,"-4.0660448412968435"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,11.2144258067529,2035-01-01,1,"11.214425806752899"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,122.25309905406,2035-01-01,1,"122.2530990540597"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,7.49317422842056,2035-01-01,1,"7.4931742284205569"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,80.889509291222,2035-01-01,1,"80.889509291221998"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,-8.5629014296867,2035-01-01,1,"-8.5629014296867041"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,7.78842762093981,2035-01-01,1,"7.7884276209398138"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,45.175955453608,2035-01-01,1,"45.175955453608026"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,-5.70994594349554,2035-01-01,1,"-5.7099459434955406"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,-21.0225068311383,2035-01-01,1,"-21.022506831138287"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,6.20160070261548,2035-01-01,1,"6.2016007026154796"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,0.399290049568478,2035-01-01,1,"0.39929004956847791"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,16.0176473129479,2035-01-01,1,"16.017647312947901"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,20.1354791057731,2035-01-01,1,"20.135479105773058"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,26.8430761250413,2035-01-01,1,"26.843076125041279"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,5.15377595014081,2035-01-01,1,"5.1537759501408118"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,-1.14471588166745,2035-01-01,1,"-1.1447158816674481"
"Sales occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,-10.9286866120219,2035-01-01,1,"-10.928686612021863"
"Customer service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,15.4530380134468,2035-01-01,1,"15.453038013446758"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,5.39834179852275,2035-01-01,1,"5.3983417985227504"
"Transport and mobile machine drivers and operatives","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,7.38030722939865,2035-01-01,1,"7.3803072293986531"
"Elementary trades and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,42.1479713639517,2035-01-01,1,"42.147971363951726"
"Elementary administration and service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater London LSIP",2035,-47.1226967398794,2035-01-01,1,"-47.122696739879359"
"All occupations","wfReplacement","Total","Greater London LSIP",2035,543.324000000003,2035-01-01,1,"543.32400000000325"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,3.49674294440007,2035-01-01,1,"3.4967429444000686"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,-1.00556385522188,2035-01-01,1,"-1.0055638552218795"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,5.62995546755693,2035-01-01,1,"5.6299554675569254"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,14.1703951501003,2035-01-01,1,"14.17039515010029"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,-7.14531843135428,2035-01-01,1,"-7.1453184313542835"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,-0.445075831777473,2035-01-01,1,"-0.44507583177747279"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,29.2615218640107,2035-01-01,1,"29.26152186401066"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,61.6057591638634,2035-01-01,1,"61.605759163863411"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LEP",2035,5.84858352842329,2035-01-01,1,"5.8485835284232905"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-1.82335501806836,2035-01-01,1,"-1.8233550180683551"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,7.67193854649162,2035-01-01,1,"7.6719385464916243"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,33.227284800073,2035-01-01,1,"33.227284800073036"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,4.85549309008574,2035-01-01,1,"4.8554930900857372"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,9.27086867548029,2035-01-01,1,"9.2708686754802869"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,14.2521125982243,2035-01-01,1,"14.252112598224272"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,0.399195715762225,2035-01-01,1,"0.39919571576222523"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,27.0711015863218,2035-01-01,1,"27.071101586321781"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-2.27336701494753,2035-01-01,1,"-2.2733670149475333"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-0.887264847180379,2035-01-01,1,"-0.88726484718037923"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,4.95185642405458,2035-01-01,1,"4.9518564240545828"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,10.5301626780112,2035-01-01,1,"10.53016267801118"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-10.9752385097887,2035-01-01,1,"-10.97523850978866"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,1.04171098620413,2035-01-01,1,"1.0417109862041318"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-5.38189153385367,2035-01-01,1,"-5.3818915338536684"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-4.46473724390486,2035-01-01,1,"-4.4647372439048567"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,1.6595993602001,2035-01-01,1,"1.6595993602001045"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,17.6832017843994,2035-01-01,1,"17.683201784399401"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-3.18864916987789,2035-01-01,1,"-3.1886491698778912"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-0.324157464421204,2035-01-01,1,"-0.32415746442120441"
"Sales occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-3.59462100257923,2035-01-01,1,"-3.5946210025792311"
"Customer service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,9.22457647013617,2035-01-01,1,"9.2245764701361708"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-2.31518284254606,2035-01-01,1,"-2.315182842546065"
"Transport and mobile machine drivers and operatives","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,1.30961898732419,2035-01-01,1,"1.3096189873241855"
"Elementary trades and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,21.9050657001628,2035-01-01,1,"21.905065700162822"
"Elementary administration and service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LEP",2035,-18.4083227557627,2035-01-01,1,"-18.40832275576274"
"All occupations","wfReplacement","Total","Greater Manchester LEP",2035,111.417000000001,2035-01-01,1,"111.41700000000105"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,3.49674294440007,2035-01-01,1,"3.4967429444000686"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,-1.00556385522188,2035-01-01,1,"-1.0055638552218795"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,5.62995546755693,2035-01-01,1,"5.6299554675569254"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,14.1703951501003,2035-01-01,1,"14.17039515010029"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,-7.14531843135428,2035-01-01,1,"-7.1453184313542835"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,-0.445075831777473,2035-01-01,1,"-0.44507583177747279"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,29.2615218640107,2035-01-01,1,"29.26152186401066"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,61.6057591638634,2035-01-01,1,"61.605759163863411"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Greater Manchester LSIP",2035,5.84858352842329,2035-01-01,1,"5.8485835284232905"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-1.82335501806836,2035-01-01,1,"-1.8233550180683551"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,7.67193854649162,2035-01-01,1,"7.6719385464916243"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,33.227284800073,2035-01-01,1,"33.227284800073036"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,4.85549309008574,2035-01-01,1,"4.8554930900857372"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,9.27086867548029,2035-01-01,1,"9.2708686754802869"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,14.2521125982243,2035-01-01,1,"14.252112598224272"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,0.399195715762225,2035-01-01,1,"0.39919571576222523"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,27.0711015863218,2035-01-01,1,"27.071101586321781"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-2.27336701494753,2035-01-01,1,"-2.2733670149475333"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-0.887264847180379,2035-01-01,1,"-0.88726484718037923"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,4.95185642405458,2035-01-01,1,"4.9518564240545828"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,10.5301626780112,2035-01-01,1,"10.53016267801118"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-10.9752385097887,2035-01-01,1,"-10.97523850978866"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,1.04171098620413,2035-01-01,1,"1.0417109862041318"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-5.38189153385367,2035-01-01,1,"-5.3818915338536684"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-4.46473724390486,2035-01-01,1,"-4.4647372439048567"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,1.6595993602001,2035-01-01,1,"1.6595993602001045"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,17.6832017843994,2035-01-01,1,"17.683201784399401"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-3.18864916987789,2035-01-01,1,"-3.1886491698778912"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-0.324157464421204,2035-01-01,1,"-0.32415746442120441"
"Sales occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-3.59462100257923,2035-01-01,1,"-3.5946210025792311"
"Customer service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,9.22457647013617,2035-01-01,1,"9.2245764701361708"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-2.31518284254606,2035-01-01,1,"-2.315182842546065"
"Transport and mobile machine drivers and operatives","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,1.30961898732419,2035-01-01,1,"1.3096189873241855"
"Elementary trades and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,21.9050657001628,2035-01-01,1,"21.905065700162822"
"Elementary administration and service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester LSIP",2035,-18.4083227557627,2035-01-01,1,"-18.40832275576274"
"All occupations","wfReplacement","Total","Greater Manchester LSIP",2035,111.417000000001,2035-01-01,1,"111.41700000000105"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,3.49674294440007,2035-01-01,1,"3.4967429444000686"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,-1.00556385522188,2035-01-01,1,"-1.0055638552218795"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,5.62995546755693,2035-01-01,1,"5.6299554675569254"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,14.1703951501003,2035-01-01,1,"14.17039515010029"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,-7.14531843135428,2035-01-01,1,"-7.1453184313542835"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,-0.445075831777473,2035-01-01,1,"-0.44507583177747279"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,29.2615218640107,2035-01-01,1,"29.26152186401066"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,61.6057591638634,2035-01-01,1,"61.605759163863411"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Greater Manchester MCA",2035,5.84858352842329,2035-01-01,1,"5.8485835284232905"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester MCA",2035,-1.82335501806836,2035-01-01,1,"-1.8233550180683551"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Greater Manchester MCA",2035,7.67193854649162,2035-01-01,1,"7.6719385464916243"
