"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"Dorset","LEP",201819,"All other qualifications","68","166","591","66","101","190"
"Dorset","LEP",201819,"Level 2","38","139","750","146","142","285"
"Dorset","LEP",201819,"Level 3","127","194","1979","97","1004","557"
"Dorset","LEP",201819,"Total","233","499","3320","309","1247","1032"
"Dorset","LEP",201920,"All other qualifications","107","241","908","113","182","265"
"Dorset","LEP",201920,"Level 2","60","191","1035","187","222","375"
"Dorset","LEP",201920,"Level 3","252","446","4660","286","2295","1381"
"Dorset","LEP",201920,"Total","419","878","6603","586","2699","2021"
"Greater Birmingham and Solihull","LEP",201718,"All other qualifications","394","703","2279","264","394","524"
"Greater Birmingham and Solihull","LEP",201718,"Level 2","227","451","2154","264","674","538"
"Greater Birmingham and Solihull","LEP",201718,"Level 3","575","1080","11438","634","7116","2033"
"Greater Birmingham and Solihull","LEP",201718,"Total","1196","2234","15871","1162","8184","3095"
"Greater Birmingham and Solihull","LEP",201819,"All other qualifications","339","773","2246","259","397","478"
"Greater Birmingham and Solihull","LEP",201819,"Level 2","207","579","2662","302","907","667"
"Greater Birmingham and Solihull","LEP",201819,"Level 3","441","1009","10167","601","6482","1634"
"Greater Birmingham and Solihull","LEP",201819,"Total","987","2361","15075","1162","7786","2779"
"Greater Birmingham and Solihull","LEP",201920,"All other qualifications","375","795","2339","234","452","483"
"Greater Birmingham and Solihull","LEP",201920,"Level 2","155","576","2382","244","819","588"
"Greater Birmingham and Solihull","LEP",201920,"Level 3","437","1056","11053","525","7098","1937"
"Greater Birmingham and Solihull","LEP",201920,"Total","967","2427","15774","1003","8369","3008"
"Greater Cambridge and Greater Peterborough","LEP",201718,"All other qualifications","81","149","601","64","120","187"
"Greater Cambridge and Greater Peterborough","LEP",201718,"Level 2","37","76","540","52","205","170"
"Greater Cambridge and Greater Peterborough","LEP",201718,"Level 3","62","104","1519","102","839","412"
"Greater Cambridge and Greater Peterborough","LEP",201718,"Total","180","329","2660","218","1164","769"
"Greater Cambridge and Greater Peterborough","LEP",201819,"All other qualifications","77","190","625","70","85","203"
"Greater Cambridge and Greater Peterborough","LEP",201819,"Level 2","35","98","478","61","93","191"
"Greater Cambridge and Greater Peterborough","LEP",201819,"Level 3","60","108","1396","96","826","306"
"Greater Cambridge and Greater Peterborough","LEP",201819,"Total","172","396","2499","227","1004","700"
"Greater Cambridge and Greater Peterborough","LEP",201920,"All other qualifications","84","162","650","84","134","186"
"Greater Cambridge and Greater Peterborough","LEP",201920,"Level 2","24","103","519","57","146","189"
"Greater Cambridge and Greater Peterborough","LEP",201920,"Level 3","40","112","1526","74","918","382"
"Greater Cambridge and Greater Peterborough","LEP",201920,"Total","148","377","2695","215","1198","757"
"Greater Lincolnshire","LEP",201718,"All other qualifications","95","260","824","136","159","174"
"Greater Lincolnshire","LEP",201718,"Level 2","50","178","926","162","265","271"
"Greater Lincolnshire","LEP",201718,"Level 3","101","221","2564","265","1375","602"
"Greater Lincolnshire","LEP",201718,"Total","246","659","4314","563","1799","1047"
"Greater Lincolnshire","LEP",201819,"All other qualifications","75","254","729","112","108","180"
