"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"York and North Yorkshire","LEP",201819,"Level 2","56","166","899","129","144","404"
"York and North Yorkshire","LEP",201819,"Level 3","124","180","2150","152","1063","631"
"York and North Yorkshire","LEP",201819,"Total","230","493","3472","339","1252","1158"
"York and North Yorkshire","LEP",201920,"All other qualifications","55","178","544","92","53","166"
"York and North Yorkshire","LEP",201920,"Level 2","59","128","647","98","89","273"
"York and North Yorkshire","LEP",201920,"Level 3","134","219","2319","151","1087","728"
"York and North Yorkshire","LEP",201920,"Total","248","525","3510","341","1229","1167"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"All other qualifications","53","104","341","37","67","80"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"Level 2","52","83","436","63","115","123"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"Level 3","153","279","2461","79","1229","721"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"Total","258","466","3238","179","1411","924"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"All other qualifications","43","69","221","28","26","55"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"Level 2","26","46","270","33","82","83"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"Level 3","135","220","2264","69","1126","714"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"Total","204","335","2755","130","1234","852"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"All other qualifications","29","64","217","27","43","54"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"Level 2","21","56","214","24","60","53"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"Level 3","149","252","2362","42","1146","773"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"Total","199","372","2793","93","1249","880"
"Buckinghamshire ","LSIP",201718,"All other qualifications","55","85","403","75","40","148"
"Buckinghamshire ","LSIP",201718,"Level 2","26","69","404","71","69","169"
"Buckinghamshire ","LSIP",201718,"Level 3","134","299","4243","149","2732","929"
"Buckinghamshire ","LSIP",201718,"Total","215","453","5050","295","2841","1246"
"Buckinghamshire ","LSIP",201819,"All other qualifications","47","112","404","49","56","140"
"Buckinghamshire ","LSIP",201819,"Level 2","28","100","598","79","183","208"
"Buckinghamshire ","LSIP",201819,"Level 3","141","246","3890","146","2490","867"
"Buckinghamshire ","LSIP",201819,"Total","216","458","4892","274","2729","1215"
"Buckinghamshire ","LSIP",201920,"All other qualifications","61","118","417","43","53","142"
"Buckinghamshire ","LSIP",201920,"Level 2","18","42","314","60","64","130"
"Buckinghamshire ","LSIP",201920,"Level 3","125","234","3897","153","2541","844"
"Buckinghamshire ","LSIP",201920,"Total","204","394","4628","256","2658","1116"
"Cambridgeshire and Peterborough","LSIP",201718,"All other qualifications","81","149","601","64","120","187"
"Cambridgeshire and Peterborough","LSIP",201718,"Level 2","37","76","540","52","205","170"
"Cambridgeshire and Peterborough","LSIP",201718,"Level 3","62","104","1519","102","839","412"
"Cambridgeshire and Peterborough","LSIP",201718,"Total","180","329","2660","218","1164","769"
"Cambridgeshire and Peterborough","LSIP",201819,"All other qualifications","77","190","625","70","85","203"
"Cambridgeshire and Peterborough","LSIP",201819,"Level 2","35","98","478","61","93","191"
"Cambridgeshire and Peterborough","LSIP",201819,"Level 3","60","108","1396","96","826","306"
"Cambridgeshire and Peterborough","LSIP",201819,"Total","172","396","2499","227","1004","700"
"Cambridgeshire and Peterborough","LSIP",201920,"All other qualifications","84","162","650","84","134","186"
"Cambridgeshire and Peterborough","LSIP",201920,"Level 2","24","103","519","57","146","189"
"Cambridgeshire and Peterborough","LSIP",201920,"Level 3","40","112","1526","74","918","382"
"Cambridgeshire and Peterborough","LSIP",201920,"Total","148","377","2695","215","1198","757"
"Cheshire and Warrington","LSIP",201718,"All other qualifications","107","312","1127","214","173","321"
"Cheshire and Warrington","LSIP",201718,"Level 2","96","198","1262","223","285","460"
"Cheshire and Warrington","LSIP",201718,"Level 3","243","536","7475","621","4126","1949"
"Cheshire and Warrington","LSIP",201718,"Total","446","1046","9864","1058","4584","2730"
"Cheshire and Warrington","LSIP",201819,"All other qualifications","95","276","1003","201","136","295"
"Cheshire and Warrington","LSIP",201819,"Level 2","110","309","1803","284","431","669"
"Cheshire and Warrington","LSIP",201819,"Level 3","192","507","6884","624","3860","1701"
"Cheshire and Warrington","LSIP",201819,"Total","397","1092","9690","1109","4427","2665"
"Cheshire and Warrington","LSIP",201920,"All other qualifications","104","322","1082","217","152","287"
"Cheshire and Warrington","LSIP",201920,"Level 2","69","243","1201","196","238","455"
"Cheshire and Warrington","LSIP",201920,"Level 3","237","521","7005","550","3884","1813"
"Cheshire and Warrington","LSIP",201920,"Total","410","1086","9288","963","4274","2555"
"Cornwall and the Isles of Scilly","LSIP",201718,"All other qualifications","77","259","864","109","174","245"
"Cornwall and the Isles of Scilly","LSIP",201718,"Level 2","84","209","1214","197","320","404"
"Cornwall and the Isles of Scilly","LSIP",201718,"Level 3","141","441","3721","209","1820","1110"
"Cornwall and the Isles of Scilly","LSIP",201718,"Total","302","909","5799","515","2314","1759"
"Cornwall and the Isles of Scilly","LSIP",201819,"All other qualifications","79","258","769","87","156","189"
"Cornwall and the Isles of Scilly","LSIP",201819,"Level 2","70","245","1289","231","294","449"
"Cornwall and the Isles of Scilly","LSIP",201819,"Level 3","122","375","3353","188","1680","988"
"Cornwall and the Isles of Scilly","LSIP",201819,"Total","271","878","5411","506","2130","1626"
"Cornwall and the Isles of Scilly","LSIP",201920,"All other qualifications","90","255","781","98","109","229"
"Cornwall and the Isles of Scilly","LSIP",201920,"Level 2","53","226","965","171","154","361"
"Cornwall and the Isles of Scilly","LSIP",201920,"Level 3","152","453","3666","213","1693","1155"
"Cornwall and the Isles of Scilly","LSIP",201920,"Total","295","934","5412","482","1956","1745"
"Derbyshire and Nottinghamshire","LSIP",201718,"All other qualifications","147","349","1214","173","216","329"
"Derbyshire and Nottinghamshire","LSIP",201718,"Level 2","95","272","1367","231","326","443"
"Derbyshire and Nottinghamshire","LSIP",201718,"Level 3","160","342","4112","392","2296","922"
"Derbyshire and Nottinghamshire","LSIP",201718,"Total","402","963","6693","796","2838","1694"
"Derbyshire and Nottinghamshire","LSIP",201819,"All other qualifications","157","416","1564","216","381","394"
"Derbyshire and Nottinghamshire","LSIP",201819,"Level 2","115","354","1934","346","445","674"
"Derbyshire and Nottinghamshire","LSIP",201819,"Level 3","150","350","3931","306","2226","899"
"Derbyshire and Nottinghamshire","LSIP",201819,"Total","422","1120","7429","868","3052","1967"
"Derbyshire and Nottinghamshire","LSIP",201920,"All other qualifications","167","528","1789","201","458","435"
"Derbyshire and Nottinghamshire","LSIP",201920,"Level 2","99","414","2008","276","658","561"
"Derbyshire and Nottinghamshire","LSIP",201920,"Level 3","169","391","4582","344","2608","1070"
"Derbyshire and Nottinghamshire","LSIP",201920,"Total","435","1333","8379","821","3724","2066"
"Dorset","LSIP",201718,"All other qualifications","71","168","595","110","58","188"
"Dorset","LSIP",201718,"Level 2","55","88","630","167","54","266"
"Dorset","LSIP",201718,"Level 3","130","213","2261","136","1133","649"
"Dorset","LSIP",201718,"Total","256","469","3486","413","1245","1103"
"Dorset","LSIP",201819,"All other qualifications","68","166","591","66","101","190"
"Dorset","LSIP",201819,"Level 2","38","139","750","146","142","285"
"Dorset","LSIP",201819,"Level 3","127","194","1979","97","1004","557"
"Dorset","LSIP",201819,"Total","233","499","3320","309","1247","1032"
"Dorset","LSIP",201920,"All other qualifications","75","160","602","89","108","170"
"Dorset","LSIP",201920,"Level 2","28","118","609","127","120","216"
"Dorset","LSIP",201920,"Level 3","145","237","2456","140","1247","687"
"Dorset","LSIP",201920,"Total","248","515","3667","356","1475","1073"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"All other qualifications","114","206","662","94","41","207"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"Level 2","46","128","543","84","58","227"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"Level 3","159","337","3635","289","1738","1112"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"Total","319","671","4840","467","1837","1546"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"All other qualifications","84","150","541","84","60","163"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"Level 2","64","154","707","61","155","273"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"Level 3","70","189","1943","146","1089","449"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"Total","218","493","3191","291","1304","885"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"All other qualifications","103","196","635","78","45","213"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"Level 2","57","156","586","71","75","227"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"Level 3","94","241","2427","161","1245","686"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"Total","254","593","3648","310","1365","1126"
"Greater Lincolnshire","LSIP",201718,"All other qualifications","95","260","824","136","159","174"
"Greater Lincolnshire","LSIP",201718,"Level 2","50","178","926","162","265","271"
"Greater Lincolnshire","LSIP",201718,"Level 3","101","221","2564","265","1375","602"
"Greater Lincolnshire","LSIP",201718,"Total","246","659","4314","563","1799","1047"
"Greater Lincolnshire","LSIP",201819,"All other qualifications","75","254","729","112","108","180"
"Greater Lincolnshire","LSIP",201819,"Level 2","50","225","1041","168","292","306"
"Greater Lincolnshire","LSIP",201819,"Level 3","90","234","2375","250","1270","531"
"Greater Lincolnshire","LSIP",201819,"Total","215","713","4145","530","1670","1017"
"Greater Lincolnshire","LSIP",201920,"All other qualifications","82","316","911","112","170","231"
"Greater Lincolnshire","LSIP",201920,"Level 2","46","235","954","149","245","279"
"Greater Lincolnshire","LSIP",201920,"Level 3","82","291","2823","233","1604","613"
"Greater Lincolnshire","LSIP",201920,"Total","210","842","4688","494","2019","1123"
"Greater London","LSIP",201718,"All other qualifications","2211","2865","10482","874","2488","2044"
"Greater London","LSIP",201718,"Level 2","924","1597","8299","859","3006","1913"
"Greater London","LSIP",201718,"Level 3","2829","4625","57019","2226","38740","8599"
"Greater London","LSIP",201718,"Total","5964","9087","75800","3959","44234","12556"
"Greater London","LSIP",201819,"All other qualifications","2046","2973","10507","794","2550","2144"
"Greater London","LSIP",201819,"Level 2","1029","2162","11536","888","4953","2504"
"Greater London","LSIP",201819,"Level 3","2644","4432","55356","1990","37756","8534"
"Greater London","LSIP",201819,"Total","5719","9567","77399","3672","45259","13182"
"Greater London","LSIP",201920,"All other qualifications","1880","3189","10685","711","2762","2143"
"Greater London","LSIP",201920,"Level 2","793","1784","7938","681","2923","1757"
"Greater London","LSIP",201920,"Level 3","2689","4769","58297","1754","40106","8979"
"Greater London","LSIP",201920,"Total","5362","9742","76920","3146","45791","12879"
"Greater Manchester","LSIP",201718,"All other qualifications","617","1305","4266","633","753","958"
"Greater Manchester","LSIP",201718,"Level 2","323","866","4340","686","1135","1330"
"Greater Manchester","LSIP",201718,"Level 3","771","1659","19621","1573","11532","4086"
"Greater Manchester","LSIP",201718,"Total","1711","3830","28227","2892","13420","6374"
"Greater Manchester","LSIP",201819,"All other qualifications","547","1337","4332","597","881","970"
"Greater Manchester","LSIP",201819,"Level 2","325","1235","6221","697","2262","1702"
"Greater Manchester","LSIP",201819,"Level 3","629","1479","18287","1405","11160","3614"
"Greater Manchester","LSIP",201819,"Total","1501","4051","28840","2699","14303","6286"
"Greater Manchester","LSIP",201920,"All other qualifications","581","1377","4345","574","813","1001"
"Greater Manchester","LSIP",201920,"Level 2","244","921","3860","533","1085","1077"
"Greater Manchester","LSIP",201920,"Level 3","677","1827","19348","1263","11692","3889"
"Greater Manchester","LSIP",201920,"Total","1502","4125","27553","2370","13590","5967"
"Heart of the South-West","LSIP",201718,"All other qualifications","83","253","757","114","132","175"
"Heart of the South-West","LSIP",201718,"Level 2","81","199","1052","198","222","352"
"Heart of the South-West","LSIP",201718,"Level 3","117","266","2862","278","1453","748"
"Heart of the South-West","LSIP",201718,"Total","281","718","4671","590","1807","1275"
"Heart of the South-West","LSIP",201819,"All other qualifications","58","211","664","126","123","146"
"Heart of the South-West","LSIP",201819,"Level 2","59","239","1232","284","314","336"
"Heart of the South-West","LSIP",201819,"Level 3","94","228","2635","198","1454","661"
"Heart of the South-West","LSIP",201819,"Total","211","678","4531","608","1891","1143"
"Heart of the South-West","LSIP",201920,"All other qualifications","60","239","694","120","107","168"
"Heart of the South-West","LSIP",201920,"Level 2","44","199","931","217","202","269"
"Heart of the South-West","LSIP",201920,"Level 3","113","241","2578","231","1353","640"
"Heart of the South-West","LSIP",201920,"Total","217","679","4203","568","1662","1077"
"Hull and East Yorkshire","LSIP",201718,"All other qualifications","123","342","1039","194","90","290"
"Hull and East Yorkshire","LSIP",201718,"Level 2","92","269","1127","195","202","369"
"Hull and East Yorkshire","LSIP",201718,"Level 3","142","360","3970","364","2193","911"
"Hull and East Yorkshire","LSIP",201718,"Total","357","971","6136","753","2485","1570"
"Hull and East Yorkshire","LSIP",201819,"All other qualifications","88","304","892","159","121","220"
"Hull and East Yorkshire","LSIP",201819,"Level 2","79","347","1327","213","266","422"
"Hull and East Yorkshire","LSIP",201819,"Level 3","110","312","3493","328","1978","765"
"Hull and East Yorkshire","LSIP",201819,"Total","277","963","5712","700","2365","1407"
"Hull and East Yorkshire","LSIP",201920,"All other qualifications","95","325","958","163","163","212"
"Hull and East Yorkshire","LSIP",201920,"Level 2","45","267","992","156","226","298"
"Hull and East Yorkshire","LSIP",201920,"Level 3","133","365","3733","349","2050","836"
"Hull and East Yorkshire","LSIP",201920,"Total","273","957","5683","668","2439","1346"
"Kent and Medway","LSIP",201718,"All other qualifications","111","224","704","126","53","190"
"Kent and Medway","LSIP",201718,"Level 2","78","198","821","143","95","307"
"Kent and Medway","LSIP",201718,"Level 3","101","215","2344","193","1181","654"
"Kent and Medway","LSIP",201718,"Total","290","637","3869","462","1329","1151"
"Kent and Medway","LSIP",201819,"All other qualifications","108","266","768","102","82","210"
"Kent and Medway","LSIP",201819,"Level 2","89","243","1122","144","263","383"
"Kent and Medway","LSIP",201819,"Level 3","77","210","2174","198","1074","615"
"Kent and Medway","LSIP",201819,"Total","274","719","4064","444","1419","1208"
"Kent and Medway","LSIP",201920,"All other qualifications","89","188","627","84","94","172"
"Kent and Medway","LSIP",201920,"Level 2","76","192","946","146","271","261"
"Kent and Medway","LSIP",201920,"Level 3","58","143","1860","153","1043","463"
"Kent and Medway","LSIP",201920,"Total","223","523","3433","383","1408","896"
"Lancashire","LSIP",201718,"All other qualifications","81","249","735","126","167","112"
"Lancashire","LSIP",201718,"Level 2","47","131","616","75","183","180"
"Lancashire","LSIP",201718,"Level 3","101","297","2960","206","1770","586"
"Lancashire","LSIP",201718,"Total","229","677","4311","407","2120","878"
"Lancashire","LSIP",201819,"All other qualifications","89","226","692","87","158","132"
"Lancashire","LSIP",201819,"Level 2","48","226","984","131","315","264"
"Lancashire","LSIP",201819,"Level 3","69","245","2602","191","1539","558"
"Lancashire","LSIP",201819,"Total","206","697","4278","409","2012","954"
"Lancashire","LSIP",201920,"All other qualifications","96","288","760","116","99","161"
"Lancashire","LSIP",201920,"Level 2","37","188","619","101","110","183"
"Lancashire","LSIP",201920,"Level 3","90","282","2719","152","1587","608"
"Lancashire","LSIP",201920,"Total","223","758","4098","369","1796","952"
"Leicester and Leicestershire","LSIP",201718,"All other qualifications","107","195","711","82","121","206"
"Leicester and Leicestershire","LSIP",201718,"Level 2","44","135","734","123","201","231"
"Leicester and Leicestershire","LSIP",201718,"Level 3","104","252","2715","144","1751","464"
"Leicester and Leicestershire","LSIP",201718,"Total","255","582","4160","349","2073","901"
"Leicester and Leicestershire","LSIP",201819,"All other qualifications","96","176","691","70","137","212"
"Leicester and Leicestershire","LSIP",201819,"Level 2","74","187","1112","126","398","327"
"Leicester and Leicestershire","LSIP",201819,"Level 3","111","212","2524","134","1643","424"
"Leicester and Leicestershire","LSIP",201819,"Total","281","575","4327","330","2178","963"
"Leicester and Leicestershire","LSIP",201920,"All other qualifications","105","219","776","76","154","222"
"Leicester and Leicestershire","LSIP",201920,"Level 2","56","149","661","108","138","210"
"Leicester and Leicestershire","LSIP",201920,"Level 3","112","243","2670","116","1766","433"
"Leicester and Leicestershire","LSIP",201920,"Total","273","611","4107","300","2058","865"
"Liverpool City Region","LSIP",201718,"All other qualifications","252","567","1900","337","346","398"
"Liverpool City Region","LSIP",201718,"Level 2","145","482","2468","384","763","694"
"Liverpool City Region","LSIP",201718,"Level 3","406","847","10522","741","6337","2191"
"Liverpool City Region","LSIP",201718,"Total","803","1896","14890","1462","7446","3283"
"Liverpool City Region","LSIP",201819,"All other qualifications","214","635","1948","322","308","469"
"Liverpool City Region","LSIP",201819,"Level 2","147","621","2849","437","869","775"
"Liverpool City Region","LSIP",201819,"Level 3","268","844","9177","589","5638","1838"
"Liverpool City Region","LSIP",201819,"Total","629","2100","13974","1348","6815","3082"
"Liverpool City Region","LSIP",201920,"All other qualifications","235","697","2237","339","423","543"
"Liverpool City Region","LSIP",201920,"Level 2","134","569","2576","361","781","731"
"Liverpool City Region","LSIP",201920,"Level 3","331","867","9350","592","5608","1952"
"Liverpool City Region","LSIP",201920,"Total","700","2133","14163","1292","6812","3226"
"North East","LSIP",201718,"All other qualifications","261","583","1823","423","217","339"
"North East","LSIP",201718,"Level 2","103","350","1521","351","305","412"
"North East","LSIP",201718,"Level 3","265","577","6288","771","3540","1135"
"North East","LSIP",201718,"Total","629","1510","9632","1545","4062","1886"
"North East","LSIP",201819,"All other qualifications","269","684","2024","382","302","387"
"North East","LSIP",201819,"Level 2","124","635","2473","417","670","627"
"North East","LSIP",201819,"Level 3","174","540","6105","731","3574","1086"
"North East","LSIP",201819,"Total","567","1859","10602","1530","4546","2100"
"North East","LSIP",201920,"All other qualifications","240","730","1997","355","292","380"
"North East","LSIP",201920,"Level 2","84","504","1735","365","354","428"
"North East","LSIP",201920,"Level 3","178","697","6551","715","3773","1188"
"North East","LSIP",201920,"Total","502","1931","10283","1435","4419","1996"
"North of Tyne","LSIP",201718,"All other qualifications","270","677","1766","263","214","342"
"North of Tyne","LSIP",201718,"Level 2","91","283","1195","197","249","375"
"North of Tyne","LSIP",201718,"Level 3","206","551","6347","679","3687","1224"
"North of Tyne","LSIP",201718,"Total","567","1511","9308","1139","4150","1941"
"North of Tyne","LSIP",201819,"All other qualifications","244","635","1801","233","311","378"
"North of Tyne","LSIP",201819,"Level 2","93","437","1762","261","457","514"
"North of Tyne","LSIP",201819,"Level 3","164","455","5312","478","3134","1081"
"North of Tyne","LSIP",201819,"Total","501","1527","8875","972","3902","1973"
"North of Tyne","LSIP",201920,"All other qualifications","209","603","1761","225","322","402"
"North of Tyne","LSIP",201920,"Level 2","86","411","1679","236","507","439"
"North of Tyne","LSIP",201920,"Level 3","196","585","5836","472","3394","1189"
"North of Tyne","LSIP",201920,"Total","491","1599","9276","933","4223","2030"
"Solent","LSIP",201718,"All other qualifications","119","262","831","124","129","197"
"Solent","LSIP",201718,"Level 2","77","184","927","156","156","354"
"Solent","LSIP",201718,"Level 3","112","265","2646","229","1241","799"
"Solent","LSIP",201718,"Total","308","711","4404","509","1526","1350"
"Solent","LSIP",201819,"All other qualifications","116","273","829","106","108","226"
"Solent","LSIP",201819,"Level 2","84","230","1118","152","236","416"
"Solent","LSIP",201819,"Level 3","143","225","2505","157","1238","742"
"Solent","LSIP",201819,"Total","343","728","4452","415","1582","1384"
"Solent","LSIP",201920,"All other qualifications","117","287","904","123","160","217"
"Solent","LSIP",201920,"Level 2","63","209","904","162","183","287"
"Solent","LSIP",201920,"Level 3","130","282","2537","188","1162","775"
"Solent","LSIP",201920,"Total","310","778","4345","473","1505","1279"
"South East Midlands","LSIP",201718,"All other qualifications","183","309","1301","172","267","370"
"South East Midlands","LSIP",201718,"Level 2","85","220","1451","170","483","493"
"South East Midlands","LSIP",201718,"Level 3","238","477","6940","520","3992","1713"
"South East Midlands","LSIP",201718,"Total","506","1006","9692","862","4742","2576"
"South East Midlands","LSIP",201819,"All other qualifications","163","382","1508","179","312","472"
"South East Midlands","LSIP",201819,"Level 2","89","281","1828","187","654","617"
"South East Midlands","LSIP",201819,"Level 3","228","502","6580","450","3755","1645"
"South East Midlands","LSIP",201819,"Total","480","1165","9916","816","4721","2734"
"South East Midlands","LSIP",201920,"All other qualifications","167","429","1513","150","315","452"
"South East Midlands","LSIP",201920,"Level 2","111","333","1866","157","632","633"
"South East Midlands","LSIP",201920,"Level 3","216","599","7038","391","4029","1803"
"South East Midlands","LSIP",201920,"Total","494","1361","10417","698","4976","2888"
"South Yorkshire","LSIP",201718,"All other qualifications","292","621","2095","386","310","486"
"South Yorkshire","LSIP",201718,"Level 2","165","482","2376","420","525","784"
"South Yorkshire","LSIP",201718,"Level 3","325","705","8349","754","4676","1889"
"South Yorkshire","LSIP",201718,"Total","782","1808","12820","1560","5511","3159"
"South Yorkshire","LSIP",201819,"All other qualifications","246","665","2123","332","330","550"
"South Yorkshire","LSIP",201819,"Level 2","156","691","3128","427","758","1096"
"South Yorkshire","LSIP",201819,"Level 3","186","630","7449","655","4325","1653"
"South Yorkshire","LSIP",201819,"Total","588","1986","12700","1414","5413","3299"
"South Yorkshire","LSIP",201920,"All other qualifications","242","704","2241","358","383","554"
"South Yorkshire","LSIP",201920,"Level 2","119","500","2029","354","435","621"
"South Yorkshire","LSIP",201920,"Level 3","215","699","7856","593","4709","1640"
"South Yorkshire","LSIP",201920,"Total","576","1903","12126","1305","5527","2815"
"Stoke-on-Trent and Staffordshire","LSIP",201718,"All other qualifications","56","159","429","38","79","97"
"Stoke-on-Trent and Staffordshire","LSIP",201718,"Level 2","14","51","333","65","99","104"
"Stoke-on-Trent and Staffordshire","LSIP",201718,"Level 3","32","96","1173","91","706","248"
"Stoke-on-Trent and Staffordshire","LSIP",201718,"Total","102","306","1935","194","884","449"
"Stoke-on-Trent and Staffordshire","LSIP",201819,"All other qualifications","48","141","414","60","61","104"
"Stoke-on-Trent and Staffordshire","LSIP",201819,"Level 2","18","80","403","61","143","101"
"Stoke-on-Trent and Staffordshire","LSIP",201819,"Level 3","31","80","1124","65","708","240"
"Stoke-on-Trent and Staffordshire","LSIP",201819,"Total","97","301","1941","186","912","445"
"Stoke-on-Trent and Staffordshire","LSIP",201920,"All other qualifications","40","135","387","49","71","92"
"Stoke-on-Trent and Staffordshire","LSIP",201920,"Level 2","26","86","371","49","107","103"
"Stoke-on-Trent and Staffordshire","LSIP",201920,"Level 3","32","106","1240","54","828","220"
"Stoke-on-Trent and Staffordshire","LSIP",201920,"Total","98","327","1998","152","1006","415"
"Swindon and Wiltshire","LSIP",201718,"All other qualifications","147","299","1202","147","179","430"
"Swindon and Wiltshire","LSIP",201718,"Level 2","55","150","1122","184","267","466"
"Swindon and Wiltshire","LSIP",201718,"Level 3","141","354","4439","324","2194","1426"
"Swindon and Wiltshire","LSIP",201718,"Total","343","803","6763","655","2640","2322"
"Swindon and Wiltshire","LSIP",201819,"All other qualifications","93","309","1174","178","202","392"
"Swindon and Wiltshire","LSIP",201819,"Level 2","65","173","1264","208","328","490"
"Swindon and Wiltshire","LSIP",201819,"Level 3","104","328","3963","268","1968","1295"
"Swindon and Wiltshire","LSIP",201819,"Total","262","810","6401","654","2498","2177"
"Swindon and Wiltshire","LSIP",201920,"All other qualifications","122","287","1127","135","189","394"
"Swindon and Wiltshire","LSIP",201920,"Level 2","52","204","1092","133","291","412"
"Swindon and Wiltshire","LSIP",201920,"Level 3","127","342","3967","218","2024","1256"
"Swindon and Wiltshire","LSIP",201920,"Total","301","833","6186","486","2504","2062"
"Tees Valley","LSIP",201718,"All other qualifications","145","382","1050","221","114","188"
"Tees Valley","LSIP",201718,"Level 2","80","268","1156","218","302","288"
"Tees Valley","LSIP",201718,"Level 3","181","450","5301","548","3179","943"
"Tees Valley","LSIP",201718,"Total","406","1100","7507","987","3595","1419"
"Tees Valley","LSIP",201819,"All other qualifications","129","428","1119","200","135","227"
"Tees Valley","LSIP",201819,"Level 2","73","449","1923","303","639","459"
"Tees Valley","LSIP",201819,"Level 3","129","418","4563","409","2810","797"
"Tees Valley","LSIP",201819,"Total","331","1295","7605","912","3584","1483"
"Tees Valley","LSIP",201920,"All other qualifications","90","429","1281","278","214","270"
"Tees Valley","LSIP",201920,"Level 2","37","312","1159","219","361","230"
"Tees Valley","LSIP",201920,"Level 3","108","442","4656","397","2930","779"
"Tees Valley","LSIP",201920,"Total","235","1183","7096","894","3505","1279"
"Thames Valley Berkshire","LSIP",201718,"All other qualifications","119","145","731","110","112","245"
"Thames Valley Berkshire","LSIP",201718,"Level 2","75","160","928","157","203","333"
"Thames Valley Berkshire","LSIP",201718,"Level 3","185","405","5976","406","3495","1485"
"Thames Valley Berkshire","LSIP",201718,"Total","379","710","7635","673","3810","2063"
"Thames Valley Berkshire","LSIP",201819,"All other qualifications","112","199","774","99","135","229"
"Thames Valley Berkshire","LSIP",201819,"Level 2","96","174","1084","147","229","438"
"Thames Valley Berkshire","LSIP",201819,"Level 3","230","426","6171","370","3661","1484"
"Thames Valley Berkshire","LSIP",201819,"Total","438","799","8029","616","4025","2151"
"Thames Valley Berkshire","LSIP",201920,"All other qualifications","121","208","848","107","157","255"
"Thames Valley Berkshire","LSIP",201920,"Level 2","73","144","806","93","210","286"
"Thames Valley Berkshire","LSIP",201920,"Level 3","201","428","6345","330","3747","1639"
"Thames Valley Berkshire","LSIP",201920,"Total","395","780","7999","530","4114","2180"
"The Marches","LSIP",201718,"All other qualifications","84","178","659","101","111","185"
"The Marches","LSIP",201718,"Level 2","84","199","955","177","138","357"
"The Marches","LSIP",201718,"Level 3","193","362","4743","366","2476","1346"
"The Marches","LSIP",201718,"Total","361","739","6357","644","2725","1888"
"The Marches","LSIP",201819,"All other qualifications","77","244","793","127","121","224"
"The Marches","LSIP",201819,"Level 2","102","294","1425","245","218","566"
"The Marches","LSIP",201819,"Level 3","174","365","4450","339","2256","1316"
"The Marches","LSIP",201819,"Total","353","903","6668","711","2595","2106"
"The Marches","LSIP",201920,"All other qualifications","72","215","809","144","138","240"
"The Marches","LSIP",201920,"Level 2","68","230","1054","170","236","350"
"The Marches","LSIP",201920,"Level 3","174","423","4778","338","2511","1332"
"The Marches","LSIP",201920,"Total","314","868","6641","652","2885","1922"
"West Midlands and Warwickshire","LSIP",201718,"All other qualifications","785","1479","4984","691","927","1102"
"West Midlands and Warwickshire","LSIP",201718,"Level 2","414","948","4715","719","1398","1236"
"West Midlands and Warwickshire","LSIP",201718,"Level 3","1017","2038","22065","1487","13602","3921"
"West Midlands and Warwickshire","LSIP",201718,"Total","2216","4465","31764","2897","15927","6259"
"West Midlands and Warwickshire","LSIP",201819,"All other qualifications","717","1607","4917","620","961","1012"
"West Midlands and Warwickshire","LSIP",201819,"Level 2","447","1305","6290","785","2093","1660"
"West Midlands and Warwickshire","LSIP",201819,"Level 3","797","1930","20348","1491","12796","3334"
"West Midlands and Warwickshire","LSIP",201819,"Total","1961","4842","31555","2896","15850","6006"
"West Midlands and Warwickshire","LSIP",201920,"All other qualifications","804","1685","5270","537","1149","1095"
"West Midlands and Warwickshire","LSIP",201920,"Level 2","309","1199","5166","645","1777","1236"
"West Midlands and Warwickshire","LSIP",201920,"Level 3","817","2130","22015","1265","14000","3803"
"West Midlands and Warwickshire","LSIP",201920,"Total","1930","5014","32451","2447","16926","6134"
"West of England and North Somerset","LSIP",201718,"All other qualifications","257","496","1982","369","271","589"
"West of England and North Somerset","LSIP",201718,"Level 2","121","299","1874","312","383","759"
"West of England and North Somerset","LSIP",201718,"Level 3","227","609","7387","611","3567","2373"
