"Sector","SOC","SectorSocYear","SOCcode","occYear"
"STEM","SOC2020","STEM SOC2020",5223,"Metal working production and maintenance fitters SOC2020"
"STEM","SOC2020","STEM SOC2020",5224,"Precision instrument makers and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5225,"Air-conditioning and refrigeration installers and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5231,"Vehicle technicians, mechanics and electricians SOC2020"
"STEM","SOC2020","STEM SOC2020",5232,"Vehicle body builders and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5233,"Vehicle paint technicians SOC2020"
"STEM","SOC2020","STEM SOC2020",5234,"Aircraft maintenance and related trades SOC2020"
"STEM","SOC2020","STEM SOC2020",5235,"Boat and ship builders and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5236,"Rail and rolling stock builders and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5241,"Electricians and electrical fitters SOC2020"
"STEM","SOC2020","STEM SOC2020",5242,"Telecoms and related network installers and repairers SOC2020"
"Future Telecommunications","SOC2020","Future Telecommunications SOC2020",5242,"Telecoms and related network installers and repairers SOC2020"
"Critical Technologies","SOC2020","Critical Technologies SOC2020",5242,"Telecoms and related network installers and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5243,"TV, video and audio servicers and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5244,"Computer system and equipment installers and servicers SOC2020"
"STEM","SOC2020","STEM SOC2020",5245,"Security system installers and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5246,"Electrical service and maintenance mechanics and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5249,"Electrical and electronic trades n.e.c. SOC2020"
"STEM","SOC2020","STEM SOC2020",5250,"Skilled metal, electrical and electronic trades supervisors SOC2020"
"STEM","SOC2020","STEM SOC2020",5311,"Steel erectors SOC2020"
"STEM","SOC2020","STEM SOC2020",5312,"Stonemasons and related trades SOC2020"
"STEM","SOC2020","STEM SOC2020",5313,"Bricklayers SOC2020"
"STEM","SOC2020","STEM SOC2020",5314,"Roofers, roof tilers and slaters SOC2020"
"STEM","SOC2020","STEM SOC2020",5315,"Plumbers and heating and ventilating installers and repairers SOC2020"
"STEM","SOC2020","STEM SOC2020",5316,"Carpenters and joiners SOC2020"
"STEM","SOC2020","STEM SOC2020",5317,"Glaziers, window fabricators and fitters SOC2020"
"STEM","SOC2020","STEM SOC2020",5319,"Construction and building trades n.e.c. SOC2020"
"STEM","SOC2020","STEM SOC2020",5330,"Construction and building trades supervisors SOC2020"
"STEM","SOC2020","STEM SOC2020",5421,"Pre-press technicians SOC2020"
"STEM","SOC2020","STEM SOC2020",5422,"Printers SOC2020"
"STEM","SOC2020","STEM SOC2020",8113,"Chemical and related process operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8114,"Plastics process operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8115,"Metal making and treating process operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8119,"Process operatives n.e.c. SOC2020"
"Semiconductors","SOC2020","Semiconductors SOC2020",8119,"Process operatives n.e.c. SOC2020"
"Critical Technologies","SOC2020","Critical Technologies SOC2020",8119,"Process operatives n.e.c. SOC2020"
"STEM","SOC2020","STEM SOC2020",8120,"Metal working machine operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8131,"Paper and wood machine operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8132,"Mining and quarry workers and related operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8133,"Energy plant operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8134,"Water and sewerage plant operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8139,"Plant and machine operatives n.e.c. SOC2020"
"Semiconductors","SOC2020","Semiconductors SOC2020",8139,"Plant and machine operatives n.e.c. SOC2020"
"Critical Technologies","SOC2020","Critical Technologies SOC2020",8139,"Plant and machine operatives n.e.c. SOC2020"
"STEM","SOC2020","STEM SOC2020",8141,"Assemblers (electrical and electronic products) SOC2020"
"STEM","SOC2020","STEM SOC2020",8142,"Assemblers (vehicles and metal goods) SOC2020"
"STEM","SOC2020","STEM SOC2020",8143,"Routine inspectors and testers SOC2020"
"Semiconductors","SOC2020","Semiconductors SOC2020",8143,"Routine inspectors and testers SOC2020"
"Critical Technologies","SOC2020","Critical Technologies SOC2020",8143,"Routine inspectors and testers SOC2020"
"STEM","SOC2020","STEM SOC2020",8145,"Tyre, exhaust and windscreen fitters SOC2020"
"STEM","SOC2020","STEM SOC2020",8151,"Scaffolders, stagers and riggers SOC2020"
"STEM","SOC2020","STEM SOC2020",8152,"Road construction operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8153,"Rail construction and maintenance operatives SOC2020"
"STEM","SOC2020","STEM SOC2020",8159,"Construction operatives n.e.c. SOC2020"
"STEM","SOC2020","STEM SOC2020",8160,"Production, factory and assembly supervisors SOC2020"
"STEM","SOC2020","STEM SOC2020",8221,"Crane drivers SOC2020"
"STEM","SOC2020","STEM SOC2020",8232,"Marine and waterways transport operatives SOC2020"
