"subgroup","STEM","pathway","SubjectHEFE","value","englandPer","ids","label","parents","colors","labelPer","idsPer"
"Critical Technologies SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0625039064941559,0.0287368954584715,"STEM - Apprenticeship - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Apprenticeship","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>6%","STEM - Apprenticeship - Engineering and Manufacturing Technologies<br>6%"
"Critical Technologies SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0306837359153129,0.00730544249000512,"STEM - Apprenticeship - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Apprenticeship","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>3%","STEM - Apprenticeship - Information and Communication Technology (ICT)<br>3%"
"Critical Technologies SOC2010","STEM","Further Education","Engineering and Manufacturing Technologies",0.0460256038729693,0.0257306735488676,"STEM - Further Education - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Further Education","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>5%","STEM - Further Education - Engineering and Manufacturing Technologies<br>5%"
"Critical Technologies SOC2010","STEM","Higher Education","Biological sciences",0.054014739557586,0.0398495725346394,"STEM - Higher Education - Biological sciences","Biological sciences","STEM - Higher Education","#C6DFF6","Biological sciences<br>5%","STEM - Higher Education - Biological sciences<br>5%"
"Critical Technologies SOC2010","STEM","Higher Education","Computer science",0.121501912051321,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>12%","STEM - Higher Education - Computer science<br>12%"
"Critical Technologies SOC2010","STEM","Higher Education","Engineering & technology",0.113830978072493,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>11%","STEM - Higher Education - Engineering & technology<br>11%"
"Critical Technologies SOC2010","STEM","Higher Education","Physical sciences",0.0647370006079925,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>6%","STEM - Higher Education - Physical sciences<br>6%"
"Design and development engineers","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0119047619047619,0.0303208188301982,"Not STEM - Apprenticeship - Business, Administration, Finance and Law","Business, Administration, Finance and Law","Not STEM - Apprenticeship","#BFBFBF","Business, <br> Administration, <br> Finance and Law<br>1%","Not STEM - Apprenticeship - Business, Administration, Finance and Law<br>1%"
"Design and development engineers","Not STEM","Higher Education","Business & administrative studies",0.0119047619047619,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>1%","Not STEM - Higher Education - Business & administrative studies<br>1%"
"Design and development engineers","Not STEM","Higher Education","Creative arts & design",0.0714285714285714,0.0440951336702026,"Not STEM - Higher Education - Creative arts & design","Creative arts & design","Not STEM - Higher Education","#BFBFBF","Creative arts & <br> design<br>7%","Not STEM - Higher Education - Creative arts & design<br>7%"
"Design and development engineers","Not STEM","Higher Education","Education",0.0119047619047619,0.0370770601347822,"Not STEM - Higher Education - Education","Education","Not STEM - Higher Education","#BFBFBF","Education<br>1%","Not STEM - Higher Education - Education<br>1%"
"Design and development engineers","Not STEM","Higher Education","Languages",0.0119047619047619,0.0213797330216345,"Not STEM - Higher Education - Languages","Languages","Not STEM - Higher Education","#BFBFBF","Languages<br>1%","Not STEM - Higher Education - Languages<br>1%"
"Design and development engineers","Not STEM","Higher Education","Social studies",0.0119047619047619,0.0403877832313588,"Not STEM - Higher Education - Social studies","Social studies","Not STEM - Higher Education","#BFBFBF","Social studies<br>1%","Not STEM - Higher Education - Social studies<br>1%"
"Design and development engineers","STEM","Apprenticeship","Construction, Planning and the Built Environment",0.0119047619047619,0.0076610171244744,"STEM - Apprenticeship - Construction, Planning and the Built Environment","Construction, Planning and the Built Environment","STEM - Apprenticeship","#C6DFF6","Construction, <br> Planning and the <br> Built Environment<br>1%","STEM - Apprenticeship - Construction, Planning and the Built Environment<br>1%"
"Design and development engineers","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0714285714285714,0.0287368954584715,"STEM - Apprenticeship - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Apprenticeship","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>7%","STEM - Apprenticeship - Engineering and Manufacturing Technologies<br>7%"
"Design and development engineers","STEM","Further Education","Construction, Planning and the Built Environment",0.0476190476190476,0.0200738043641291,"STEM - Further Education - Construction, Planning and the Built Environment","Construction, Planning and the Built Environment","STEM - Further Education","#C6DFF6","Construction, <br> Planning and the <br> Built Environment<br>5%","STEM - Further Education - Construction, Planning and the Built Environment<br>5%"
"Design and development engineers","STEM","Further Education","Engineering and Manufacturing Technologies",0.0952380952380952,0.0257306735488676,"STEM - Further Education - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Further Education","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>10%","STEM - Further Education - Engineering and Manufacturing Technologies<br>10%"
"Design and development engineers","STEM","Higher Education","Architecture, building & planning",0.0238095238095238,0.0085897134197746,"STEM - Higher Education - Architecture, building & planning","Architecture, building & planning","STEM - Higher Education","#C6DFF6","Architecture, <br> building & planning<br>2%","STEM - Higher Education - Architecture, building & planning<br>2%"
"Design and development engineers","STEM","Higher Education","Computer science",0.0357142857142857,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>4%","STEM - Higher Education - Computer science<br>4%"
"Design and development engineers","STEM","Higher Education","Engineering & technology",0.5,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>50%","STEM - Higher Education - Engineering & technology<br>50%"
"Design and development engineers","STEM","Higher Education","Physical sciences",0.0238095238095238,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>2%","STEM - Higher Education - Physical sciences<br>2%"
"Digital and Computing SOC2010","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0341413451689997,0.0303208188301982,"Not STEM - Apprenticeship - Business, Administration, Finance and Law","Business, Administration, Finance and Law","Not STEM - Apprenticeship","#BFBFBF","Business, <br> Administration, <br> Finance and Law<br>3%","Not STEM - Apprenticeship - Business, Administration, Finance and Law<br>3%"
"Digital and Computing SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0627701121668096,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>6%","Not STEM - Higher Education - Business & administrative studies<br>6%"
"Digital and Computing SOC2010","Not STEM","Higher Education","Creative arts & design",0.0358067766406582,0.0440951336702026,"Not STEM - Higher Education - Creative arts & design","Creative arts & design","Not STEM - Higher Education","#BFBFBF","Creative arts & <br> design<br>4%","Not STEM - Higher Education - Creative arts & design<br>4%"
"Digital and Computing SOC2010","Not STEM","Higher Education","Social studies",0.0506874068399271,0.0403877832313588,"Not STEM - Higher Education - Social studies","Social studies","Not STEM - Higher Education","#BFBFBF","Social studies<br>5%","Not STEM - Higher Education - Social studies<br>5%"
"Digital and Computing SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0807734263754382,0.00730544249000512,"STEM - Apprenticeship - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Apprenticeship","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>8%","STEM - Apprenticeship - Information and Communication Technology (ICT)<br>8%"
"Digital and Computing SOC2010","STEM","Further Education","Information and Communication Technology (ICT)",0.0482975126780971,0.0223688770047944,"STEM - Further Education - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Further Education","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>5%","STEM - Further Education - Information and Communication Technology (ICT)<br>5%"
"Digital and Computing SOC2010","STEM","Higher Education","Biological sciences",0.0320429015147099,0.0398495725346394,"STEM - Higher Education - Biological sciences","Biological sciences","STEM - Higher Education","#C6DFF6","Biological sciences<br>3%","STEM - Higher Education - Biological sciences<br>3%"
"Digital and Computing SOC2010","STEM","Higher Education","Computer science",0.220661342837396,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>22%","STEM - Higher Education - Computer science<br>22%"
"Digital and Computing SOC2010","STEM","Higher Education","Engineering & technology",0.0512120177534995,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>5%","STEM - Higher Education - Engineering & technology<br>5%"
"Digital and Computing SOC2010","STEM","Higher Education","Physical sciences",0.0498463639467395,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>5%","STEM - Higher Education - Physical sciences<br>5%"
"Engineering Biology SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0357934850474735,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>4%","Not STEM - Higher Education - Business & administrative studies<br>4%"
"Engineering Biology SOC2010","Not STEM","Higher Education","Creative arts & design",0.0342648610243934,0.0440951336702026,"Not STEM - Higher Education - Creative arts & design","Creative arts & design","Not STEM - Higher Education","#BFBFBF","Creative arts & <br> design<br>3%","Not STEM - Higher Education - Creative arts & design<br>3%"
"Engineering Biology SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0828901758994122,0.0287368954584715,"STEM - Apprenticeship - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Apprenticeship","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>8%","STEM - Apprenticeship - Engineering and Manufacturing Technologies<br>8%"
"Engineering Biology SOC2010","STEM","Further Education","Engineering and Manufacturing Technologies",0.049518806381467,0.0257306735488676,"STEM - Further Education - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Further Education","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>5%","STEM - Further Education - Engineering and Manufacturing Technologies<br>5%"
"Engineering Biology SOC2010","STEM","Further Education","Information and Communication Technology (ICT)",0.0226064116089306,0.0223688770047944,"STEM - Further Education - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Further Education","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>2%","STEM - Further Education - Information and Communication Technology (ICT)<br>2%"
"Engineering Biology SOC2010","STEM","Higher Education","Biological sciences",0.0653755893814455,0.0398495725346394,"STEM - Higher Education - Biological sciences","Biological sciences","STEM - Higher Education","#C6DFF6","Biological sciences<br>7%","STEM - Higher Education - Biological sciences<br>7%"
"Engineering Biology SOC2010","STEM","Higher Education","Computer science",0.155908885396258,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>16%","STEM - Higher Education - Computer science<br>16%"
"Engineering Biology SOC2010","STEM","Higher Education","Engineering & technology",0.147835166964497,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>15%","STEM - Higher Education - Engineering & technology<br>15%"
"Engineering Biology SOC2010","STEM","Higher Education","Physical sciences",0.0673563416367042,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>7%","STEM - Higher Education - Physical sciences<br>7%"
"Engineering Biology SOC2010","STEM","Higher Education","Subjects allied to medicine",0.0308523693672358,0.0348059079695266,"STEM - Higher Education - Subjects allied to medicine","Subjects allied to medicine","STEM - Higher Education","#C6DFF6","Subjects allied to <br> medicine<br>3%","STEM - Higher Education - Subjects allied to medicine<br>3%"
"Engineering technicians","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0333333333333333,0.0303208188301982,"Not STEM - Apprenticeship - Business, Administration, Finance and Law","Business, Administration, Finance and Law","Not STEM - Apprenticeship","#BFBFBF","Business, <br> Administration, <br> Finance and Law<br>3%","Not STEM - Apprenticeship - Business, Administration, Finance and Law<br>3%"
"Engineering technicians","Not STEM","Further Education","Health, Public Services and Care",0.0333333333333333,0.0570535663489338,"Not STEM - Further Education - Health, Public Services and Care","Health, Public Services and Care","Not STEM - Further Education","#BFBFBF","Health, Public <br> Services and Care<br>3%","Not STEM - Further Education - Health, Public Services and Care<br>3%"
"Engineering technicians","Not STEM","Further Education","Leisure, Travel and Tourism",0.0555555555555556,0.0345877144438296,"Not STEM - Further Education - Leisure, Travel and Tourism","Leisure, Travel and Tourism","Not STEM - Further Education","#BFBFBF","Leisure, Travel and <br> Tourism<br>6%","Not STEM - Further Education - Leisure, Travel and Tourism<br>6%"
"Engineering technicians","Not STEM","Higher Education","Creative arts & design",0.0333333333333333,0.0440951336702026,"Not STEM - Higher Education - Creative arts & design","Creative arts & design","Not STEM - Higher Education","#BFBFBF","Creative arts & <br> design<br>3%","Not STEM - Higher Education - Creative arts & design<br>3%"
"Engineering technicians","STEM","Apprenticeship","Construction, Planning and the Built Environment",0.0333333333333333,0.0076610171244744,"STEM - Apprenticeship - Construction, Planning and the Built Environment","Construction, Planning and the Built Environment","STEM - Apprenticeship","#C6DFF6","Construction, <br> Planning and the <br> Built Environment<br>3%","STEM - Apprenticeship - Construction, Planning and the Built Environment<br>3%"
"Engineering technicians","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.155555555555556,0.0287368954584715,"STEM - Apprenticeship - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Apprenticeship","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>16%","STEM - Apprenticeship - Engineering and Manufacturing Technologies<br>16%"
"Engineering technicians","STEM","Further Education","Engineering and Manufacturing Technologies",0.144444444444444,0.0257306735488676,"STEM - Further Education - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Further Education","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>14%","STEM - Further Education - Engineering and Manufacturing Technologies<br>14%"
"Engineering technicians","STEM","Higher Education","Biological sciences",0.0333333333333333,0.0398495725346394,"STEM - Higher Education - Biological sciences","Biological sciences","STEM - Higher Education","#C6DFF6","Biological sciences<br>3%","STEM - Higher Education - Biological sciences<br>3%"
"Engineering technicians","STEM","Higher Education","Computer science",0.0333333333333333,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>3%","STEM - Higher Education - Computer science<br>3%"
"Engineering technicians","STEM","Higher Education","Engineering & technology",0.155555555555556,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>16%","STEM - Higher Education - Engineering & technology<br>16%"
"Future Telecommunications SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0545421674136241,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>5%","Not STEM - Higher Education - Business & administrative studies<br>5%"
"Future Telecommunications SOC2010","Not STEM","Higher Education","Creative arts & design",0.0344076199175968,0.0440951336702026,"Not STEM - Higher Education - Creative arts & design","Creative arts & design","Not STEM - Higher Education","#BFBFBF","Creative arts & <br> design<br>3%","Not STEM - Higher Education - Creative arts & design<br>3%"
"Future Telecommunications SOC2010","Not STEM","Higher Education","Social studies",0.0512498453750488,0.0403877832313588,"Not STEM - Higher Education - Social studies","Social studies","Not STEM - Higher Education","#BFBFBF","Social studies<br>5%","Not STEM - Higher Education - Social studies<br>5%"
"Future Telecommunications SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0475769080718982,0.0287368954584715,"STEM - Apprenticeship - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Apprenticeship","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>5%","STEM - Apprenticeship - Engineering and Manufacturing Technologies<br>5%"
"Future Telecommunications SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0380615264575186,0.00730544249000512,"STEM - Apprenticeship - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Apprenticeship","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>4%","STEM - Apprenticeship - Information and Communication Technology (ICT)<br>4%"
"Future Telecommunications SOC2010","STEM","Further Education","Engineering and Manufacturing Technologies",0.0418676791032704,0.0257306735488676,"STEM - Further Education - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Further Education","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>4%","STEM - Further Education - Engineering and Manufacturing Technologies<br>4%"
"Future Telecommunications SOC2010","STEM","Higher Education","Biological sciences",0.0358349271597537,0.0398495725346394,"STEM - Higher Education - Biological sciences","Biological sciences","STEM - Higher Education","#C6DFF6","Biological sciences<br>4%","STEM - Higher Education - Biological sciences<br>4%"
"Future Telecommunications SOC2010","STEM","Higher Education","Computer science",0.170477577003226,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>17%","STEM - Higher Education - Computer science<br>17%"
"Future Telecommunications SOC2010","STEM","Higher Education","Engineering & technology",0.102128590867137,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>10%","STEM - Higher Education - Engineering & technology<br>10%"
"Future Telecommunications SOC2010","STEM","Higher Education","Physical sciences",0.0483952308907349,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>5%","STEM - Higher Education - Physical sciences<br>5%"
"IT business analysts, architects and systems designers","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0384664700602641,0.0303208188301982,"Not STEM - Apprenticeship - Business, Administration, Finance and Law","Business, Administration, Finance and Law","Not STEM - Apprenticeship","#BFBFBF","Business, <br> Administration, <br> Finance and Law<br>4%","Not STEM - Apprenticeship - Business, Administration, Finance and Law<br>4%"
"IT business analysts, architects and systems designers","Not STEM","Higher Education","Historical & philosophical studies",0.0384664700602641,0.0174874837728667,"Not STEM - Higher Education - Historical & philosophical studies","Historical & philosophical studies","Not STEM - Higher Education","#BFBFBF","Historical & <br> philosophical <br> studies<br>4%","Not STEM - Higher Education - Historical & philosophical studies<br>4%"
"IT business analysts, architects and systems designers","Not STEM","Higher Education","Law",0.0384664700602641,0.0158385872179323,"Not STEM - Higher Education - Law","Law","Not STEM - Higher Education","#BFBFBF","Law<br>4%","Not STEM - Higher Education - Law<br>4%"
"IT business analysts, architects and systems designers","Not STEM","Higher Education","Mass communications & documentation",0.0448775484036415,0.0140513398052227,"Not STEM - Higher Education - Mass communications & documentation","Mass communications & documentation","Not STEM - Higher Education","#BFBFBF","Mass communications <br> & documentation<br>4%","Not STEM - Higher Education - Mass communications & documentation<br>4%"
"IT business analysts, architects and systems designers","Not STEM","Higher Education","Social studies",0.0448775484036415,0.0403877832313588,"Not STEM - Higher Education - Social studies","Social studies","Not STEM - Higher Education","#BFBFBF","Social studies<br>4%","Not STEM - Higher Education - Social studies<br>4%"
"IT business analysts, architects and systems designers","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.115399410180792,0.00730544249000512,"STEM - Apprenticeship - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Apprenticeship","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>12%","STEM - Apprenticeship - Information and Communication Technology (ICT)<br>12%"
"IT business analysts, architects and systems designers","STEM","Further Education","Information and Communication Technology (ICT)",0.0384664700602641,0.0223688770047944,"STEM - Further Education - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Further Education","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>4%","STEM - Further Education - Information and Communication Technology (ICT)<br>4%"
"IT business analysts, architects and systems designers","STEM","Higher Education","Computer science",0.205154506988075,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>21%","STEM - Higher Education - Computer science<br>21%"
"IT business analysts, architects and systems designers","STEM","Higher Education","Engineering & technology",0.102577253494038,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>10%","STEM - Higher Education - Engineering & technology<br>10%"
"IT business analysts, architects and systems designers","STEM","Higher Education","Physical sciences",0.0769329401205283,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>8%","STEM - Higher Education - Physical sciences<br>8%"
"Programmers and software development professionals","Not STEM","Higher Education","Business & administrative studies",0.0510907697891044,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>5%","Not STEM - Higher Education - Business & administrative studies<br>5%"
"Programmers and software development professionals","Not STEM","Higher Education","Creative arts & design",0.0141134723174322,0.0440951336702026,"Not STEM - Higher Education - Creative arts & design","Creative arts & design","Not STEM - Higher Education","#BFBFBF","Creative arts & <br> design<br>1%","Not STEM - Higher Education - Creative arts & design<br>1%"
"Programmers and software development professionals","Not STEM","Higher Education","Languages",0.0201621033106174,0.0213797330216345,"Not STEM - Higher Education - Languages","Languages","Not STEM - Higher Education","#BFBFBF","Languages<br>2%","Not STEM - Higher Education - Languages<br>2%"
"Programmers and software development professionals","Not STEM","Higher Education","Social studies",0.0201621033106174,0.0403877832313588,"Not STEM - Higher Education - Social studies","Social studies","Not STEM - Higher Education","#BFBFBF","Social studies<br>2%","Not STEM - Higher Education - Social studies<br>2%"
"Programmers and software development professionals","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0403242066212347,0.00730544249000512,"STEM - Apprenticeship - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Apprenticeship","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>4%","STEM - Apprenticeship - Information and Communication Technology (ICT)<br>4%"
"Programmers and software development professionals","STEM","Further Education","Information and Communication Technology (ICT)",0.0362917859591113,0.0223688770047944,"STEM - Further Education - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Further Education","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>4%","STEM - Further Education - Information and Communication Technology (ICT)<br>4%"
"Programmers and software development professionals","STEM","Higher Education","Computer science",0.501350860921811,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>50%","STEM - Higher Education - Computer science<br>50%"
"Programmers and software development professionals","STEM","Higher Education","Engineering & technology",0.0826646235735312,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>8%","STEM - Higher Education - Engineering & technology<br>8%"
"Programmers and software development professionals","STEM","Higher Education","Mathematical sciences",0.0544376789386669,0.00830493046253149,"STEM - Higher Education - Mathematical sciences","Mathematical sciences","STEM - Higher Education","#C6DFF6","Mathematical <br> sciences<br>5%","STEM - Higher Education - Mathematical sciences<br>5%"
"Programmers and software development professionals","STEM","Higher Education","Physical sciences",0.0557683777571676,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>6%","STEM - Higher Education - Physical sciences<br>6%"
"Quantum SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0387513972859598,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>4%","Not STEM - Higher Education - Business & administrative studies<br>4%"
"Quantum SOC2010","Not STEM","Higher Education","Creative arts & design",0.0292438429270286,0.0440951336702026,"Not STEM - Higher Education - Creative arts & design","Creative arts & design","Not STEM - Higher Education","#BFBFBF","Creative arts & <br> design<br>3%","Not STEM - Higher Education - Creative arts & design<br>3%"
"Quantum SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0588963544358571,0.0287368954584715,"STEM - Apprenticeship - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Apprenticeship","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>6%","STEM - Apprenticeship - Engineering and Manufacturing Technologies<br>6%"
"Quantum SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0276452275923411,0.00730544249000512,"STEM - Apprenticeship - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Apprenticeship","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>3%","STEM - Apprenticeship - Information and Communication Technology (ICT)<br>3%"
"Quantum SOC2010","STEM","Further Education","Engineering and Manufacturing Technologies",0.046876690265274,0.0257306735488676,"STEM - Further Education - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Further Education","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>5%","STEM - Further Education - Engineering and Manufacturing Technologies<br>5%"
"Quantum SOC2010","STEM","Further Education","Information and Communication Technology (ICT)",0.0240393283411661,0.0223688770047944,"STEM - Further Education - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Further Education","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>2%","STEM - Further Education - Information and Communication Technology (ICT)<br>2%"
"Quantum SOC2010","STEM","Higher Education","Biological sciences",0.0423572965371348,0.0398495725346394,"STEM - Higher Education - Biological sciences","Biological sciences","STEM - Higher Education","#C6DFF6","Biological sciences<br>4%","STEM - Higher Education - Biological sciences<br>4%"
"Quantum SOC2010","STEM","Higher Education","Computer science",0.191112660312271,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>19%","STEM - Higher Education - Computer science<br>19%"
"Quantum SOC2010","STEM","Higher Education","Engineering & technology",0.183900861809921,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>18%","STEM - Higher Education - Engineering & technology<br>18%"
"Quantum SOC2010","STEM","Higher Education","Physical sciences",0.0674062766686299,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>7%","STEM - Higher Education - Physical sciences<br>7%"
"STEM SOC2010","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0328129630861726,0.0303208188301982,"Not STEM - Apprenticeship - Business, Administration, Finance and Law","Business, Administration, Finance and Law","Not STEM - Apprenticeship","#BFBFBF","Business, <br> Administration, <br> Finance and Law<br>3%","Not STEM - Apprenticeship - Business, Administration, Finance and Law<br>3%"
"STEM SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0715216747010542,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>7%","Not STEM - Higher Education - Business & administrative studies<br>7%"
"STEM SOC2010","Not STEM","Higher Education","Social studies",0.0453937857993964,0.0403877832313588,"Not STEM - Higher Education - Social studies","Social studies","Not STEM - Higher Education","#BFBFBF","Social studies<br>5%","Not STEM - Higher Education - Social studies<br>5%"
"STEM SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0942049585377213,0.0287368954584715,"STEM - Apprenticeship - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Apprenticeship","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>9%","STEM - Apprenticeship - Engineering and Manufacturing Technologies<br>9%"
