"subgroup","STEM","pathway","SubjectHEFE","value","englandPer","ids","label","parents","colors","labelPer","idsPer"
"Critical Technologies SOC2010","Not STEM","GCSEs",NA,0.0306837359153129,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>3%","Not STEM - GCSEs<br>3%"
"Critical Technologies SOC2010","Not STEM","Higher Education",NA,0.19016529442181,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>19%","Not STEM - Higher Education<br>19%"
"Critical Technologies SOC2010","STEM","Apprenticeship",NA,0.10114268505418,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>10%","STEM - Apprenticeship<br>10%"
"Critical Technologies SOC2010","STEM","Further Education",NA,0.0914829904141736,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>9%","STEM - Further Education<br>9%"
"Critical Technologies SOC2010","STEM","Higher Education",NA,0.420605833319128,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>42%","STEM - Higher Education<br>42%"
"Design and development engineers","Not STEM","A/AS levels",NA,0.0476190476190476,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>5%","Not STEM - A/AS levels<br>5%"
"Design and development engineers","Not STEM","Apprenticeship",NA,0.0119047619047619,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>1%","Not STEM - Apprenticeship<br>1%"
"Design and development engineers","Not STEM","GCSEs",NA,0.0119047619047619,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>1%","Not STEM - GCSEs<br>1%"
"Design and development engineers","Not STEM","Higher Education",NA,0.119047619047619,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>12%","Not STEM - Higher Education<br>12%"
"Design and development engineers","STEM","Apprenticeship",NA,0.0833333333333333,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>8%","STEM - Apprenticeship<br>8%"
"Design and development engineers","STEM","Further Education",NA,0.142857142857143,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>14%","STEM - Further Education<br>14%"
"Design and development engineers","STEM","Higher Education",NA,0.583333333333333,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>58%","STEM - Higher Education<br>58%"
"Digital and Computing SOC2010","Not STEM","A/AS levels",NA,0.0807734263754382,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>8%","Not STEM - A/AS levels<br>8%"
"Digital and Computing SOC2010","Not STEM","Apprenticeship",NA,0.038304923848146,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>4%","Not STEM - Apprenticeship<br>4%"
"Digital and Computing SOC2010","Not STEM","Further Education",NA,0.0691154060738286,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>7%","Not STEM - Further Education<br>7%"
"Digital and Computing SOC2010","Not STEM","GCSEs",NA,0.0199851776599022,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>2%","Not STEM - GCSEs<br>2%"
"Digital and Computing SOC2010","Not STEM","Higher Education",NA,0.238772910091682,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>24%","Not STEM - Higher Education<br>24%"
"Digital and Computing SOC2010","STEM","Apprenticeship",NA,0.0874351522620723,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>9%","STEM - Apprenticeship<br>9%"
"Digital and Computing SOC2010","STEM","Further Education",NA,0.064119111658853,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>6%","STEM - Further Education<br>6%"
"Digital and Computing SOC2010","STEM","Higher Education",NA,0.401493892030078,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>40%","STEM - Higher Education<br>40%"
"Engineering Biology SOC2010","Not STEM","A/AS levels",NA,0.0559777811268758,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>6%","Not STEM - A/AS levels<br>6%"
"Engineering Biology SOC2010","Not STEM","Apprenticeship",NA,0.0139944452817189,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>1%","Not STEM - Apprenticeship<br>1%"
"Engineering Biology SOC2010","Not STEM","Further Education",NA,0.0667427390358904,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>7%","Not STEM - Further Education<br>7%"
"Engineering Biology SOC2010","Not STEM","GCSEs",NA,0.025835898981635,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>3%","Not STEM - GCSEs<br>3%"
"Engineering Biology SOC2010","Not STEM","Higher Education",NA,0.127553986263914,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>13%","Not STEM - Higher Education<br>13%"
"Engineering Biology SOC2010","STEM","Apprenticeship",NA,0.108726074881047,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>11%","STEM - Apprenticeship<br>11%"
