"area","geographic_level","year","Year","jobpc","jobcnt"
"West of England","LEP",2022,22,0.0354211545278543,259.8
"West of England and North Somerset","LSIP",2017,17,0.0347864611022506,196.3
"West of England and North Somerset","LSIP",2018,18,0.0301058907555197,193.9
"West of England and North Somerset","LSIP",2019,19,0.0377246450215694,216
"West of England and North Somerset","LSIP",2020,20,0.038357622400524,187.4
"West of England and North Somerset","LSIP",2021,21,0.0368434343434343,145.9
"West of England and North Somerset","LSIP",2022,22,0.0354211545278543,259.8
"West Yorkshire","LSIP",2017,17,0.0464469253942938,262.1
"West Yorkshire","LSIP",2018,18,0.0408968108561314,263.4
"West Yorkshire","LSIP",2019,19,0.0426847372373684,244.4
"West Yorkshire","LSIP",2020,20,0.0443139020795808,216.5
"West Yorkshire","LSIP",2021,21,0.0475252525252525,188.2
"West Yorkshire","LSIP",2022,22,0.0412428762304693,302.5
"Worcestershire","LEP",2017,17,0.010154173312068,57.3
"Worcestershire","LEP",2018,18,0.00993696239480794,64
"Worcestershire","LEP",2019,19,0.009501021709136,54.4
"Worcestershire","LEP",2020,20,0.00923121008678566,45.1
"Worcestershire","LEP",2021,21,0.00946969696969697,37.5
"Worcestershire","LEP",2022,22,0.0103209445641207,75.7
"Worcestershire","LSIP",2017,17,0.010154173312068,57.3
"Worcestershire","LSIP",2018,18,0.00993696239480794,64
"Worcestershire","LSIP",2019,19,0.009501021709136,54.4
"Worcestershire","LSIP",2020,20,0.00923121008678566,45.1
"Worcestershire","LSIP",2021,21,0.00946969696969697,37.5
"Worcestershire","LSIP",2022,22,0.0103209445641207,75.7
"York and North Yorkshire","LEP",2017,17,0.0101896154527733,57.5
"York and North Yorkshire","LEP",2018,18,0.00962643231997019,62
"York and North Yorkshire","LEP",2019,19,0.0097979286375465,56.1
"York and North Yorkshire","LEP",2020,20,0.011400851481906,55.7
"York and North Yorkshire","LEP",2021,21,0.0116666666666667,46.2
"York and North Yorkshire","LEP",2022,22,0.0107299648242576,78.7
"York and North Yorkshire","LSIP",2017,17,0.0101896154527733,57.5
"York and North Yorkshire","LSIP",2018,18,0.00962643231997019,62
"York and North Yorkshire","LSIP",2019,19,0.0097979286375465,56.1
"York and North Yorkshire","LSIP",2020,20,0.011400851481906,55.7
"York and North Yorkshire","LSIP",2021,21,0.0116666666666667,46.2
"York and North Yorkshire","LSIP",2022,22,0.0107299648242576,78.7
