"area","geographic_level","time_period","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
"Tees Valley","LSIP",201920,"4656","Level 3","108","442","397","2930","779"
"Tees Valley","LSIP",201920,"7096","Total","235","1183","894","3505","1279"
"Thames Valley Berkshire","LSIP",201718,"731","All other qualifications","119","145","110","112","245"
"Thames Valley Berkshire","LSIP",201718,"928","Level 2","75","160","157","203","333"
"Thames Valley Berkshire","LSIP",201718,"5976","Level 3","185","405","406","3495","1485"
"Thames Valley Berkshire","LSIP",201718,"7635","Total","379","710","673","3810","2063"
"Thames Valley Berkshire","LSIP",201819,"774","All other qualifications","112","199","99","135","229"
"Thames Valley Berkshire","LSIP",201819,"1084","Level 2","96","174","147","229","438"
"Thames Valley Berkshire","LSIP",201819,"6171","Level 3","230","426","370","3661","1484"
"Thames Valley Berkshire","LSIP",201819,"8029","Total","438","799","616","4025","2151"
"Thames Valley Berkshire","LSIP",201920,"848","All other qualifications","121","208","107","157","255"
"Thames Valley Berkshire","LSIP",201920,"806","Level 2","73","144","93","210","286"
"Thames Valley Berkshire","LSIP",201920,"6345","Level 3","201","428","330","3747","1639"
"Thames Valley Berkshire","LSIP",201920,"7999","Total","395","780","530","4114","2180"
"The Marches","LSIP",201718,"659","All other qualifications","84","178","101","111","185"
"The Marches","LSIP",201718,"955","Level 2","84","199","177","138","357"
"The Marches","LSIP",201718,"4743","Level 3","193","362","366","2476","1346"
"The Marches","LSIP",201718,"6357","Total","361","739","644","2725","1888"
"The Marches","LSIP",201819,"793","All other qualifications","77","244","127","121","224"
"The Marches","LSIP",201819,"1425","Level 2","102","294","245","218","566"
"The Marches","LSIP",201819,"4450","Level 3","174","365","339","2256","1316"
"The Marches","LSIP",201819,"6668","Total","353","903","711","2595","2106"
"The Marches","LSIP",201920,"809","All other qualifications","72","215","144","138","240"
"The Marches","LSIP",201920,"1054","Level 2","68","230","170","236","350"
"The Marches","LSIP",201920,"4778","Level 3","174","423","338","2511","1332"
"The Marches","LSIP",201920,"6641","Total","314","868","652","2885","1922"
"West Midlands and Warwickshire","LSIP",201718,"4984","All other qualifications","785","1479","691","927","1102"
"West Midlands and Warwickshire","LSIP",201718,"4715","Level 2","414","948","719","1398","1236"
"West Midlands and Warwickshire","LSIP",201718,"22065","Level 3","1017","2038","1487","13602","3921"
"West Midlands and Warwickshire","LSIP",201718,"31764","Total","2216","4465","2897","15927","6259"
"West Midlands and Warwickshire","LSIP",201819,"4917","All other qualifications","717","1607","620","961","1012"
"West Midlands and Warwickshire","LSIP",201819,"6290","Level 2","447","1305","785","2093","1660"
"West Midlands and Warwickshire","LSIP",201819,"20348","Level 3","797","1930","1491","12796","3334"
"West Midlands and Warwickshire","LSIP",201819,"31555","Total","1961","4842","2896","15850","6006"
"West Midlands and Warwickshire","LSIP",201920,"5270","All other qualifications","804","1685","537","1149","1095"
"West Midlands and Warwickshire","LSIP",201920,"5166","Level 2","309","1199","645","1777","1236"
"West Midlands and Warwickshire","LSIP",201920,"22015","Level 3","817","2130","1265","14000","3803"
"West Midlands and Warwickshire","LSIP",201920,"32451","Total","1930","5014","2447","16926","6134"
"West of England and North Somerset","LSIP",201718,"1982","All other qualifications","257","496","369","271","589"
"West of England and North Somerset","LSIP",201718,"1874","Level 2","121","299","312","383","759"
"West of England and North Somerset","LSIP",201718,"7387","Level 3","227","609","611","3567","2373"
"West of England and North Somerset","LSIP",201718,"11243","Total","605","1404","1292","4221","3721"
"West of England and North Somerset","LSIP",201819,"1995","All other qualifications","226","569","344","318","538"
