"area","geographic_level","time_period","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
"Liverpool City Region","LEP",201718,"2468","Level 2","145","482","384","763","694"
"Liverpool City Region","LEP",201718,"10522","Level 3","406","847","741","6337","2191"
"Liverpool City Region","LEP",201718,"14890","Total","803","1896","1462","7446","3283"
"Liverpool City Region","LEP",201819,"1948","All other qualifications","214","635","322","308","469"
"Liverpool City Region","LEP",201819,"2849","Level 2","147","621","437","869","775"
"Liverpool City Region","LEP",201819,"9177","Level 3","268","844","589","5638","1838"
"Liverpool City Region","LEP",201819,"13974","Total","629","2100","1348","6815","3082"
"Liverpool City Region","LEP",201920,"2237","All other qualifications","235","697","339","423","543"
"Liverpool City Region","LEP",201920,"2576","Level 2","134","569","361","781","731"
"Liverpool City Region","LEP",201920,"9350","Level 3","331","867","592","5608","1952"
"Liverpool City Region","LEP",201920,"14163","Total","700","2133","1292","6812","3226"
"London","LEP",201718,"10482","All other qualifications","2211","2865","874","2488","2044"
"London","LEP",201718,"8299","Level 2","924","1597","859","3006","1913"
"London","LEP",201718,"57019","Level 3","2829","4625","2226","38740","8599"
"London","LEP",201718,"75800","Total","5964","9087","3959","44234","12556"
"London","LEP",201819,"10507","All other qualifications","2046","2973","794","2550","2144"
"London","LEP",201819,"11536","Level 2","1029","2162","888","4953","2504"
"London","LEP",201819,"55356","Level 3","2644","4432","1990","37756","8534"
"London","LEP",201819,"77399","Total","5719","9567","3672","45259","13182"
"London","LEP",201920,"10685","All other qualifications","1880","3189","711","2762","2143"
"London","LEP",201920,"7938","Level 2","793","1784","681","2923","1757"
"London","LEP",201920,"58297","Level 3","2689","4769","1754","40106","8979"
"London","LEP",201920,"76920","Total","5362","9742","3146","45791","12879"
"North East","LEP",201718,"3589","All other qualifications","531","1260","686","431","681"
"North East","LEP",201718,"2716","Level 2","194","633","548","554","787"
"North East","LEP",201718,"12635","Level 3","471","1128","1450","7227","2359"
"North East","LEP",201718,"18940","Total","1196","3021","2684","8212","3827"
"North East","LEP",201819,"3825","All other qualifications","513","1319","615","613","765"
"North East","LEP",201819,"4235","Level 2","217","1072","678","1127","1141"
"North East","LEP",201819,"11417","Level 3","338","995","1209","6708","2167"
"North East","LEP",201819,"19477","Total","1068","3386","2502","8448","4073"
"North East","LEP",201920,"3758","All other qualifications","449","1333","580","614","782"
"North East","LEP",201920,"3414","Level 2","170","915","601","861","867"
"North East","LEP",201920,"12387","Level 3","374","1282","1187","7167","2377"
"North East","LEP",201920,"19559","Total","993","3530","2368","8642","4026"
"Sheffield City Region","LEP",201718,"2095","All other qualifications","292","621","386","310","486"
"Sheffield City Region","LEP",201718,"2376","Level 2","165","482","420","525","784"
"Sheffield City Region","LEP",201718,"8349","Level 3","325","705","754","4676","1889"
"Sheffield City Region","LEP",201718,"12820","Total","782","1808","1560","5511","3159"
"Sheffield City Region","LEP",201819,"2123","All other qualifications","246","665","332","330","550"
"Sheffield City Region","LEP",201819,"3128","Level 2","156","691","427","758","1096"
"Sheffield City Region","LEP",201819,"7449","Level 3","186","630","655","4325","1653"
"Sheffield City Region","LEP",201819,"12700","Total","588","1986","1414","5413","3299"
"Sheffield City Region","LEP",201920,"2241","All other qualifications","242","704","358","383","554"
"Sheffield City Region","LEP",201920,"2029","Level 2","119","500","354","435","621"
"Sheffield City Region","LEP",201920,"7856","Level 3","215","699","593","4709","1640"
"Sheffield City Region","LEP",201920,"12126","Total","576","1903","1305","5527","2815"
"Solent","LEP",201718,"831","All other qualifications","119","262","124","129","197"
"Solent","LEP",201718,"927","Level 2","77","184","156","156","354"
"Solent","LEP",201718,"2646","Level 3","112","265","229","1241","799"
"Solent","LEP",201718,"4404","Total","308","711","509","1526","1350"
"Solent","LEP",201819,"829","All other qualifications","116","273","106","108","226"
"Solent","LEP",201819,"1118","Level 2","84","230","152","236","416"
"Solent","LEP",201819,"2505","Level 3","143","225","157","1238","742"
"Solent","LEP",201819,"4452","Total","343","728","415","1582","1384"
"Solent","LEP",201920,"904","All other qualifications","117","287","123","160","217"
"Solent","LEP",201920,"904","Level 2","63","209","162","183","287"
"Solent","LEP",201920,"2537","Level 3","130","282","188","1162","775"
"Solent","LEP",201920,"4345","Total","310","778","473","1505","1279"
"South East","LEP",201718,"1366","All other qualifications","225","430","220","94","397"
"South East","LEP",201718,"1364","Level 2","124","326","227","153","534"
"South East","LEP",201718,"5979","Level 3","260","552","482","2919","1766"
"South East","LEP",201718,"8709","Total","609","1308","929","3166","2697"
"South East","LEP",201819,"1309","All other qualifications","192","416","186","142","373"
"South East","LEP",201819,"1829","Level 2","153","397","205","418","656"
"South East","LEP",201819,"4117","Level 3","147","399","344","2163","1064"
"South East","LEP",201819,"7255","Total","492","1212","735","2723","2093"
"South East","LEP",201920,"1262","All other qualifications","192","384","162","139","385"
"South East","LEP",201920,"1532","Level 2","133","348","217","346","488"
"South East","LEP",201920,"4287","Level 3","152","384","314","2288","1149"
"South East","LEP",201920,"7081","Total","477","1116","693","2773","2022"
"South East Midlands","LEP",201718,"1301","All other qualifications","183","309","172","267","370"
"South East Midlands","LEP",201718,"1451","Level 2","85","220","170","483","493"
"South East Midlands","LEP",201718,"6940","Level 3","238","477","520","3992","1713"
"South East Midlands","LEP",201718,"9692","Total","506","1006","862","4742","2576"
"South East Midlands","LEP",201819,"1508","All other qualifications","163","382","179","312","472"
"South East Midlands","LEP",201819,"1828","Level 2","89","281","187","654","617"
"South East Midlands","LEP",201819,"6580","Level 3","228","502","450","3755","1645"
"South East Midlands","LEP",201819,"9916","Total","480","1165","816","4721","2734"
"South East Midlands","LEP",201920,"1513","All other qualifications","167","429","150","315","452"
"South East Midlands","LEP",201920,"1866","Level 2","111","333","157","632","633"
"South East Midlands","LEP",201920,"7038","Level 3","216","599","391","4029","1803"
"South East Midlands","LEP",201920,"10417","Total","494","1361","698","4976","2888"
"Stoke-on-Trent and Staffordshire","LEP",201718,"429","All other qualifications","56","159","38","79","97"
"Stoke-on-Trent and Staffordshire","LEP",201718,"333","Level 2","14","51","65","99","104"
"Stoke-on-Trent and Staffordshire","LEP",201718,"1173","Level 3","32","96","91","706","248"
"Stoke-on-Trent and Staffordshire","LEP",201718,"1935","Total","102","306","194","884","449"
"Stoke-on-Trent and Staffordshire","LEP",201819,"414","All other qualifications","48","141","60","61","104"
"Stoke-on-Trent and Staffordshire","LEP",201819,"403","Level 2","18","80","61","143","101"
"Stoke-on-Trent and Staffordshire","LEP",201819,"1124","Level 3","31","80","65","708","240"
"Stoke-on-Trent and Staffordshire","LEP",201819,"1941","Total","97","301","186","912","445"
"Stoke-on-Trent and Staffordshire","LEP",201920,"387","All other qualifications","40","135","49","71","92"
"Stoke-on-Trent and Staffordshire","LEP",201920,"371","Level 2","26","86","49","107","103"
"Stoke-on-Trent and Staffordshire","LEP",201920,"1240","Level 3","32","106","54","828","220"
"Stoke-on-Trent and Staffordshire","LEP",201920,"1998","Total","98","327","152","1006","415"
"Swindon and Wiltshire","LEP",201718,"1202","All other qualifications","147","299","147","179","430"
"Swindon and Wiltshire","LEP",201718,"1122","Level 2","55","150","184","267","466"
"Swindon and Wiltshire","LEP",201718,"4439","Level 3","141","354","324","2194","1426"
"Swindon and Wiltshire","LEP",201718,"6763","Total","343","803","655","2640","2322"
"Swindon and Wiltshire","LEP",201819,"1174","All other qualifications","93","309","178","202","392"
"Swindon and Wiltshire","LEP",201819,"1264","Level 2","65","173","208","328","490"
"Swindon and Wiltshire","LEP",201819,"3963","Level 3","104","328","268","1968","1295"
"Swindon and Wiltshire","LEP",201819,"6401","Total","262","810","654","2498","2177"
"Swindon and Wiltshire","LEP",201920,"1127","All other qualifications","122","287","135","189","394"
"Swindon and Wiltshire","LEP",201920,"1092","Level 2","52","204","133","291","412"
"Swindon and Wiltshire","LEP",201920,"3967","Level 3","127","342","218","2024","1256"
"Swindon and Wiltshire","LEP",201920,"6186","Total","301","833","486","2504","2062"
"Tees Valley","LEP",201718,"1050","All other qualifications","145","382","221","114","188"
"Tees Valley","LEP",201718,"1156","Level 2","80","268","218","302","288"
"Tees Valley","LEP",201718,"5301","Level 3","181","450","548","3179","943"
"Tees Valley","LEP",201718,"7507","Total","406","1100","987","3595","1419"
"Tees Valley","LEP",201819,"1119","All other qualifications","129","428","200","135","227"
"Tees Valley","LEP",201819,"1923","Level 2","73","449","303","639","459"
"Tees Valley","LEP",201819,"4563","Level 3","129","418","409","2810","797"
"Tees Valley","LEP",201819,"7605","Total","331","1295","912","3584","1483"
"Tees Valley","LEP",201920,"1281","All other qualifications","90","429","278","214","270"
"Tees Valley","LEP",201920,"1159","Level 2","37","312","219","361","230"
"Tees Valley","LEP",201920,"4656","Level 3","108","442","397","2930","779"
"Tees Valley","LEP",201920,"7096","Total","235","1183","894","3505","1279"
"Thames Valley Berkshire","LEP",201718,"731","All other qualifications","119","145","110","112","245"
"Thames Valley Berkshire","LEP",201718,"928","Level 2","75","160","157","203","333"
"Thames Valley Berkshire","LEP",201718,"5976","Level 3","185","405","406","3495","1485"
"Thames Valley Berkshire","LEP",201718,"7635","Total","379","710","673","3810","2063"
"Thames Valley Berkshire","LEP",201819,"774","All other qualifications","112","199","99","135","229"
"Thames Valley Berkshire","LEP",201819,"1084","Level 2","96","174","147","229","438"
"Thames Valley Berkshire","LEP",201819,"6171","Level 3","230","426","370","3661","1484"
"Thames Valley Berkshire","LEP",201819,"8029","Total","438","799","616","4025","2151"
"Thames Valley Berkshire","LEP",201920,"848","All other qualifications","121","208","107","157","255"
"Thames Valley Berkshire","LEP",201920,"806","Level 2","73","144","93","210","286"
"Thames Valley Berkshire","LEP",201920,"6345","Level 3","201","428","330","3747","1639"
"Thames Valley Berkshire","LEP",201920,"7999","Total","395","780","530","4114","2180"
"The Marches","LEP",201718,"659","All other qualifications","84","178","101","111","185"
"The Marches","LEP",201718,"955","Level 2","84","199","177","138","357"
"The Marches","LEP",201718,"4743","Level 3","193","362","366","2476","1346"
"The Marches","LEP",201718,"6357","Total","361","739","644","2725","1888"
"The Marches","LEP",201819,"793","All other qualifications","77","244","127","121","224"
"The Marches","LEP",201819,"1425","Level 2","102","294","245","218","566"
"The Marches","LEP",201819,"4450","Level 3","174","365","339","2256","1316"
"The Marches","LEP",201819,"6668","Total","353","903","711","2595","2106"
"The Marches","LEP",201920,"809","All other qualifications","72","215","144","138","240"
"The Marches","LEP",201920,"1054","Level 2","68","230","170","236","350"
"The Marches","LEP",201920,"4778","Level 3","174","423","338","2511","1332"
"The Marches","LEP",201920,"6641","Total","314","868","652","2885","1922"
"West of England","LEP",201718,"1982","All other qualifications","257","496","369","271","589"
"West of England","LEP",201718,"1874","Level 2","121","299","312","383","759"
"West of England","LEP",201718,"7387","Level 3","227","609","611","3567","2373"
"West of England","LEP",201718,"11243","Total","605","1404","1292","4221","3721"
"West of England","LEP",201819,"1995","All other qualifications","226","569","344","318","538"
"West of England","LEP",201819,"2326","Level 2","127","406","332","662","799"
"West of England","LEP",201819,"6724","Level 3","265","506","565","3279","2109"
"West of England","LEP",201819,"11045","Total","618","1481","1241","4259","3446"
"West of England","LEP",201920,"2065","All other qualifications","224","573","295","353","620"
"West of England","LEP",201920,"1822","Level 2","92","311","321","430","668"
"West of England","LEP",201920,"7001","Level 3","247","562","474","3478","2240"
"West of England","LEP",201920,"10888","Total","563","1446","1090","4261","3528"
"York and North Yorkshire","LEP",201718,"475","All other qualifications","53","145","84","56","137"
"York and North Yorkshire","LEP",201718,"682","Level 2","53","115","141","69","304"
"York and North Yorkshire","LEP",201718,"2671","Level 3","152","222","186","1257","854"
"York and North Yorkshire","LEP",201718,"3828","Total","258","482","411","1382","1295"
"York and North Yorkshire","LEP",201819,"423","All other qualifications","50","147","58","45","123"
"York and North Yorkshire","LEP",201819,"899","Level 2","56","166","129","144","404"
"York and North Yorkshire","LEP",201819,"2150","Level 3","124","180","152","1063","631"
"York and North Yorkshire","LEP",201819,"3472","Total","230","493","339","1252","1158"
"York and North Yorkshire","LEP",201920,"544","All other qualifications","55","178","92","53","166"
"York and North Yorkshire","LEP",201920,"647","Level 2","59","128","98","89","273"
"York and North Yorkshire","LEP",201920,"2319","Level 3","134","219","151","1087","728"
"York and North Yorkshire","LEP",201920,"3510","Total","248","525","341","1229","1167"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"341","All other qualifications","53","104","37","67","80"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"436","Level 2","52","83","63","115","123"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"2461","Level 3","153","279","79","1229","721"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"3238","Total","258","466","179","1411","924"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"221","All other qualifications","43","69","28","26","55"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"270","Level 2","26","46","33","82","83"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"2264","Level 3","135","220","69","1126","714"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"2755","Total","204","335","130","1234","852"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"217","All other qualifications","29","64","27","43","54"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"214","Level 2","21","56","24","60","53"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"2362","Level 3","149","252","42","1146","773"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"2793","Total","199","372","93","1249","880"
"Buckinghamshire ","LSIP",201718,"403","All other qualifications","55","85","75","40","148"
"Buckinghamshire ","LSIP",201718,"404","Level 2","26","69","71","69","169"
"Buckinghamshire ","LSIP",201718,"4243","Level 3","134","299","149","2732","929"
"Buckinghamshire ","LSIP",201718,"5050","Total","215","453","295","2841","1246"
"Buckinghamshire ","LSIP",201819,"404","All other qualifications","47","112","49","56","140"
"Buckinghamshire ","LSIP",201819,"598","Level 2","28","100","79","183","208"
"Buckinghamshire ","LSIP",201819,"3890","Level 3","141","246","146","2490","867"
"Buckinghamshire ","LSIP",201819,"4892","Total","216","458","274","2729","1215"
"Buckinghamshire ","LSIP",201920,"417","All other qualifications","61","118","43","53","142"
"Buckinghamshire ","LSIP",201920,"314","Level 2","18","42","60","64","130"
"Buckinghamshire ","LSIP",201920,"3897","Level 3","125","234","153","2541","844"
"Buckinghamshire ","LSIP",201920,"4628","Total","204","394","256","2658","1116"
"Cambridgeshire and Peterborough","LSIP",201718,"601","All other qualifications","81","149","64","120","187"
"Cambridgeshire and Peterborough","LSIP",201718,"540","Level 2","37","76","52","205","170"
"Cambridgeshire and Peterborough","LSIP",201718,"1519","Level 3","62","104","102","839","412"
"Cambridgeshire and Peterborough","LSIP",201718,"2660","Total","180","329","218","1164","769"
"Cambridgeshire and Peterborough","LSIP",201819,"625","All other qualifications","77","190","70","85","203"
"Cambridgeshire and Peterborough","LSIP",201819,"478","Level 2","35","98","61","93","191"
"Cambridgeshire and Peterborough","LSIP",201819,"1396","Level 3","60","108","96","826","306"
"Cambridgeshire and Peterborough","LSIP",201819,"2499","Total","172","396","227","1004","700"
"Cambridgeshire and Peterborough","LSIP",201920,"650","All other qualifications","84","162","84","134","186"
"Cambridgeshire and Peterborough","LSIP",201920,"519","Level 2","24","103","57","146","189"
"Cambridgeshire and Peterborough","LSIP",201920,"1526","Level 3","40","112","74","918","382"
"Cambridgeshire and Peterborough","LSIP",201920,"2695","Total","148","377","215","1198","757"
"Cheshire and Warrington","LSIP",201718,"1127","All other qualifications","107","312","214","173","321"
"Cheshire and Warrington","LSIP",201718,"1262","Level 2","96","198","223","285","460"
"Cheshire and Warrington","LSIP",201718,"7475","Level 3","243","536","621","4126","1949"
"Cheshire and Warrington","LSIP",201718,"9864","Total","446","1046","1058","4584","2730"
"Cheshire and Warrington","LSIP",201819,"1003","All other qualifications","95","276","201","136","295"
"Cheshire and Warrington","LSIP",201819,"1803","Level 2","110","309","284","431","669"
"Cheshire and Warrington","LSIP",201819,"6884","Level 3","192","507","624","3860","1701"
"Cheshire and Warrington","LSIP",201819,"9690","Total","397","1092","1109","4427","2665"
"Cheshire and Warrington","LSIP",201920,"1082","All other qualifications","104","322","217","152","287"
"Cheshire and Warrington","LSIP",201920,"1201","Level 2","69","243","196","238","455"
"Cheshire and Warrington","LSIP",201920,"7005","Level 3","237","521","550","3884","1813"
"Cheshire and Warrington","LSIP",201920,"9288","Total","410","1086","963","4274","2555"
"Cornwall and the Isles of Scilly","LSIP",201718,"864","All other qualifications","77","259","109","174","245"
"Cornwall and the Isles of Scilly","LSIP",201718,"1214","Level 2","84","209","197","320","404"
"Cornwall and the Isles of Scilly","LSIP",201718,"3721","Level 3","141","441","209","1820","1110"
"Cornwall and the Isles of Scilly","LSIP",201718,"5799","Total","302","909","515","2314","1759"
"Cornwall and the Isles of Scilly","LSIP",201819,"769","All other qualifications","79","258","87","156","189"
"Cornwall and the Isles of Scilly","LSIP",201819,"1289","Level 2","70","245","231","294","449"
"Cornwall and the Isles of Scilly","LSIP",201819,"3353","Level 3","122","375","188","1680","988"
"Cornwall and the Isles of Scilly","LSIP",201819,"5411","Total","271","878","506","2130","1626"
"Cornwall and the Isles of Scilly","LSIP",201920,"781","All other qualifications","90","255","98","109","229"
"Cornwall and the Isles of Scilly","LSIP",201920,"965","Level 2","53","226","171","154","361"
"Cornwall and the Isles of Scilly","LSIP",201920,"3666","Level 3","152","453","213","1693","1155"
"Cornwall and the Isles of Scilly","LSIP",201920,"5412","Total","295","934","482","1956","1745"
"Derbyshire and Nottinghamshire","LSIP",201718,"1214","All other qualifications","147","349","173","216","329"
"Derbyshire and Nottinghamshire","LSIP",201718,"1367","Level 2","95","272","231","326","443"
"Derbyshire and Nottinghamshire","LSIP",201718,"4112","Level 3","160","342","392","2296","922"
"Derbyshire and Nottinghamshire","LSIP",201718,"6693","Total","402","963","796","2838","1694"
"Derbyshire and Nottinghamshire","LSIP",201819,"1564","All other qualifications","157","416","216","381","394"
"Derbyshire and Nottinghamshire","LSIP",201819,"1934","Level 2","115","354","346","445","674"
"Derbyshire and Nottinghamshire","LSIP",201819,"3931","Level 3","150","350","306","2226","899"
"Derbyshire and Nottinghamshire","LSIP",201819,"7429","Total","422","1120","868","3052","1967"
"Derbyshire and Nottinghamshire","LSIP",201920,"1789","All other qualifications","167","528","201","458","435"
"Derbyshire and Nottinghamshire","LSIP",201920,"2008","Level 2","99","414","276","658","561"
"Derbyshire and Nottinghamshire","LSIP",201920,"4582","Level 3","169","391","344","2608","1070"
"Derbyshire and Nottinghamshire","LSIP",201920,"8379","Total","435","1333","821","3724","2066"
"Dorset","LSIP",201718,"595","All other qualifications","71","168","110","58","188"
"Dorset","LSIP",201718,"630","Level 2","55","88","167","54","266"
"Dorset","LSIP",201718,"2261","Level 3","130","213","136","1133","649"
"Dorset","LSIP",201718,"3486","Total","256","469","413","1245","1103"
"Dorset","LSIP",201819,"591","All other qualifications","68","166","66","101","190"
"Dorset","LSIP",201819,"750","Level 2","38","139","146","142","285"
"Dorset","LSIP",201819,"1979","Level 3","127","194","97","1004","557"
"Dorset","LSIP",201819,"3320","Total","233","499","309","1247","1032"
"Dorset","LSIP",201920,"602","All other qualifications","75","160","89","108","170"
"Dorset","LSIP",201920,"609","Level 2","28","118","127","120","216"
"Dorset","LSIP",201920,"2456","Level 3","145","237","140","1247","687"
"Dorset","LSIP",201920,"3667","Total","248","515","356","1475","1073"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"662","All other qualifications","114","206","94","41","207"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"543","Level 2","46","128","84","58","227"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"3635","Level 3","159","337","289","1738","1112"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"4840","Total","319","671","467","1837","1546"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"541","All other qualifications","84","150","84","60","163"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"707","Level 2","64","154","61","155","273"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"1943","Level 3","70","189","146","1089","449"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"3191","Total","218","493","291","1304","885"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"635","All other qualifications","103","196","78","45","213"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"586","Level 2","57","156","71","75","227"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"2427","Level 3","94","241","161","1245","686"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"3648","Total","254","593","310","1365","1126"
"Greater Lincolnshire","LSIP",201718,"824","All other qualifications","95","260","136","159","174"
"Greater Lincolnshire","LSIP",201718,"926","Level 2","50","178","162","265","271"
"Greater Lincolnshire","LSIP",201718,"2564","Level 3","101","221","265","1375","602"
"Greater Lincolnshire","LSIP",201718,"4314","Total","246","659","563","1799","1047"
"Greater Lincolnshire","LSIP",201819,"729","All other qualifications","75","254","112","108","180"
"Greater Lincolnshire","LSIP",201819,"1041","Level 2","50","225","168","292","306"
"Greater Lincolnshire","LSIP",201819,"2375","Level 3","90","234","250","1270","531"
"Greater Lincolnshire","LSIP",201819,"4145","Total","215","713","530","1670","1017"
"Greater Lincolnshire","LSIP",201920,"911","All other qualifications","82","316","112","170","231"
"Greater Lincolnshire","LSIP",201920,"954","Level 2","46","235","149","245","279"
"Greater Lincolnshire","LSIP",201920,"2823","Level 3","82","291","233","1604","613"
"Greater Lincolnshire","LSIP",201920,"4688","Total","210","842","494","2019","1123"
"Greater London","LSIP",201718,"10482","All other qualifications","2211","2865","874","2488","2044"
"Greater London","LSIP",201718,"8299","Level 2","924","1597","859","3006","1913"
"Greater London","LSIP",201718,"57019","Level 3","2829","4625","2226","38740","8599"
"Greater London","LSIP",201718,"75800","Total","5964","9087","3959","44234","12556"
"Greater London","LSIP",201819,"10507","All other qualifications","2046","2973","794","2550","2144"
"Greater London","LSIP",201819,"11536","Level 2","1029","2162","888","4953","2504"
"Greater London","LSIP",201819,"55356","Level 3","2644","4432","1990","37756","8534"
"Greater London","LSIP",201819,"77399","Total","5719","9567","3672","45259","13182"
"Greater London","LSIP",201920,"10685","All other qualifications","1880","3189","711","2762","2143"
"Greater London","LSIP",201920,"7938","Level 2","793","1784","681","2923","1757"
"Greater London","LSIP",201920,"58297","Level 3","2689","4769","1754","40106","8979"
"Greater London","LSIP",201920,"76920","Total","5362","9742","3146","45791","12879"
"Greater Manchester","LSIP",201718,"4266","All other qualifications","617","1305","633","753","958"
"Greater Manchester","LSIP",201718,"4340","Level 2","323","866","686","1135","1330"
"Greater Manchester","LSIP",201718,"19621","Level 3","771","1659","1573","11532","4086"
"Greater Manchester","LSIP",201718,"28227","Total","1711","3830","2892","13420","6374"
"Greater Manchester","LSIP",201819,"4332","All other qualifications","547","1337","597","881","970"
"Greater Manchester","LSIP",201819,"6221","Level 2","325","1235","697","2262","1702"
"Greater Manchester","LSIP",201819,"18287","Level 3","629","1479","1405","11160","3614"
"Greater Manchester","LSIP",201819,"28840","Total","1501","4051","2699","14303","6286"
"Greater Manchester","LSIP",201920,"4345","All other qualifications","581","1377","574","813","1001"
"Greater Manchester","LSIP",201920,"3860","Level 2","244","921","533","1085","1077"
"Greater Manchester","LSIP",201920,"19348","Level 3","677","1827","1263","11692","3889"
"Greater Manchester","LSIP",201920,"27553","Total","1502","4125","2370","13590","5967"
"Heart of the South-West","LSIP",201718,"757","All other qualifications","83","253","114","132","175"
"Heart of the South-West","LSIP",201718,"1052","Level 2","81","199","198","222","352"
"Heart of the South-West","LSIP",201718,"2862","Level 3","117","266","278","1453","748"
"Heart of the South-West","LSIP",201718,"4671","Total","281","718","590","1807","1275"
"Heart of the South-West","LSIP",201819,"664","All other qualifications","58","211","126","123","146"
"Heart of the South-West","LSIP",201819,"1232","Level 2","59","239","284","314","336"
"Heart of the South-West","LSIP",201819,"2635","Level 3","94","228","198","1454","661"
"Heart of the South-West","LSIP",201819,"4531","Total","211","678","608","1891","1143"
"Heart of the South-West","LSIP",201920,"694","All other qualifications","60","239","120","107","168"
"Heart of the South-West","LSIP",201920,"931","Level 2","44","199","217","202","269"
"Heart of the South-West","LSIP",201920,"2578","Level 3","113","241","231","1353","640"
"Heart of the South-West","LSIP",201920,"4203","Total","217","679","568","1662","1077"
"Hull and East Yorkshire","LSIP",201718,"1039","All other qualifications","123","342","194","90","290"
"Hull and East Yorkshire","LSIP",201718,"1127","Level 2","92","269","195","202","369"
"Hull and East Yorkshire","LSIP",201718,"3970","Level 3","142","360","364","2193","911"
"Hull and East Yorkshire","LSIP",201718,"6136","Total","357","971","753","2485","1570"
"Hull and East Yorkshire","LSIP",201819,"892","All other qualifications","88","304","159","121","220"
"Hull and East Yorkshire","LSIP",201819,"1327","Level 2","79","347","213","266","422"
"Hull and East Yorkshire","LSIP",201819,"3493","Level 3","110","312","328","1978","765"
"Hull and East Yorkshire","LSIP",201819,"5712","Total","277","963","700","2365","1407"
"Hull and East Yorkshire","LSIP",201920,"958","All other qualifications","95","325","163","163","212"
"Hull and East Yorkshire","LSIP",201920,"992","Level 2","45","267","156","226","298"
"Hull and East Yorkshire","LSIP",201920,"3733","Level 3","133","365","349","2050","836"
"Hull and East Yorkshire","LSIP",201920,"5683","Total","273","957","668","2439","1346"
"Kent and Medway","LSIP",201718,"704","All other qualifications","111","224","126","53","190"
"Kent and Medway","LSIP",201718,"821","Level 2","78","198","143","95","307"
"Kent and Medway","LSIP",201718,"2344","Level 3","101","215","193","1181","654"
"Kent and Medway","LSIP",201718,"3869","Total","290","637","462","1329","1151"
"Kent and Medway","LSIP",201819,"768","All other qualifications","108","266","102","82","210"
"Kent and Medway","LSIP",201819,"1122","Level 2","89","243","144","263","383"
"Kent and Medway","LSIP",201819,"2174","Level 3","77","210","198","1074","615"
"Kent and Medway","LSIP",201819,"4064","Total","274","719","444","1419","1208"
"Kent and Medway","LSIP",201920,"627","All other qualifications","89","188","84","94","172"
"Kent and Medway","LSIP",201920,"946","Level 2","76","192","146","271","261"
"Kent and Medway","LSIP",201920,"1860","Level 3","58","143","153","1043","463"
"Kent and Medway","LSIP",201920,"3433","Total","223","523","383","1408","896"
"Lancashire","LSIP",201718,"735","All other qualifications","81","249","126","167","112"
"Lancashire","LSIP",201718,"616","Level 2","47","131","75","183","180"
"Lancashire","LSIP",201718,"2960","Level 3","101","297","206","1770","586"
"Lancashire","LSIP",201718,"4311","Total","229","677","407","2120","878"
"Lancashire","LSIP",201819,"692","All other qualifications","89","226","87","158","132"
"Lancashire","LSIP",201819,"984","Level 2","48","226","131","315","264"
"Lancashire","LSIP",201819,"2602","Level 3","69","245","191","1539","558"
"Lancashire","LSIP",201819,"4278","Total","206","697","409","2012","954"
"Lancashire","LSIP",201920,"760","All other qualifications","96","288","116","99","161"
"Lancashire","LSIP",201920,"619","Level 2","37","188","101","110","183"
"Lancashire","LSIP",201920,"2719","Level 3","90","282","152","1587","608"
"Lancashire","LSIP",201920,"4098","Total","223","758","369","1796","952"
"Leicester and Leicestershire","LSIP",201718,"711","All other qualifications","107","195","82","121","206"
"Leicester and Leicestershire","LSIP",201718,"734","Level 2","44","135","123","201","231"
"Leicester and Leicestershire","LSIP",201718,"2715","Level 3","104","252","144","1751","464"
"Leicester and Leicestershire","LSIP",201718,"4160","Total","255","582","349","2073","901"
"Leicester and Leicestershire","LSIP",201819,"691","All other qualifications","96","176","70","137","212"
"Leicester and Leicestershire","LSIP",201819,"1112","Level 2","74","187","126","398","327"
"Leicester and Leicestershire","LSIP",201819,"2524","Level 3","111","212","134","1643","424"
"Leicester and Leicestershire","LSIP",201819,"4327","Total","281","575","330","2178","963"
