"area","geographic_level","year","  Corporate Managers And Directors ","Conf","  Other Managers And Proprietors ","Conf_2","  Science Research Engineering And Technology Professionals ","Conf_3","  Health Professionals ","Conf_4","  Teaching And Educational Professionals ","Conf_5","  Business Media And Public Service Professionals ","Conf_6","  Science Engineering And Technology Associate Professionals ","Conf_7","  Health And Social Care Associate Professionals ","Conf_8","  Protective Service Occupations ","Conf_9","  Culture Media And Sports Occupations ","Conf_10","  Business And Public Service Associate Professionals ","Conf_11","  Administrative Occupations ","Conf_12","  Secretarial And Related Occupations ","conf_13","  skilled agricultural and related trades ","conf_14","  skilled metal electrical and electronic trades ","conf_15","  skilled construction and building trades ","conf_16","  textiles printing and other skilled trades ","conf_17","  caring personal service occupations ","conf_18","  leisure travel and related personal service occupations ","conf_19","  sales occupations ","conf_20","  customer service occupations ","conf_21","  process plant and machine operatives ","conf_22","  transport and mobile machine drivers and operatives ","conf_23","  elementary trades and related occupations ","conf_24","  elementary administration and service occupations ","conf_25"
"Tees Valley","LEP","2021",14500,2500,6100,1600,10800,2100,13900,2400,15400,2500,11900,2200,9000,2000,6500,1700,3500,1200,3500,1200,17000,2700,26200,3300,5500,"1500","1900","900","11600","2200","10500","2100","5200","1500","26500","3300","6100","1600","19400","2900","8900","1900","9800","2000","10900","2100","7100","1700","28700","3500"
"Thames Valley Berkshire","LEP","2021",46200,5200,13200,2800,61200,5900,13400,2800,25000,3800,30900,4200,12200,2700,5700,1800,4000,1500,9900,2400,47500,5200,35300,4500,7800,"2100","4800","1700","10400","2400","10400","2400","8300","2200","33900","4400","6800","2000","16800","3100","9800","2400","5400","1800","12700","2700","4900","1700","30200","4200"
"The Marches","LEP","2021",26200,4500,9700,2800,27000,4600,13900,3300,17800,3700,13200,3200,5900,2200,3100,1600,2400,NA,6400,2200,21400,4100,27500,4700,5900,"2200","9300","2700","10100","2800","8800","2600","6200","2200","25200","4500","5200","2000","10300","2800","4400","1900","10300","2800","13100","3200","12900","3200","21700","4100"
"West of England","LEP","2021",41500,6100,20800,4300,58200,7200,29400,5200,34300,5600,55500,7100,9600,2900,12700,3400,3700,1800,17200,3900,54900,7000,51500,6800,9900,"3000","7400","2600","14100","3600","11300","3200","11500","3200","35500","5700","8000","2700","29700","5200","13200","3500","11300","3200","18400","4100","6200","2400","44400","6300"
"Worcestershire","LEP","2021",24700,5900,6700,3100,18700,5200,14600,4600,14500,4500,15000,4600,5000,2700,4000,2400,2500,NA,4700,2600,26000,6100,23300,5800,6200,"3000","2400","","11400","4000","10800","3900","4900","2600","24300","5900","3500","2200","11100","4000","4700","2600","10500","3900","10700","3900","7600","3300","20100","5300"
"Buckinghamshire","LEP","2021",33700,6600,9600,3500,24300,5600,10600,3700,12200,4000,15800,4500,6900,3000,4200,2300,5200,2600,7400,3100,31800,6400,20900,5200,3400,"2100","3800","","8400","3300","7800","3200","4900","2500","18400","4900","3200","2000","7000","3000","5000","2500","3500","","4500","2400","3200","","14000","4200"
"Coast to Capital","LEP","2021",79000,11700,19900,5900,62400,10400,32000,7500,47300,9100,57100,10000,13100,4800,16600,5400,12000,4600,22300,6200,79900,11800,63800,10500,9200,"4000","8900","3900","19900","5900","15400","5200","15700","5200","59200","10200","20800","6000","28200","7000","16600","5400","4600","2800","15800","5200","11800","4500","60900","10300"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","2021",78000,10600,26900,6200,76300,10500,52500,8700,51000,8600,56200,9000,19000,5200,15500,4700,8000,3400,17900,5100,61200,9400,84300,11100,19000,"5200","8700","3500","39500","7600","34400","7100","23500","5800","87800","11300","18900","5200","48200","8400","23200","5800","36200","7200","47800","8300","23000","5800","86400","11200"
"Enterprise M3","LEP","2021",94500,12900,25500,6700,87400,12400,24000,6500,36900,8000,61000,10400,15600,5200,10200,4200,10100,4200,14800,5100,77400,11700,71000,11200,14500,"5100","7800","3700","27100","6900","16600","5400","7200","3500","50500","9400","13600","4900","35500","7900","13200","4800","8100","3800","16900","5400","7500","3600","37800","8200"
"Hertfordshire","LEP","2021",55300,10000,20100,6000,51000,9600,32000,7600,26700,6900,57200,10200,10700,4400,8500,3900,2000,NA,16400,5500,60900,10500,57500,10200,13200,"4900","4500","","20600","6100","15200","5200","7300","3600","43200","8800","8700","4000","28300","7200","10000","4300","7900","3800","20200","6000","6200","3300","36600","8100"
"London","LEP","2021",458900,31800,140000,17600,473300,32300,210700,21600,246600,23300,521500,33900,61800,11700,76600,13000,26800,7700,211100,21600,503700,33300,379700,28900,95600,"14500","14100","5600","66400","12100","91000","14200","75000","12900","268900","24400","68700","12300","164800","19100","96700","14600","30200","8200","121000","16300","47600","10300","276700","24700"
"New Anglia","LEP","2021",51800,9700,31400,7500,46600,9200,27100,7000,27400,7000,40400,8500,12200,4700,11800,4600,11800,4600,11900,4600,58800,10300,62700,10600,19200,"5900","8000","3800","35600","8000","26200","6900","19500","5900","65100","10800","19500","5900","44400","8900","15400","5300","18900","5800","35500","8000","15800","5300","65300","10900"
"Oxfordshire","LEP","2021",30000,7100,7200,3500,37900,8000,13300,4700,25800,6600,29100,7000,6600,3300,3100,NA,2200,NA,11600,4400,24900,6500,30700,7200,8500,"3800","3700","","12000","4500","8900","3900","7300","3500","20300","5900","5100","2900","11600","4400","","","6900","3400","10100","4100","4900","2900","15300","5100"
"Sheffield City Region","LEP","2021",33400,6300,17500,4600,37500,6700,33600,6300,35000,6400,34900,6400,11100,3600,11600,3700,5700,2600,8200,3100,50600,7700,42600,7100,14300,"4100","3100","1900","30700","6000","20800","5000","10600","3500","53800","8000","10300","3500","38700","6800","14600","4200","26100","5600","22700","5200","14500","4100","77000","9500"
"Solent","LEP","2021",37200,6100,24000,4900,41300,6400,24800,5000,33100,5800,36200,6000,14100,3800,8700,3000,6900,2600,15000,3900,41200,6400,51500,7200,7400,"2700","3800","2000","18700","4300","21500","4700","10900","3300","48300","7000","9100","3000","30400","5500","17200","4200","11200","3400","17500","4200","11800","3400","55100","7400"
"South East","LEP","2021",161700,15700,55300,9200,122100,13700,70200,10400,116100,13300,119900,13500,28400,6600,35600,7400,35900,7400,48000,8600,174400,16300,205200,17700,46900,"8500","20700","5600","69600","10300","65400","10000","40300","7800","161100","15700","40400","7900","100700","12400","43000","8100","35600","7400","72100","10500","34000","7200","143200","14800"
"South East Midlands","LEP","2021",67700,9400,18900,5000,69300,9500,27600,6000,37500,7000,40900,7300,22900,5500,15700,4500,14400,4400,11300,3900,72400,9800,71500,9700,15800,"4600","8000","3200","25900","5800","25300","5800","17400","4800","46200","7800","18800","5000","37700","7000","21000","5200","25300","5800","31000","6400","16800","4700","84400","10500"
"York and North Yorkshire","LEP","2021",30400,6000,16100,4300,34000,6300,26100,5500,25800,5500,19900,4800,10500,3500,7700,3000,5300,2500,6600,2800,33200,6200,28500,5800,6600,"2800","5400","2500","12300","3800","9700","3400","9400","3300","27500","5700","7300","2900","14600","4100","7400","2900","6800","2800","10200","3500","9400","3300","31600","6100"
"Greater Cambridge and Greater Peterborough","LEP","2021",30000,6400,9900,3700,48900,8200,20400,5300,23900,5700,21000,5400,9900,3700,7700,3300,4200,NA,10500,3800,30600,6500,40800,7500,6000,"2900","5800","2800","14600","4500","13100","4200","8300","3400","29700","6400","5200","2700","21000","5400","9400","3600","9800","3700","9000","3500","9800","3700","28500","6300"
"Greater Lincolnshire","LEP","2021",37000,6200,16900,4200,21100,4700,16400,4200,24700,5100,18900,4500,8500,3000,4500,2200,6200,2500,8500,3000,33500,5900,33000,5900,8600,"3000","14200","3900","21600","4800","17300","4300","14700","3900","52500","7400","8800","3000","29200","5500","8200","2900","18300","4400","22100","4800","14400","3900","46700","7000"
"Hull and East Yorkshire","LEP","2021",20200,4400,7600,2700,15600,3800,8600,2900,11300,3300,13400,3600,5200,2200,7400,2600,4300,2000,3700,1900,17200,4000,22400,4600,5500,"2300","3200","1700","11800","3300","10600","3200","4300","2000","20000","4300","4500","2100","15600","3800","6300","2400","10600","3200","11100","3200","10000","3100","26600","5000"
"Leeds City Region","LEP","2021",76000,10500,26000,6100,75100,10400,52300,8700,55800,9000,75800,10500,20900,5500,24000,5900,8000,3400,16800,4900,90400,11500,93200,11600,19200,"5300","4500","2600","37600","7400","35100","7100","22300","5700","76400","10500","16500","4900","45500","8100","28500","6400","32300","6900","35700","7200","24600","6000","94200","11700"
