"year","area","geographic_level","Agriculture and Fishing","Energy and Water","Manufacturing","Construction","Distribution, Hotel and Restaurants","Transport and Communication","Banking, Finance and Insurance","Public Administration, Education and Health","Other Services"
2019,"Thames Valley Berkshire","LSIP","1300","9500","40900","26700","78300","72700","98600","119500","25800"
2019,"The Marches","LSIP","12300","5500","39800","24100","53500","20400","49800","105800","20400"
2019,"West Midlands and Warwickshire","LSIP","5800","24400","192800","103300","289400","157700","247900","490400","82600"
2019,"West of England and North Somerset","LSIP","2100","12200","45000","43600","84700","52200","117800","208000","34200"
2019,"West Yorkshire","LSIP","900","11500","129600","68700","193300","100100","190600","340100","57900"
2019,"Worcestershire","LSIP","1400","2500","33100","28900","45400","22600","47600","87700","12100"
2019,"York and North Yorkshire","LSIP","10600","6000","35900","22600","90200","23800","61200","123100","19200"
2020,"Brighton and Hove, East Sussex, West Sussex","LSIP","5900","5500","58600","55400","129400","71800","163400","281800","49400"
2020,"Buckinghamshire ","LSIP","1200","1900","26600","20700","33200","32500","53900","76900","18000"
2020,"Cambridgeshire and Peterborough","LSIP","4300","2200","51100","28000","58300","38600","61400","149200","25600"
2020,"Cheshire and Warrington","LSIP","7600","5100","54500","26900","73000","38200","85600","129100","27700"
2020,"Cornwall and the Isles of Scilly","LSIP","6900","5100","20300","23000","64100","11800","27200","82100","13400"
2020,"Cumbria","LSIP","8400","9900","30600","13700","45600","15100","26500","60700","9000"
2020,"Derbyshire and Nottinghamshire","LSIP","5800","13400","131100","66400","197000","88700","139200","332500","58300"
2020,"Dorset","LSIP","4000","6800","68200","54900","122900","60300","146400","218200","48300"
2020,"Enterprise M3 LEP (including all of Surrey)","LSIP","1900","5100","43500","35900","73100","77800","153700","168000","44900"
2020,"Essex, Southend-on-Sea and Thurrock","LSIP","5300","6400","48400","79300","139200","93500","200200","260200","51700"
2020,"Gloucestershire","LSIP","2400","5100","36000","19900","46600","30800","55800","92500","12300"
2020,"Greater Lincolnshire","LSIP","11900","9200","60100","31400","103400","40300","56500","147200","28000"
2020,"Greater London","LSIP","1000","6000","156400","243900","594900","642500","1297800","1358300","324300"
2020,"Greater Manchester","LSIP","0","9100","107300","82500","230700","113000","262500","430600","71200"
2020,"Heart of the South-West","LSIP","16700","11300","81300","60900","168400","52000","116400","262400","37700"
2020,"Hertfordshire","LSIP","1400","1500","41000","48800","85500","71400","145400","189200","30200"
2020,"Hull and East Yorkshire","LSIP","4000","5000","40500","19600","47900","21600","32400","87600","14500"
2020,"Kent and Medway","LSIP","1400","17100","60200","81200","153600","89800","158500","272700","47800"
2020,"Lancashire","LSIP","5900","7600","83600","46600","138200","56800","87200","216100","37100"
2020,"Leicester and Leicestershire","LSIP","5900","8700","69800","33100","94400","37100","76000","153000","23200"
2020,"Liverpool City Region","LSIP","0","10600","50400","42100","125000","56000","120400","278000","36000"
2020,"Norfolk and Suffolk ","LSIP","11200","6600","64600","60100","147300","64600","125400","233600","46500"
2020,"North East","LSIP","1500","12900","53000","33600","93700","36700","66700","183600","29800"
2020,"North of Tyne","LSIP","2400","4500","25100","20700","69200","32400","56000","144900","20600"
2020,"Oxfordshire","LSIP","900","1400","33300","20600","47700","37100","65800","109200","20500"
2020,"Solent","LSIP","800","7800","57900","42200","107900","50400","82500","206600","33900"
2020,"South East Midlands","LSIP","4200","7200","86000","62400","119000","107200","153100","241100","45400"
2020,"South Yorkshire","LSIP","700","10800","75000","52900","102900","63400","82800","226500","29400"
2020,"Stoke-on-Trent and Staffordshire","LSIP","2700","4900","68700","39400","104300","49100","67700","162600","26300"
2020,"Swindon and Wiltshire","LSIP","7600","6000","37300","27400","49900","31600","64200","100900","31500"
2020,"Tees Valley","LSIP","0","6200","27100","21900","52100","21300","39500","106600","17000"
2020,"Thames Valley Berkshire","LSIP","1100","8500","40900","26300","67700","70500","99200","121700","24800"
2020,"The Marches","LSIP","9100","4800","36500","22500","48700","22000","50400","109600","19200"
2020,"West Midlands and Warwickshire","LSIP","900","31300","172400","91100","264900","156800","258800","526000","88800"
2020,"West of England and North Somerset","LSIP","3600","10600","42600","28900","84500","56600","129000","212700","29900"
2020,"West Yorkshire","LSIP","1500","20700","115800","75300","191300","94700","186600","372300","47600"
2020,"Worcestershire","LSIP","1200","2100","35500","19900","50800","19700","55700","88200","17200"
2020,"York and North Yorkshire","LSIP","9300","1900","40700","22700","65600","31000","58400","133500","23300"
2021,"Brighton and Hove, East Sussex, West Sussex","LSIP","6600","4400","53700","39500","134000","90600","166000","282800","64800"
2021,"Buckinghamshire ","LSIP","1900","3700","27100","20200","41300","43400","56500","71900","11600"
2021,"Cambridgeshire and Peterborough","LSIP","2600","3900","54800","28300","65300","41600","76300","126700","26100"
2021,"Cheshire and Warrington","LSIP","4600","10700","45500","25200","68500","37700","81400","133400","28700"
2021,"Cornwall and the Isles of Scilly","LSIP","8700","7000","18300","20200","66300","13500","31400","85000","15300"
2021,"Cumbria","LSIP","7100","18200","24200","17400","45600","10700","27300","69000","13800"
2021,"Derbyshire and Nottinghamshire","LSIP","1100","12100","128000","69800","180300","99600","142700","356600","51600"
2021,"Dorset","LSIP","3800","8400","63200","46500","123800","79400","144700","218400","42400"
2021,"Enterprise M3 LEP (including all of Surrey)","LSIP","0","4000","37400","31900","81400","80400","147100","172600","43100"
2021,"Essex, Southend-on-Sea and Thurrock","LSIP","2500","10800","55100","82800","163400","77000","185000","275900","53500"
2021,"Gloucestershire","LSIP","1100","1700","40800","17100","45900","28900","54700","109300","14200"
2021,"Greater Lincolnshire","LSIP","4600","8500","65000","33600","109100","41900","63000","151800","29700"
2021,"Greater London","LSIP","1300","10200","142500","267000","672600","641700","1302300","1393800","337900"
2021,"Greater Manchester","LSIP","2500","14700","96500","83200","216200","127100","260500","446700","65100"
2021,"Heart of the South-West","LSIP","12000","11600","73400","64600","163900","60400","119300","277100","42800"
2021,"Hertfordshire","LSIP","600","9300","37300","48100","87100","63900","142300","178500","39500"
2021,"Hull and East Yorkshire","LSIP","3200","4800","38500","18000","51100","20800","34300","95700","12400"
2021,"Kent and Medway","LSIP","1100","8400","47200","85100","135500","74300","180600","286000","37700"
2021,"Lancashire","LSIP","7000","2100","91400","38700","132700","37400","82800","218600","30700"
2021,"Leicester and Leicestershire","LSIP","1400","8600","65500","35000","84400","42700","77500","175100","20700"
2021,"Liverpool City Region","LSIP","900","9700","64500","42400","105100","67600","114100","295300","40400"
2021,"Norfolk and Suffolk ","LSIP","10200","9100","64500","56100","150200","57800","124600","245800","49700"
2021,"North East","LSIP","4000","6600","71200","37800","97700","35600","71700","172100","26800"
2021,"North of Tyne","LSIP","4000","6300","34500","23300","60100","26900","57000","138300","19900"
2021,"Oxfordshire","LSIP","0","5600","23300","14600","50000","36000","64300","125600","21500"
2021,"Solent","LSIP","1300","4000","58600","39300","103500","52300","89300","215800","35300"
2021,"South East Midlands","LSIP","3400","8800","100700","67200","137600","114500","143900","223600","38200"
2021,"South Yorkshire","LSIP","0","9100","60000","47000","125400","68400","93400","231200","26100"
2021,"Stoke-on-Trent and Staffordshire","LSIP","4100","5100","80500","40800","105300","44300","72800","168000","35400"
2021,"Swindon and Wiltshire","LSIP","2600","7900","38600","23600","59200","25700","60600","123400","21200"
2021,"Tees Valley","LSIP","800","7200","24700","20900","57000","22500","41700","95500","15300"
2021,"Thames Valley Berkshire","LSIP","1800","7000","40700","31100","58000","80900","99400","124200","24000"
2021,"The Marches","LSIP","11700","5300","38900","19900","58700","17200","48300","104500","19300"
2021,"West Midlands and Warwickshire","LSIP","0","23000","200900","88500","242300","167100","255700","538600","84000"
2021,"West of England and North Somerset","LSIP","3000","13500","50500","32100","96800","62800","121800","211000","29800"
2021,"West Yorkshire","LSIP","3000","22200","100300","74800","197400","99100","195600","357700","51300"
2021,"Worcestershire","LSIP","3300","1000","31600","15700","45200","23800","49900","91100","13100"
2021,"York and North Yorkshire","LSIP","6500","1400","32500","25700","72100","27900","68000","136300","31100"
