"year","area","geographic_level","Agriculture and Fishing","Energy and Water","Manufacturing","Construction","Distribution, Hotel and Restaurants","Transport and Communication","Banking, Finance and Insurance","Public Administration, Education and Health","Other Services"
2018,"South East","LEP","18000","32600","137900","177800","371300","182900","387400","610600","135200"
2018,"South East Midlands","LEP","4000","10600","101200","61700","150600","88000","152200","241000","40500"
2018,"York and North Yorkshire","LEP","18000","6700","34200","30400","84900","24200","61800","126200","20000"
2018,"Greater Cambridge and Greater Peterborough","LEP","3300","4000","49400","26200","68700","48400","77800","134700","25300"
2018,"Greater Lincolnshire","LEP","14700","10000","70900","34400","113400","34700","56400","149700","32000"
2018,"Hull and East Yorkshire","LEP","4900","8300","40600","18500","57900","17300","32300","88400","15200"
2018,"Leeds City Region","LEP","2100","14100","109500","76600","211800","93800","175900","333300","51400"
2019,"Black Country","LEP","700","10700","71800","40400","106300","38500","71400","168500","26000"
2019,"Cheshire and Warrington","LEP","6500","6900","54500","22400","92800","32400","80200","138400","24000"
2019,"Cornwall and Isles of Scilly","LEP","4800","4000","18500","22300","75300","14900","26200","87600","11900"
2019,"Coventry and Warwickshire","LEP","5200","9400","60700","24500","78800","53200","79300","132200","26000"
2019,"Cumbria","LEP","8300","17000","30900","19700","45400","14500","30000","60800","12200"
2019,"Dorset","LEP","3200","4700","29500","27000","77000","22000","65000","112500","23600"
2019,"Gloucestershire","LEP","3600","6300","37700","23100","49700","27300","54400","109600","19000"
2019,"Greater Birmingham and Solihull","LEP","4400","14800","110700","64500","168900","96800","145100","278200","47000"
2019,"Greater Manchester","LEP","4400","17500","112400","88100","263100","123700","231700","406200","81700"
2019,"Heart of the South West","LEP","22100","15300","80400","56800","180200","52100","124100","269100","41300"
2019,"Lancashire","LEP","7900","11500","81300","41700","131600","71400","93700","220000","46000"
2019,"Leicester and Leicestershire","LEP","2900","10500","75500","42100","103100","48700","66300","162700","19900"
2019,"Liverpool City Region","LEP","600","9300","61100","47700","129600","63800","118700","257600","39800"
2019,"North East","LEP","7100","16200","94400","64100","154700","69700","127000","324900","53300"
2019,"Stoke-on-Trent and Staffordshire","LEP","2400","13400","74200","45700","105600","47900","67800","160700","31900"
2019,"Swindon and Wiltshire","LEP","3300","3200","40200","28000","55200","33500","69500","104100","23100"
2019,"Tees Valley","LEP","1600","7700","27300","23500","56800","19900","35000","104200","14600"
2019,"Thames Valley Berkshire","LEP","1900","9500","40900","26600","78200","72600","98600","119500","25900"
2019,"The Marches","LEP","12300","5600","39900","24100","53400","20400","49800","105800","20400"
2019,"West of England","LEP","2700","12200","45000","43500","84600","52200","117800","207900","34100"
2019,"Worcestershire","LEP","4500","5000","33100","29000","45400","22500","47500","87700","12800"
2019,"Buckinghamshire","LEP","1100","3300","27500","17900","45300","32100","60400","73800","16100"
2019,"Coast to Capital","LEP","6200","12000","56200","53600","113000","80400","178400","237400","54300"
2019,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","13200","17900","142500","76100","216400","81200","153400","320800","47500"
2019,"Enterprise M3","LEP","3100","6600","69100","46200","107000","107200","147200","238900","54500"
2019,"Hertfordshire","LEP","c","6300","42300","51800","101100","65400","136400","180600","33100"
2019,"London","LEP","4700","36100","168900","287500","725400","563700","1252500","1352800","315500"
2019,"New Anglia","LEP","13300","14800","77500","60400","158700","62500","138800","240900","42900"
2019,"Oxfordshire","LEP","3400","2600","32700","23600","54800","43000","67100","115000","27500"
2019,"Sheffield City Region","LEP","2100","9100","69500","50000","108300","58300","87500","238100","35400"
2019,"Solent","LEP","2700","10600","63100","40800","109300","53800","93400","197900","39900"
2019,"South East","LEP","20700","29800","131800","183600","365900","191400","411700","603700","127100"
2019,"South East Midlands","LEP","7000","10100","92200","67300","152700","100800","163800","243200","42900"
2019,"York and North Yorkshire","LEP","11800","7700","36000","22600","90100","26000","61200","123100","19800"
2019,"Greater Cambridge and Greater Peterborough","LEP","3200","3700","49600","27600","66600","55400","68400","125700","23100"
2019,"Greater Lincolnshire","LEP","14900","13000","68200","36600","112400","34900","58200","133000","27800"
2019,"Hull and East Yorkshire","LEP","5000","4200","43500","18300","54400","18400","37300","90300","13900"
2019,"Leeds City Region","LEP","2700","11600","129600","68600","193300","100100","190600","340100","58000"
2020,"Black Country","LEP","c","10000","64000","38100","87700","48600","67900","194200","31900"
2020,"Cheshire and Warrington","LEP","7600","5100","54400","26900","73000","38100","85600","129200","27700"
2020,"Cornwall and Isles of Scilly","LEP","6900","5100","20300","23000","64100","11800","27200","82100","13400"
2020,"Coventry and Warwickshire","LEP","2000","10600","62600","23900","69500","51400","80400","138200","20900"
2020,"Cumbria","LEP","8300","11100","30500","14800","45600","15100","27300","60700","9300"
2020,"Dorset","LEP","3700","5900","33800","22700","70200","21800","69700","101100","32200"
2020,"Gloucestershire","LEP","4700","6500","36100","19800","46700","30700","55700","92500","12200"
2020,"Greater Birmingham and Solihull","LEP","1200","17200","95900","51700","176900","82300","163600","284800","54600"
2020,"Greater Manchester","LEP","1800","12200","107400","82500","230600","113100","262500","430700","71200"
2020,"Heart of the South West","LEP","20300","13900","81200","61700","168400","52000","116300","262500","37700"
2020,"Lancashire","LEP","7000","11200","83600","46600","138200","56800","87100","216300","39100"
2020,"Leicester and Leicestershire","LEP","9300","12100","69700","33100","94400","37700","76100","153100","24300"
2020,"Liverpool City Region","LEP","1100","10600","50500","42200","125100","55900","120400","277900","36000"
2020,"North East","LEP","4700","17500","78100","54300","162900","69000","122600","328400","50500"
